ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
AZFc,GO:1902652,secondary alcohol metabolic process,18/406,147/18723,3.25E-09,1.28E-05,1.13E-05,IDH3G/SOD1/CYP51A1/IDH3B/EBP/ABCA5/MSMO1/LIMA1/SCARB1/DHCR7/APOE/TM7SF2/MT3/DHCR24/FDX1/CYB5R3/CYP11A1/STAR,18
AZFc,GO:0008203,cholesterol metabolic process,16/406,137/18723,4.82E-08,9.52E-05,8.37E-05,SOD1/CYP51A1/EBP/ABCA5/MSMO1/LIMA1/SCARB1/DHCR7/APOE/TM7SF2/MT3/DHCR24/FDX1/CYB5R3/CYP11A1/STAR,16
AZFc,GO:0005759,mitochondrial matrix,31/423,480/19550,6.79E-08,3.30E-05,2.68E-05,HAGH/ATP5PB/IDH3G/TUFM/SOD1/MRRF/PRDX3/MMAB/IDH3B/NDUFS2/ACADM/TSFM/PPA2/SLC25A5/PCCB/HSPE1/TXN2/NDUFS8/TRUB2/HADHB/ACAT1/HADHA/C1QBP/SOD2/ALKBH7/GPX1/PDK4/ALAS1/HSPD1/FDX1/CYP11A1,31
AZFc,GO:0005925,focal adhesion,28/423,418/19550,1.41E-07,3.30E-05,2.68E-05,SH3KBP1/HSP90B1/ARPC2/EZR/CD151/ARF1/CD59/HMGA1/DAB2/CNN1/FHL1/PABPC1/TSPAN4/PFN1/JAK1/RHOA/CD9/CORO1C/LIMA1/FHL2/HACD3/FBLIM1/HSPA5/CNN3/ACTB/HSPA8/ACTG1/HSPB1,28
AZFc,GO:0030055,cell-substrate junction,28/423,425/19550,1.98E-07,3.30E-05,2.68E-05,SH3KBP1/HSP90B1/ARPC2/EZR/CD151/ARF1/CD59/HMGA1/DAB2/CNN1/FHL1/PABPC1/TSPAN4/PFN1/JAK1/RHOA/CD9/CORO1C/LIMA1/FHL2/HACD3/FBLIM1/HSPA5/CNN3/ACTB/HSPA8/ACTG1/HSPB1,28
AZFc,GO:0016125,sterol metabolic process,16/406,152/18723,2.07E-07,0.000190993,0.000167851,SOD1/CYP51A1/EBP/ABCA5/MSMO1/LIMA1/SCARB1/DHCR7/APOE/TM7SF2/MT3/DHCR24/FDX1/CYB5R3/CYP11A1/STAR,16
AZFc,GO:0006694,steroid biosynthetic process,17/406,173/18723,2.35E-07,0.000190993,0.000167851,SOD1/CYP51A1/ASAH1/EBP/HSD17B11/DKKL1/MSMO1/SCARB1/DHCR7/APOE/TM7SF2/DHCR24/FDX1/CYB5R3/CYP11A1/STAR/CYP17A1,17
AZFc,GO:0006066,alcohol metabolic process,25/406,353/18723,2.41E-07,0.000190993,0.000167851,IDH3G/SPTLC1/TKTL1/SOD1/CYP51A1/ASAH1/IDH3B/EBP/ALDH3A2/ABCA5/LHCGR/MSMO1/LIMA1/CD244/SCARB1/TPI1/DHCR7/APOE/TM7SF2/MT3/DHCR24/FDX1/CYB5R3/CYP11A1/STAR,25
AZFc,GO:0044183,protein folding chaperone,9/425,40/18368,2.53E-07,0.000163872,0.000148007,HSP90AB1/DNAJB6/CCT7/CCT3/DNAJB1/HSPA5/CCT2/HSPA8/HSPB1,9
AZFc,GO:0009636,response to toxic substance,20/406,262/18723,1.24E-06,0.00081459,0.00071589,GLRX/KDM5B/SOD1/PRDX3/GSTM3/SCFD1/GPX4/GSTP1/SOD2/MT1X/ASS1/GPX1/APOE/MT3/MT2A/CLDN1/EPHX1/GSTA1/GPX3/STAR,20
iNOA_B,GO:0005775,vacuolar lumen,40/921,174/19550,3.47E-17,2.13E-14,1.61E-14,GALC/PTGES2/NEU1/LIPA/DPP7/ASAH1/VCP/CREG1/HEXB/PA2G4/CCT2/CTSD/TPP1/LAMP2/TUBB4B/PLD3/CTSB/VAT1/LGMN/GLB1/PRELP/PRDX6/ACTR10/CHID1/SDCBP/CCT8/GRN/NSG1/CTSL/C3/CTSA/TUBB/PSAP/NPC2/FTL/HSPA8/CD74/ANXA2/CYB5R3/LUM,40
iNOA_B,GO:0005759,mitochondrial matrix,67/921,480/19550,1.19E-15,2.69E-13,2.03E-13,HIBCH/FH/ISCA1/GFM1/CS/GRPEL1/MRRF/DAP3/HADH/BCKDK/BCAT2/GSTZ1/PRDX5/POLDIP2/HMGCL/HIBADH/HAGH/ATP5F1A/PYCR2/FDXR/DLD/ALDH2/IDH3B/SOD2/ALKBH7/ALDH6A1/NAXD/ACAA2/HSPE1/ERAL1/ISCA2/C1QBP/ETFA/GSTK1/PDSS2/TXN2/NDUFA10/TRUB2/ACAT1/HSPA9/VDAC2/MMAB/PCCB/IDH3G/GPX1/OAT/ATP5F1C/PPA2/NDUFA9/DECR1/ALAS1/TSFM/NDUFS2/TUFM/ECHS1/PDHB/ATP5PB/HSPD1/MDH2/ATP5F1B/ACSM3/PDK4/HADHB/FDX1/SLC25A5/CYP11A1/PRDX3,67
iNOA_B,GO:0034774,secretory granule lumen,53/921,322/19550,1.31E-15,2.69E-13,2.03E-13,XRCC6/B2M/DBNL/PRDX4/PTGES2/SCCPDH/NEU1/GPI/DPP7/PSMA5/ARMC8/VCP/QSOX1/NIT2/PSMB7/DERA/CREG1/HEXB/PA2G4/PSMD11/PSMD13/CSNK2B/CCT2/CTSD/SERPING1/PGAM1/PSMD14/PGM2/TUBB4B/VAT1/HSP90AB1/GLB1/PRDX6/ACTR10/SDCBP/IMPDH2/CCT8/GRN/C3/CTSA/TUBB/EEF1A1/ILF2/TEX264/IDH1/NPC2/FTL/LGALS3BP/HSPA8/CLU/ANXA2/CTSH/CYB5R3,53
iNOA_B,GO:0060205,cytoplasmic vesicle lumen,53/921,325/19550,1.96E-15,3.01E-13,2.27E-13,XRCC6/B2M/DBNL/PRDX4/PTGES2/SCCPDH/NEU1/GPI/DPP7/PSMA5/ARMC8/VCP/QSOX1/NIT2/PSMB7/DERA/CREG1/HEXB/PA2G4/PSMD11/PSMD13/CSNK2B/CCT2/CTSD/SERPING1/PGAM1/PSMD14/PGM2/TUBB4B/VAT1/HSP90AB1/GLB1/PRDX6/ACTR10/SDCBP/IMPDH2/CCT8/GRN/C3/CTSA/TUBB/EEF1A1/ILF2/TEX264/IDH1/NPC2/FTL/LGALS3BP/HSPA8/CLU/ANXA2/CTSH/CYB5R3,53
iNOA_B,GO:0031983,vesicle lumen,53/921,327/19550,2.55E-15,3.13E-13,2.37E-13,XRCC6/B2M/DBNL/PRDX4/PTGES2/SCCPDH/NEU1/GPI/DPP7/PSMA5/ARMC8/VCP/QSOX1/NIT2/PSMB7/DERA/CREG1/HEXB/PA2G4/PSMD11/PSMD13/CSNK2B/CCT2/CTSD/SERPING1/PGAM1/PSMD14/PGM2/TUBB4B/VAT1/HSP90AB1/GLB1/PRDX6/ACTR10/SDCBP/IMPDH2/CCT8/GRN/C3/CTSA/TUBB/EEF1A1/ILF2/TEX264/IDH1/NPC2/FTL/LGALS3BP/HSPA8/CLU/ANXA2/CTSH/CYB5R3,53
iNOA_B,GO:0005766,primary lysosome,32/921,155/19550,1.19E-12,1.05E-10,7.91E-11,LPCAT1/SURF4/PTGES2/DPP7/VCP/CMTM6/CREG1/HEXB/PA2G4/CCT2/LAMP2/TUBB4B/TMEM179B/LAMTOR1/VAT1/GLB1/PRDX6/ACTR10/RAB5C/SDCBP/CCT8/GRN/C3/CTSA/TUBB/PSAP/DDOST/NPC2/FTL/ANXA2/MGST1/CYB5R3,32
iNOA_B,GO:0042582,azurophil granule,32/921,155/19550,1.19E-12,1.05E-10,7.91E-11,LPCAT1/SURF4/PTGES2/DPP7/VCP/CMTM6/CREG1/HEXB/PA2G4/CCT2/LAMP2/TUBB4B/TMEM179B/LAMTOR1/VAT1/GLB1/PRDX6/ACTR10/RAB5C/SDCBP/CCT8/GRN/C3/CTSA/TUBB/PSAP/DDOST/NPC2/FTL/ANXA2/MGST1/CYB5R3,32
iNOA_B,GO:0101002,ficolin-1-rich granule,35/921,185/19550,1.55E-12,1.19E-10,8.97E-11,HSPA1B/XRCC6/DBNL/PRDX4/GPI/ASAH1/PSMA5/VCP/PSMB7/DERA/PSMD11/PSMD13/CSNK2B/CTSD/PGAM1/PSMD14/LAMP2/PGM2/TMEM179B/LAMTOR1/CTSB/COPB1/HSP90AB1/GLB1/CD55/ACTR10/IMPDH2/CCT8/EEF1A1/ILF2/IDH1/ATP6AP2/RHOA/HSPA8/CTSH,35
iNOA_B,GO:1904813,ficolin-1-rich granule lumen,28/921,124/19550,3.09E-12,2.11E-10,1.60E-10,HSPA1B/XRCC6/DBNL/PRDX4/GPI/ASAH1/PSMA5/VCP/PSMB7/DERA/PSMD11/PSMD13/CSNK2B/CTSD/PGAM1/PSMD14/PGM2/CTSB/HSP90AB1/GLB1/ACTR10/IMPDH2/CCT8/EEF1A1/ILF2/IDH1/HSPA8/CTSH,28
