gene,ECs,LCs,Lym,Myeloid,SPCs,SPGs,SSCs,STs,Spermatids
SPARCL1,4.516,2.3555,0.217,2.2968333333333333,0.048285714285714286,0.042,0.053,0.35375,0.050272727272727274
A2M,3.827,0.9305,0.429,1.9028333333333334,0.04314285714285714,0.053,0.4505,0.5305,0.15718181818181817
LINC01921,0.07,0.02525,0.058,0.11533333333333334,0.37042857142857144,0.293,0.2115,0.20350000000000001,1.921
 PRM2,0.6,0.19,0.369,0.7648333333333334,1.9057142857142857,1.647,1.6265,0.8807500000000001,5.019272727272727
 PRM1,0.744,0.24850000000000003,0.492,0.9293333333333332,2.4715714285714285,2.183,2.091,1.15375,5.548909090909091
 LINC01921,0.07,0.02525,0.058,0.11533333333333334,0.37042857142857144,0.293,0.2115,0.20350000000000001,1.921
  PRM1,0.744,0.24850000000000003,0.492,0.9293333333333332,2.4715714285714285,2.183,2.091,1.15375,5.548909090909091
 TNP1,0.199,0.0445,0.116,0.2976666666666667,0.5451428571428572,0.457,0.43,0.2825,3.0156363636363634
LRWD1,0.058,0.056999999999999995,0.075,0.08850000000000001,1.2552857142857143,0.301,0.2085,0.07075000000000001,1.0636363636363635
SPACA1,0.025,0.008,0.025,0.054,0.3677142857142857,0.076,0.0875,0.05025,1.2980909090909092
BOD1L2,0.107,0.027,0.082,0.19866666666666666,1.4581428571428572,0.273,0.2185,0.15575000000000003,2.5195454545454545
TP53TG5,0.01,0.0015,0.002,0.017666666666666667,0.028857142857142856,0.023,0.021,0.01825,0.8415454545454545
C1orf100,0.029,0.00625,0.016,0.04883333333333333,0.08642857142857142,0.067,0.052500000000000005,0.0465,1.460090909090909
CCDC168,0.015,0.004,0.01,0.02383333333333333,0.047142857142857146,0.024,0.0245,0.02025,0.7879999999999999
TEX101,0.038,0.0385,0.366,0.04916666666666667,1.5202857142857142,0.612,0.199,0.0705,0.19436363636363635
SYCP1,0.035,0.05475,0.314,0.04816666666666666,1.631857142857143,0.158,0.304,0.0545,0.47854545454545455
LY6K,0.025,0.01775,0.217,0.028666666666666663,0.7364285714285714,0.453,0.1895,0.03875000000000001,0.08736363636363637
CETN3,0.196,0.2615,0.264,0.21833333333333335,1.7445714285714284,0.716,0.379,0.34550000000000003,0.21027272727272725
C15orf48,0.023,0.02675,0.183,0.07,1.6222857142857143,0.451,0.162,0.09924999999999999,0.435
RNFT1,0.031,0.0445,0.157,0.07183333333333333,1.1620000000000001,0.362,0.197,0.127,0.36590909090909096
APOA1,0.341,0.2475,0.104,0.44399999999999995,0.11642857142857142,0.122,0.1315,2.42425,0.14227272727272727
CLU,2.071,1.36525,0.486,1.6765,0.9861428571428572,0.433,0.47550000000000003,4.333,1.037
 DEFB119,0.263,0.41925,0.175,0.6288333333333334,0.1352857142857143,0.137,0.137,2.96175,0.19327272727272726
 AL133499.1,0.034,0.0155,0.036,0.059000000000000004,1.4862857142857142,0.131,0.111,0.0825,0.8600909090909091
 LRWD1,0.058,0.056999999999999995,0.075,0.08850000000000001,1.2552857142857143,0.301,0.2085,0.07075000000000001,1.0636363636363635
ASRGL1,0.097,0.048,0.133,0.09733333333333334,1.6344285714285713,0.518,0.4265,0.0805,0.9918181818181818
RGS5,0.304,0.263,0.061,0.7360000000000001,0.04414285714285714,0.031,0.035,0.87325,0.1160909090909091
RERGL,0.155,0.25325,0.079,0.9906666666666667,0.009999999999999998,0.012,0.023,0.078,0.017181818181818184
LBH,0.325,0.3285,0.369,1.0508333333333333,0.015428571428571429,0.052,0.321,0.1415,0.12481818181818181
PAGE2B,0.059,0.07575000000000001,0.517,0.04733333333333333,0.9952857142857143,1.708,1.7665,0.0415,0.28363636363636363
  PRM2,0.6,0.19,0.369,0.7648333333333334,1.9057142857142857,1.647,1.6265,0.8807500000000001,5.019272727272727
MAGEB2,0.023,0.037500000000000006,0.224,0.020833333333333332,0.2887142857142857,0.533,1.4215,0.013999999999999999,0.11436363636363636
MYH11,0.277,1.51725,0.107,2.262166666666667,0.03157142857142857,0.031,0.07600000000000001,0.15975,0.17363636363636362
KRT17,0.016,0.19825,0.006,0.27399999999999997,0.0037142857142857147,0.003,0.006500000000000001,0.0035,0.004818181818181819
MYLK,0.478,1.293,0.083,1.8561666666666667,0.17442857142857143,0.075,0.121,1.2855,0.13063636363636363
SPANXN4,0.025,0.0052499999999999995,0.012,0.04533333333333334,0.05028571428571428,0.027,0.032,0.03825,0.6583636363636365
PPP1R2C,0.05,0.01375,0.115,0.08633333333333333,0.48,0.131,0.131,0.06825,1.4433636363636364
AC239803.2,0.063,0.00825,0.026,0.09799999999999999,0.1187142857142857,0.07,0.07150000000000001,0.0825,1.6381818181818182
INSL3,0.17,1.3265,0.117,0.6031666666666666,0.13228571428571428,0.145,0.1305,0.177,0.12163636363636364
GSTA1,0.198,1.251,0.103,0.6036666666666667,0.07371428571428572,0.087,0.096,2.4842500000000003,0.0659090909090909
CYP17A1,0.012,0.375,0.009,0.0385,0.013285714285714286,0.011,0.0125,0.20875,0.08609090909090909
H2AFZ,1.009,0.9142499999999999,0.918,0.9108333333333333,2.2399999999999998,1.441,1.1305,0.77025,0.31236363636363634
 TEX101,0.038,0.0385,0.366,0.04916666666666667,1.5202857142857142,0.612,0.199,0.0705,0.19436363636363635
HSPA5,0.963,1.347,1.558,1.0923333333333334,2.216142857142857,2.106,0.651,1.51975,0.5521818181818182
IGFBP7,3.584,3.3155,0.57,2.7906666666666666,0.11342857142857143,0.105,0.097,0.53375,0.13127272727272726
 ACTA2,0.506,0.906,0.278,2.0221666666666667,0.046142857142857145,0.057,0.07400000000000001,0.14125,0.055545454545454544
  PTGDS,0.994,3.96825,0.704,2.397,0.24157142857142855,0.294,0.20750000000000002,1.6517499999999998,0.2647272727272727
FAM71A,0.015,0.0025,0.007,0.016833333333333332,0.03214285714285715,0.025,0.02,0.019500000000000003,0.8438181818181818
  TNP1,0.199,0.0445,0.116,0.2976666666666667,0.5451428571428572,0.457,0.43,0.2825,3.0156363636363634
C20orf144,0.015,0.0055,0.006,0.034999999999999996,0.10171428571428572,0.049,0.041499999999999995,0.03325,1.1161818181818182
TIMP1,1.348,2.24825,0.437,1.7178333333333333,0.08514285714285716,0.094,0.09649999999999999,2.371,0.0829090909090909
BEX1,0.248,0.2915,0.093,0.439,0.1375714285714286,0.103,0.1475,2.15825,0.04681818181818182
CRYAB,0.12,0.6985,0.058,0.8318333333333333,0.03671428571428571,0.012,0.0305,0.671,0.07390909090909091
IGLC2,0.069,0.0955,2.396,0.077,0.0005714285714285715,0.0,0.001,0.041,0.0008181818181818183
IGLC3,0.033,0.05925,2.054,0.049166666666666664,0.00014285714285714287,0.0,0.0005,0.0325,0.0
IGHG1,0.036,0.0635,2.633,0.05266666666666667,0.007285714285714286,0.003,0.0035,0.03275,0.0013636363636363635
HLA-DRA,1.76,0.1915,1.057,1.3159999999999998,0.049999999999999996,0.045,0.0385,0.1305,0.062000000000000006
RNASE1,2.574,0.76625,0.611,1.2358333333333333,0.2527142857142857,0.272,0.251,3.7395,0.24645454545454545
CD74,2.842,0.5395,2.561,1.5771666666666668,0.057428571428571426,0.071,0.14500000000000002,0.293,0.06636363636363636
