gene,cell_type,value
C20orf144,LCs,0.0055
TIMP1,LCs,2.24825
BEX1,LCs,0.2915
CRYAB,LCs,0.6985
IGLC2,LCs,0.0955
IGLC3,LCs,0.05925
IGHG1,LCs,0.0635
HLA-DRA,LCs,0.1915
RNASE1,LCs,0.76625
CD74,LCs,0.5395
TDRD1,Lym,0.222
ELAVL2,Lym,0.243
SOX4,Lym,0.327
HMGN5,Lym,0.126
DEFB119,Lym,0.175
CITED1,Lym,0.073
DCN,Lym,0.377
C7,Lym,0.083
 PTGDS,Lym,0.704
BX119904.2,Lym,0.037
SPANXN3,Lym,0.022
LINC00919,Lym,0.047
HIST1H2AA,Lym,0.704
HIST1H2BA,Lym,0.231
AC084033.3,Lym,0.303
RAD51AP2,Lym,0.172
ZCWPW1,Lym,0.468
SYCP3,Lym,0.489
 HLA-DRA,Lym,1.057
 CD74,Lym,2.561
CCL4L2,Lym,0.836
 CLU,Lym,0.486
SERPINA5,Lym,0.14
  DEFB119,Lym,0.175
TKTL1,Lym,0.441
GAGE2A,Lym,0.436
HIST1H1A,Lym,0.29
EQTN,Lym,0.004
LINC01760,Lym,0.021
LINC02032,Lym,0.009
TAGLN,Lym,0.222
ACTA2,Lym,0.278
ADIRF,Lym,0.405
HMGA1,Lym,0.335
TUBA1B,Lym,0.63
CCNI,Lym,0.943
CCDC110,Lym,0.095
GOLGA6L2,Lym,0.008
LINC00643,Lym,0.008
PTGDS,Lym,0.704
PEMT,Lym,0.103
LAMA2,Lym,0.044
PRM1,Lym,0.492
TNP1,Lym,0.116
PRM2,Lym,0.369
HSPB6,Lym,0.081
CFD,Lym,0.1
IGFBP6,Lym,0.059
AL133499.1,Lym,0.036
 CCDC110,Lym,0.095
AC010980.1,Lym,0.023
GNG11,Lym,0.1
SPARCL1,Lym,0.217
A2M,Lym,0.429
LINC01921,Lym,0.058
 PRM2,Lym,0.369
 PRM1,Lym,0.492
 LINC01921,Lym,0.058
  PRM1,Lym,0.492
 TNP1,Lym,0.116
LRWD1,Lym,0.075
SPACA1,Lym,0.025
BOD1L2,Lym,0.082
TP53TG5,Lym,0.002
C1orf100,Lym,0.016
CCDC168,Lym,0.01
TEX101,Lym,0.366
SYCP1,Lym,0.314
LY6K,Lym,0.217
CETN3,Lym,0.264
C15orf48,Lym,0.183
RNFT1,Lym,0.157
APOA1,Lym,0.104
CLU,Lym,0.486
 DEFB119,Lym,0.175
 AL133499.1,Lym,0.036
 LRWD1,Lym,0.075
ASRGL1,Lym,0.133
RGS5,Lym,0.061
RERGL,Lym,0.079
LBH,Lym,0.369
PAGE2B,Lym,0.517
  PRM2,Lym,0.369
MAGEB2,Lym,0.224
MYH11,Lym,0.107
KRT17,Lym,0.006
MYLK,Lym,0.083
SPANXN4,Lym,0.012
PPP1R2C,Lym,0.115
AC239803.2,Lym,0.026
INSL3,Lym,0.117
GSTA1,Lym,0.103
CYP17A1,Lym,0.009
H2AFZ,Lym,0.918
 TEX101,Lym,0.366
HSPA5,Lym,1.558
IGFBP7,Lym,0.57
 ACTA2,Lym,0.278
  PTGDS,Lym,0.704
FAM71A,Lym,0.007
  TNP1,Lym,0.116
C20orf144,Lym,0.006
TIMP1,Lym,0.437
BEX1,Lym,0.093
CRYAB,Lym,0.058
IGLC2,Lym,2.396
IGLC3,Lym,2.054
IGHG1,Lym,2.633
HLA-DRA,Lym,1.057
RNASE1,Lym,0.611
CD74,Lym,2.561
TDRD1,Myeloid,0.031166666666666665
ELAVL2,Myeloid,0.02666666666666667
SOX4,Myeloid,0.4251666666666667
HMGN5,Myeloid,0.7004999999999999
DEFB119,Myeloid,0.6288333333333334
CITED1,Myeloid,0.4696666666666667
DCN,Myeloid,1.4588333333333334
C7,Myeloid,0.219
 PTGDS,Myeloid,2.397
BX119904.2,Myeloid,0.04783333333333334
SPANXN3,Myeloid,0.05383333333333334
LINC00919,Myeloid,0.12916666666666665
HIST1H2AA,Myeloid,0.19816666666666669
HIST1H2BA,Myeloid,0.0315
AC084033.3,Myeloid,0.15766666666666665
RAD51AP2,Myeloid,0.021666666666666667
ZCWPW1,Myeloid,0.08133333333333333
SYCP3,Myeloid,0.056833333333333326
 HLA-DRA,Myeloid,1.3159999999999998
 CD74,Myeloid,1.5771666666666668
CCL4L2,Myeloid,0.6161666666666666
 CLU,Myeloid,1.6765
SERPINA5,Myeloid,0.8333333333333334
  DEFB119,Myeloid,0.6288333333333334
TKTL1,Myeloid,0.0635
GAGE2A,Myeloid,0.04066666666666666
HIST1H1A,Myeloid,0.07866666666666668
EQTN,Myeloid,0.027666666666666662
LINC01760,Myeloid,0.050833333333333335
LINC02032,Myeloid,0.018666666666666668
TAGLN,Myeloid,1.5098333333333331
ACTA2,Myeloid,2.0221666666666667
ADIRF,Myeloid,1.1101666666666667
HMGA1,Myeloid,0.07366666666666667
TUBA1B,Myeloid,1.0023333333333333
CCNI,Myeloid,1.7126666666666666
CCDC110,Myeloid,0.0835
GOLGA6L2,Myeloid,0.015
LINC00643,Myeloid,0.019333333333333334
PTGDS,Myeloid,2.397
PEMT,Myeloid,0.7673333333333333
LAMA2,Myeloid,0.7695
PRM1,Myeloid,0.9293333333333332
TNP1,Myeloid,0.2976666666666667
PRM2,Myeloid,0.7648333333333334
HSPB6,Myeloid,0.615
CFD,Myeloid,0.22966666666666669
IGFBP6,Myeloid,0.5685
AL133499.1,Myeloid,0.059000000000000004
 CCDC110,Myeloid,0.0835
AC010980.1,Myeloid,0.0395
GNG11,Myeloid,0.4106666666666667
SPARCL1,Myeloid,2.2968333333333333
A2M,Myeloid,1.9028333333333334
LINC01921,Myeloid,0.11533333333333334
 PRM2,Myeloid,0.7648333333333334
 PRM1,Myeloid,0.9293333333333332
 LINC01921,Myeloid,0.11533333333333334
  PRM1,Myeloid,0.9293333333333332
 TNP1,Myeloid,0.2976666666666667
LRWD1,Myeloid,0.08850000000000001
SPACA1,Myeloid,0.054
BOD1L2,Myeloid,0.19866666666666666
TP53TG5,Myeloid,0.017666666666666667
C1orf100,Myeloid,0.04883333333333333
CCDC168,Myeloid,0.02383333333333333
TEX101,Myeloid,0.04916666666666667
SYCP1,Myeloid,0.04816666666666666
LY6K,Myeloid,0.028666666666666663
CETN3,Myeloid,0.21833333333333335
C15orf48,Myeloid,0.07
RNFT1,Myeloid,0.07183333333333333
APOA1,Myeloid,0.44399999999999995
CLU,Myeloid,1.6765
 DEFB119,Myeloid,0.6288333333333334
 AL133499.1,Myeloid,0.059000000000000004
 LRWD1,Myeloid,0.08850000000000001
ASRGL1,Myeloid,0.09733333333333334
RGS5,Myeloid,0.7360000000000001
RERGL,Myeloid,0.9906666666666667
LBH,Myeloid,1.0508333333333333
PAGE2B,Myeloid,0.04733333333333333
  PRM2,Myeloid,0.7648333333333334
MAGEB2,Myeloid,0.020833333333333332
MYH11,Myeloid,2.262166666666667
KRT17,Myeloid,0.27399999999999997
MYLK,Myeloid,1.8561666666666667
SPANXN4,Myeloid,0.04533333333333334
PPP1R2C,Myeloid,0.08633333333333333
AC239803.2,Myeloid,0.09799999999999999
INSL3,Myeloid,0.6031666666666666
GSTA1,Myeloid,0.6036666666666667
CYP17A1,Myeloid,0.0385
H2AFZ,Myeloid,0.9108333333333333
 TEX101,Myeloid,0.04916666666666667
HSPA5,Myeloid,1.0923333333333334
IGFBP7,Myeloid,2.7906666666666666
 ACTA2,Myeloid,2.0221666666666667
  PTGDS,Myeloid,2.397
FAM71A,Myeloid,0.016833333333333332
  TNP1,Myeloid,0.2976666666666667
C20orf144,Myeloid,0.034999999999999996
TIMP1,Myeloid,1.7178333333333333
BEX1,Myeloid,0.439
CRYAB,Myeloid,0.8318333333333333
IGLC2,Myeloid,0.077
IGLC3,Myeloid,0.049166666666666664
IGHG1,Myeloid,0.05266666666666667
HLA-DRA,Myeloid,1.3159999999999998
RNASE1,Myeloid,1.2358333333333333
CD74,Myeloid,1.5771666666666668
TDRD1,SPCs,0.702
ELAVL2,SPCs,0.11757142857142856
SOX4,SPCs,0.05614285714285715
HMGN5,SPCs,0.07042857142857142
DEFB119,SPCs,0.1352857142857143
CITED1,SPCs,0.0832857142857143
DCN,SPCs,0.04914285714285715
C7,SPCs,0.011285714285714286
 PTGDS,SPCs,0.24157142857142855
BX119904.2,SPCs,0.1772857142857143
SPANXN3,SPCs,0.15842857142857142
LINC00919,SPCs,0.2764285714285714
HIST1H2AA,SPCs,2.666571428571429
HIST1H2BA,SPCs,1.3452857142857142
AC084033.3,SPCs,2.1465714285714284
RAD51AP2,SPCs,0.6609999999999999
ZCWPW1,SPCs,1.2248571428571429
SYCP3,SPCs,2.0374285714285714
 HLA-DRA,SPCs,0.049999999999999996
 CD74,SPCs,0.057428571428571426
CCL4L2,SPCs,0.008142857142857143
 CLU,SPCs,0.9861428571428572
SERPINA5,SPCs,0.11457142857142857
  DEFB119,SPCs,0.1352857142857143
TKTL1,SPCs,0.5855714285714286
GAGE2A,SPCs,0.5805714285714286
HIST1H1A,SPCs,0.2964285714285714
EQTN,SPCs,0.12485714285714286
LINC01760,SPCs,0.188
LINC02032,SPCs,0.07142857142857142
TAGLN,SPCs,0.031999999999999994
ACTA2,SPCs,0.046142857142857145
ADIRF,SPCs,0.030857142857142857
HMGA1,SPCs,0.287
TUBA1B,SPCs,0.6445714285714287
CCNI,SPCs,0.5402857142857143
CCDC110,SPCs,1.5127142857142857
GOLGA6L2,SPCs,0.2405714285714286
LINC00643,SPCs,0.35285714285714287
PTGDS,SPCs,0.24157142857142855
PEMT,SPCs,0.11314285714285714
LAMA2,SPCs,0.03414285714285714
PRM1,SPCs,2.4715714285714285
TNP1,SPCs,0.5451428571428572
PRM2,SPCs,1.9057142857142857
HSPB6,SPCs,0.022857142857142857
CFD,SPCs,0.009571428571428573
IGFBP6,SPCs,0.008
AL133499.1,SPCs,1.4862857142857142
 CCDC110,SPCs,1.5127142857142857
AC010980.1,SPCs,1.4207142857142858
GNG11,SPCs,0.011142857142857144
SPARCL1,SPCs,0.048285714285714286
A2M,SPCs,0.04314285714285714
LINC01921,SPCs,0.37042857142857144
 PRM2,SPCs,1.9057142857142857
 PRM1,SPCs,2.4715714285714285
 LINC01921,SPCs,0.37042857142857144
  PRM1,SPCs,2.4715714285714285
 TNP1,SPCs,0.5451428571428572
LRWD1,SPCs,1.2552857142857143
SPACA1,SPCs,0.3677142857142857
BOD1L2,SPCs,1.4581428571428572
TP53TG5,SPCs,0.028857142857142856
C1orf100,SPCs,0.08642857142857142
CCDC168,SPCs,0.047142857142857146
TEX101,SPCs,1.5202857142857142
SYCP1,SPCs,1.631857142857143
LY6K,SPCs,0.7364285714285714
CETN3,SPCs,1.7445714285714284
C15orf48,SPCs,1.6222857142857143
RNFT1,SPCs,1.1620000000000001
APOA1,SPCs,0.11642857142857142
CLU,SPCs,0.9861428571428572
 DEFB119,SPCs,0.1352857142857143
 AL133499.1,SPCs,1.4862857142857142
 LRWD1,SPCs,1.2552857142857143
ASRGL1,SPCs,1.6344285714285713
RGS5,SPCs,0.04414285714285714
