gene,cell_type,value
C15orf48,STs,0.09924999999999999
RNFT1,STs,0.127
APOA1,STs,2.42425
CLU,STs,4.333
 DEFB119,STs,2.96175
 AL133499.1,STs,0.0825
 LRWD1,STs,0.07075000000000001
ASRGL1,STs,0.0805
RGS5,STs,0.87325
RERGL,STs,0.078
LBH,STs,0.1415
PAGE2B,STs,0.0415
  PRM2,STs,0.8807500000000001
MAGEB2,STs,0.013999999999999999
MYH11,STs,0.15975
KRT17,STs,0.0035
MYLK,STs,1.2855
SPANXN4,STs,0.03825
PPP1R2C,STs,0.06825
AC239803.2,STs,0.0825
INSL3,STs,0.177
GSTA1,STs,2.4842500000000003
CYP17A1,STs,0.20875
H2AFZ,STs,0.77025
 TEX101,STs,0.0705
HSPA5,STs,1.51975
IGFBP7,STs,0.53375
 ACTA2,STs,0.14125
  PTGDS,STs,1.6517499999999998
FAM71A,STs,0.019500000000000003
  TNP1,STs,0.2825
C20orf144,STs,0.03325
TIMP1,STs,2.371
BEX1,STs,2.15825
CRYAB,STs,0.671
IGLC2,STs,0.041
IGLC3,STs,0.0325
IGHG1,STs,0.03275
HLA-DRA,STs,0.1305
RNASE1,STs,3.7395
CD74,STs,0.293
TDRD1,Spermatids,0.19427272727272726
ELAVL2,Spermatids,0.29563636363636364
SOX4,Spermatids,0.11754545454545454
HMGN5,Spermatids,0.06036363636363637
DEFB119,Spermatids,0.19327272727272726
CITED1,Spermatids,0.07827272727272727
DCN,Spermatids,0.04263636363636363
C7,Spermatids,0.010454545454545454
 PTGDS,Spermatids,0.2647272727272727
BX119904.2,Spermatids,0.9226363636363637
SPANXN3,Spermatids,0.9822727272727273
LINC00919,Spermatids,2.329636363636364
HIST1H2AA,Spermatids,0.6829999999999999
HIST1H2BA,Spermatids,0.25081818181818183
AC084033.3,Spermatids,0.3430909090909091
RAD51AP2,Spermatids,0.11118181818181819
ZCWPW1,Spermatids,0.21418181818181817
SYCP3,Spermatids,0.2702727272727273
 HLA-DRA,Spermatids,0.062000000000000006
 CD74,Spermatids,0.06636363636363636
CCL4L2,Spermatids,0.006727272727272727
 CLU,Spermatids,1.037
SERPINA5,Spermatids,0.27754545454545454
  DEFB119,Spermatids,0.19327272727272726
TKTL1,Spermatids,0.29618181818181816
GAGE2A,Spermatids,0.15945454545454546
HIST1H1A,Spermatids,0.08309090909090909
EQTN,Spermatids,1.0838181818181818
LINC01760,Spermatids,1.6623636363636365
LINC02032,Spermatids,0.7771818181818181
TAGLN,Spermatids,0.029363636363636366
ACTA2,Spermatids,0.055545454545454544
ADIRF,Spermatids,0.04454545454545455
HMGA1,Spermatids,0.13663636363636364
TUBA1B,Spermatids,0.644090909090909
CCNI,Spermatids,0.37581818181818183
CCDC110,Spermatids,1.2411818181818182
GOLGA6L2,Spermatids,0.5867272727272728
LINC00643,Spermatids,0.7947272727272728
PTGDS,Spermatids,0.2647272727272727
PEMT,Spermatids,0.032818181818181816
LAMA2,Spermatids,0.04727272727272727
PRM1,Spermatids,5.548909090909091
TNP1,Spermatids,3.0156363636363634
PRM2,Spermatids,5.019272727272727
HSPB6,Spermatids,0.027
CFD,Spermatids,0.010181818181818183
IGFBP6,Spermatids,0.012545454545454547
AL133499.1,Spermatids,0.8600909090909091
 CCDC110,Spermatids,1.2411818181818182
AC010980.1,Spermatids,0.8908181818181817
GNG11,Spermatids,0.014
SPARCL1,Spermatids,0.050272727272727274
A2M,Spermatids,0.15718181818181817
LINC01921,Spermatids,1.921
 PRM2,Spermatids,5.019272727272727
 PRM1,Spermatids,5.548909090909091
 LINC01921,Spermatids,1.921
  PRM1,Spermatids,5.548909090909091
 TNP1,Spermatids,3.0156363636363634
LRWD1,Spermatids,1.0636363636363635
SPACA1,Spermatids,1.2980909090909092
BOD1L2,Spermatids,2.5195454545454545
TP53TG5,Spermatids,0.8415454545454545
C1orf100,Spermatids,1.460090909090909
CCDC168,Spermatids,0.7879999999999999
TEX101,Spermatids,0.19436363636363635
SYCP1,Spermatids,0.47854545454545455
LY6K,Spermatids,0.08736363636363637
CETN3,Spermatids,0.21027272727272725
C15orf48,Spermatids,0.435
RNFT1,Spermatids,0.36590909090909096
APOA1,Spermatids,0.14227272727272727
CLU,Spermatids,1.037
 DEFB119,Spermatids,0.19327272727272726
 AL133499.1,Spermatids,0.8600909090909091
 LRWD1,Spermatids,1.0636363636363635
ASRGL1,Spermatids,0.9918181818181818
RGS5,Spermatids,0.1160909090909091
RERGL,Spermatids,0.017181818181818184
LBH,Spermatids,0.12481818181818181
PAGE2B,Spermatids,0.28363636363636363
  PRM2,Spermatids,5.019272727272727
MAGEB2,Spermatids,0.11436363636363636
MYH11,Spermatids,0.17363636363636362
KRT17,Spermatids,0.004818181818181819
MYLK,Spermatids,0.13063636363636363
SPANXN4,Spermatids,0.6583636363636365
PPP1R2C,Spermatids,1.4433636363636364
AC239803.2,Spermatids,1.6381818181818182
INSL3,Spermatids,0.12163636363636364
GSTA1,Spermatids,0.0659090909090909
CYP17A1,Spermatids,0.08609090909090909
H2AFZ,Spermatids,0.31236363636363634
 TEX101,Spermatids,0.19436363636363635
HSPA5,Spermatids,0.5521818181818182
IGFBP7,Spermatids,0.13127272727272726
 ACTA2,Spermatids,0.055545454545454544
  PTGDS,Spermatids,0.2647272727272727
FAM71A,Spermatids,0.8438181818181818
  TNP1,Spermatids,3.0156363636363634
C20orf144,Spermatids,1.1161818181818182
TIMP1,Spermatids,0.0829090909090909
BEX1,Spermatids,0.04681818181818182
CRYAB,Spermatids,0.07390909090909091
IGLC2,Spermatids,0.0008181818181818183
IGLC3,Spermatids,0.0
IGHG1,Spermatids,0.0013636363636363635
HLA-DRA,Spermatids,0.062000000000000006
RNASE1,Spermatids,0.24645454545454545
CD74,Spermatids,0.06636363636363636
