ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,group,neg_log10_padj
GO:0006631,fatty acid metabolic process,53/887,390/18723,4.32131378823183e-12,1.14487005364394e-08,1.02018000860659e-08,THNSL2/HACL1/DECR2/ECHDC2/CRYL1/PTGES2/ACSL1/HADH/SCD/ASAH1/PLP1/DLD/AKR1C3/INSIG1/SCP2/ALKBH7/CBR1/ACAA2/ETFA/ABHD6/FABP3/ELOVL1/FADS1/ECI2/ACAT1/SLC25A17/ADIPOR1/HACD2/ANXA1/SCD5/PCCB/GPX1/PHYH/TECR/DEGS1/ALDH3A2/DECR1/GSTM4/C3/APPL2/LYPLA1/ELOVL5/ECHS1/CD74/HACD3/MSMO1/ACSM3/PDK4/HADHB/AKR1B1/ECH1/GSTA1/EPHX1,53.0,iNOA_B,7.941243804318009
GO:0006694,steroid biosynthetic process,32/887,173/18723,2.97297274542541e-11,3.61290512887823e-08,3.2194165387962e-08,SQLE/FDPS/HSD17B7/ASAH1/DKKL1/FDXR/AKR1C3/HSD17B3/INSIG1/SCP2/ACAA2/IDI1/HMGCR/HSD3B2/SCARB1/EBP/HSD17B11/ERG28/HMGCS1/SC5D/MSMO1/DHCR24/FDFT1/TM7SF2/DHCR7/FDX1/AKR1B1/HSD17B6/CYB5R3/CYP11A1/STAR/CYP17A1,32.0,iNOA_B,7.4421434424025374
GO:0016125,sterol metabolic process,29/887,152/18723,1.15604876155085e-10,1.12391060597974e-07,1.001503295533e-07,SQLE/FDPS/ABCA5/LIPA/SOAT1/HSD17B7/FDXR/SNX17/INSIG1/ACAA2/IDI1/HMGCR/LDLR/SCARB1/MT3/EBP/ERG28/NPC2/HMGCS1/SC5D/MSMO1/DHCR24/FDFT1/TM7SF2/DHCR7/FDX1/CYB5R3/CYP11A1/STAR,29.0,iNOA_B,6.949268230469489
GO:0003779,actin binding,16/93,441/18368,6.51532804830938e-10,1.29831639912999e-07,1.05842591104886e-07,MYH11/MYLK/ITGB1/SVIL/TPM2/NEXN/TMSB4X/TPM1/SPTBN1/DMD/CALD1/MACF1/ABLIM1/MYOZ3/PALLD/TNS1,16.0,iNOA_B,6.886619457264889
GO:0008203,cholesterol metabolic process,27/887,137/18723,2.34944327677791e-10,1.90344062806957e-07,1.69613317262124e-07,SQLE/FDPS/ABCA5/SOAT1/HSD17B7/FDXR/SNX17/INSIG1/ACAA2/IDI1/HMGCR/LDLR/SCARB1/MT3/EBP/NPC2/HMGCS1/SC5D/MSMO1/DHCR24/FDFT1/TM7SF2/DHCR7/FDX1/CYB5R3/CYP11A1/STAR,27.0,iNOA_B,6.7204606651085586
GO:0030198,extracellular matrix organization,50/958,301/18723,1.38051710864717e-13,2.74021824285884e-10,2.07946766236421e-10,PDGFRA/COL15A1/COL1A2/CYP1B1/FLRT2/CRISPLD2/MMP2/LUM/DPT/COL1A1/LRP1/COL3A1/DDR2/ANXA2/CST3/ADAMTSL3/MYH11/FBLN5/APP/NID1/ADAMTS1/CREB3L1/LAMB2/COL14A1/COL5A1/CCDC80/ENG/SOX9/CTSK/FOXC1/LAMC1/SERPINH1/EFEMP2/OLFML2B/SMOC1/VIT/COL12A1/ADAMTS5/ITGB1/COL4A5/RAMP2/SH3PXD2B/MMP14/EMILIN1/CRTAP/ECM2/ADAMTS3/LTBP3/CAV1/AEBP1,50.0,iNOA_S,9.56221484670706
GO:0043062,extracellular structure organization,50/958,302/18723,1.57502111976255e-13,2.74021824285884e-10,2.07946766236421e-10,PDGFRA/COL15A1/COL1A2/CYP1B1/FLRT2/CRISPLD2/MMP2/LUM/DPT/COL1A1/LRP1/COL3A1/DDR2/ANXA2/CST3/ADAMTSL3/MYH11/FBLN5/APP/NID1/ADAMTS1/CREB3L1/LAMB2/COL14A1/COL5A1/CCDC80/ENG/SOX9/CTSK/FOXC1/LAMC1/SERPINH1/EFEMP2/OLFML2B/SMOC1/VIT/COL12A1/ADAMTS5/ITGB1/COL4A5/RAMP2/SH3PXD2B/MMP14/EMILIN1/CRTAP/ECM2/ADAMTS3/LTBP3/CAV1/AEBP1,50.0,iNOA_S,9.56221484670706
GO:0005201,extracellular matrix structural constituent,36/970,172/18368,8.65620976462753e-13,7.84252604675254e-10,7.0343094087289e-10,DCN/COL15A1/OGN/COL1A2/LTBP4/COL6A2/CILP/PCOLCE/IGFBP7/FN1/LUM/DPT/COL1A1/LAMA4/COL6A3/COL3A1/SPARC/FBLN5/VCAN/LAMA2/COL6A1/NID1/LAMB2/COL14A1/COL5A1/LAMC1/EFEMP2/COL12A1/FBN1/COL4A5/MFGE8/MGP/PODN/ECM1/EMILIN1/AEBP1,36.0,iNOA_S,9.105544030240404
GO:0050673,epithelial cell proliferation,56/958,437/18723,2.20446267531425e-10,1.47616331895731e-07,1.12021511211364e-07,FGF10/IGF1/MDK/ZFP36L1/ID2/OSR2/TGFBR3/NR2F2/AR/EGFR/SFRP1/SNAI2/SPARC/NRP1/PTCH1/PTN/NOTCH2/CXCL12/NFIB/IGFBP5/BMPR2/HGF/HES1/PTEN/SOX9/EDNRB/FGFR1/LAMC1/MYC/CDC42/ROBO1/FGF7/CDKN1B/CD34/TCF7L2/OSR1/APOA1/CYP7B1/C6orf89/IFT52/STXBP4/PRKCA/PURA/ZFP36/WFDC1/XBP1/MMP14/BMPR1A/ECM1/SP1/SAV1/YAP1/HMGN1/HMOX1/CAV1/DLG1,56.0,iNOA_S,6.8308655906172255
GO:0042060,wound healing,54/958,422/18723,4.91258298741919e-10,2.63167070636046e-07,1.99709426288557e-07,SERPINE2/PLPP3/DCN/PDGFRA/FGF10/IGF1/F8/NFE2L2/FN1/COL1A1/PDGFRB/TFPI/COL3A1/EGFR/ANXA2/PPIA/ANO6/JMJD1C/SPARC/NOTCH2/ANXA5/ENTPD2/TIMP1/CLIC1/AK3/COL5A1/F10/PTEN/TGFB3/CD34/P2RY1/C6orf89/VCL/ITGB1/PROS1/SERPING1/PRKCA/CSRP1/MACF1/WFDC1/TSKU/XBP1/GNAQ/PLSCR1/YAP1/PRKG1/PLA2G4A/TGFBR2/RAP2B/HMOX1/CAV1/PEAR1/PRCP/RHOC,54.0,iNOA_S,6.579768453719728
