gene,cell_type,value
APOA1,STs,0.766
CLU,STs,0.93625
 DEFB119,STs,0.9339999999999999
 AL133499.1,STs,0.02375
 LRWD1,STs,0.01925
ASRGL1,STs,0.0255
RGS5,STs,0.39475
RERGL,STs,0.02625
LBH,STs,0.04675
PAGE2B,STs,0.015249999999999998
  PRM2,STs,0.11699999999999999
MAGEB2,STs,0.009000000000000001
MYH11,STs,0.04025
KRT17,STs,0.0035
MYLK,STs,0.50775
SPANXN4,STs,0.0175
PPP1R2C,STs,0.0235
AC239803.2,STs,0.0285
INSL3,STs,0.0455
GSTA1,STs,0.659
CYP17A1,STs,0.14500000000000002
H2AFZ,STs,0.19574999999999998
 TEX101,STs,0.02275
HSPA5,STs,0.40925
IGFBP7,STs,0.10525000000000001
 ACTA2,STs,0.02875
  PTGDS,STs,0.30474999999999997
FAM71A,STs,0.00825
  TNP1,STs,0.0565
C20orf144,STs,0.014
TIMP1,STs,0.71975
BEX1,STs,0.83375
CRYAB,STs,0.33575
IGLC2,STs,0.01725
IGLC3,STs,0.01575
IGHG1,STs,0.01225
HLA-DRA,STs,0.027999999999999997
RNASE1,STs,0.94225
CD74,STs,0.05725
TDRD1,Spermatids,0.10936363636363637
ELAVL2,Spermatids,0.17781818181818182
SOX4,Spermatids,0.05818181818181818
HMGN5,Spermatids,0.012454545454545453
DEFB119,Spermatids,0.05609090909090909
CITED1,Spermatids,0.022636363636363635
DCN,Spermatids,0.005909090909090909
C7,Spermatids,0.003
 PTGDS,Spermatids,0.03890909090909091
BX119904.2,Spermatids,0.457
SPANXN3,Spermatids,0.48863636363636365
LINC00919,Spermatids,0.6084545454545455
HIST1H2AA,Spermatids,0.13918181818181818
HIST1H2BA,Spermatids,0.09081818181818181
AC084033.3,Spermatids,0.09263636363636363
RAD51AP2,Spermatids,0.05072727272727273
ZCWPW1,Spermatids,0.06054545454545455
SYCP3,Spermatids,0.08499999999999999
 HLA-DRA,Spermatids,0.012363636363636365
 CD74,Spermatids,0.009818181818181818
CCL4L2,Spermatids,0.002
 CLU,Spermatids,0.19618181818181818
SERPINA5,Spermatids,0.07881818181818182
  DEFB119,Spermatids,0.05609090909090909
TKTL1,Spermatids,0.13
GAGE2A,Spermatids,0.07072727272727274
HIST1H1A,Spermatids,0.04445454545454546
EQTN,Spermatids,0.4512727272727273
LINC01760,Spermatids,0.619
LINC02032,Spermatids,0.3930909090909091
TAGLN,Spermatids,0.006272727272727274
ACTA2,Spermatids,0.010818181818181817
ADIRF,Spermatids,0.008090909090909091
HMGA1,Spermatids,0.06981818181818182
TUBA1B,Spermatids,0.24363636363636365
CCNI,Spermatids,0.09618181818181819
CCDC110,Spermatids,0.3756363636363636
GOLGA6L2,Spermatids,0.32172727272727275
LINC00643,Spermatids,0.41463636363636364
PTGDS,Spermatids,0.03890909090909091
PEMT,Spermatids,0.011636363636363637
LAMA2,Spermatids,0.016636363636363637
PRM1,Spermatids,0.7151818181818181
TNP1,Spermatids,0.6213636363636363
PRM2,Spermatids,0.6957272727272727
HSPB6,Spermatids,0.009090909090909092
CFD,Spermatids,0.0041818181818181815
IGFBP6,Spermatids,0.004909090909090909
AL133499.1,Spermatids,0.2509090909090909
 CCDC110,Spermatids,0.3756363636363636
AC010980.1,Spermatids,0.3129090909090909
GNG11,Spermatids,0.0032727272727272726
SPARCL1,Spermatids,0.00818181818181818
A2M,Spermatids,0.036000000000000004
LINC01921,Spermatids,0.4619090909090909
 PRM2,Spermatids,0.6957272727272727
 PRM1,Spermatids,0.7151818181818181
 LINC01921,Spermatids,0.4619090909090909
  PRM1,Spermatids,0.7151818181818181
 TNP1,Spermatids,0.6213636363636363
LRWD1,Spermatids,0.36972727272727274
SPACA1,Spermatids,0.5069090909090909
BOD1L2,Spermatids,0.7126363636363636
TP53TG5,Spermatids,0.37827272727272726
C1orf100,Spermatids,0.5386363636363636
CCDC168,Spermatids,0.3937272727272727
TEX101,Spermatids,0.0630909090909091
SYCP1,Spermatids,0.16045454545454543
LY6K,Spermatids,0.040363636363636365
CETN3,Spermatids,0.05818181818181818
C15orf48,Spermatids,0.14727272727272728
RNFT1,Spermatids,0.1368181818181818
APOA1,Spermatids,0.036181818181818176
CLU,Spermatids,0.19618181818181818
 DEFB119,Spermatids,0.05609090909090909
 AL133499.1,Spermatids,0.2509090909090909
 LRWD1,Spermatids,0.36972727272727274
ASRGL1,Spermatids,0.35063636363636363
RGS5,Spermatids,0.04754545454545455
RERGL,Spermatids,0.005
LBH,Spermatids,0.04090909090909091
PAGE2B,Spermatids,0.10827272727272728
  PRM2,Spermatids,0.6957272727272727
MAGEB2,Spermatids,0.07818181818181819
MYH11,Spermatids,0.04418181818181818
KRT17,Spermatids,0.0051818181818181815
MYLK,Spermatids,0.03227272727272727
SPANXN4,Spermatids,0.30363636363636365
PPP1R2C,Spermatids,0.52
AC239803.2,Spermatids,0.5750000000000001
INSL3,Spermatids,0.02981818181818182
GSTA1,Spermatids,0.013181818181818182
CYP17A1,Spermatids,0.05881818181818182
H2AFZ,Spermatids,0.06681818181818182
 TEX101,Spermatids,0.0630909090909091
HSPA5,Spermatids,0.1318181818181818
IGFBP7,Spermatids,0.023
 ACTA2,Spermatids,0.010818181818181817
  PTGDS,Spermatids,0.03890909090909091
FAM71A,Spermatids,0.35718181818181816
  TNP1,Spermatids,0.6213636363636363
C20orf144,Spermatids,0.48063636363636364
TIMP1,Spermatids,0.017272727272727273
BEX1,Spermatids,0.012090909090909091
CRYAB,Spermatids,0.032545454545454544
IGLC2,Spermatids,0.00027272727272727274
IGLC3,Spermatids,0.0
IGHG1,Spermatids,0.00036363636363636367
HLA-DRA,Spermatids,0.012363636363636365
RNASE1,Spermatids,0.038636363636363635
CD74,Spermatids,0.009818181818181818
