Cell,Group,Disease,Stage,PlotStage,Pseudotime2,MixEntropy,Batch,OXPHOS,Apoptosis
Normal_1_1_9_2_bar66,Normal,Control,D,Late SPC,6.4911627906976745,0.3764618904658653,Normal_1,2.8609738916612155,0.06963030584511033
Normal_1_1_9_3_bar67,Normal,Control,S2,Elongated Sperm,9.486092715231788,0.43949698691862793,Normal_1,2.480408617502159,0.4224033921532896
Normal_1_1_9_4_bar68,Normal,Control,S2,Elongated Sperm,9.586754966887417,0.42200051688026774,Normal_1,2.7422848944418248,0.2780627312733793
Normal_1_1_9_5_bar69,Normal,Control,S2,Elongated Sperm,9.263576158940396,0.7192711659547665,Normal_1,2.5293592374712746,0.4105242445335883
Normal_1_1_9_6_bar70,Normal,Control,D,Late SPC,6.517209302325582,0.3764618904658653,Normal_1,2.9127365357834467,0.11847349358541333
Normal_1_1_9_7_bar71,Normal,Control,D,Late SPC,6.435348837209302,0.27071808593082797,Normal_1,3.0474058937149775,0.09325614053119834
Normal_1_1_9_8_bar72,Normal,Control,S2,Elongated Sperm,9.2158940397351,0.6474532485582359,Normal_1,2.6031177200377353,0.1599556443200353
Normal_1_2_10_1_bar73,Normal,Control,D,Late SPC,6.481860465116278,0.3764618904658653,Normal_1,3.1165566608562596,0.5982925030701678
Normal_1_2_10_2_bar74,Normal,Control,preP,Late SPC,5.874157303370787,0.7451377602914301,Normal_1,3.2758105590535527,0.14465518189262466
Normal_1_2_10_3_bar75,Normal,Control,preP,Late SPC,5.829213483146067,0.7451377602914301,Normal_1,3.2565073048123847,0.041933492309532666
Normal_1_2_10_4_bar76,Normal,Control,P,Late SPC,6.317857142857143,0.20976880507769463,Normal_1,3.1295096181611743,0.16215906873747776
Normal_1_2_10_5_bar77,Normal,Control,preP,Late SPC,6.0,0.5076575881791653,Normal_1,3.361614387782369,0.0
Normal_1_2_10_7_bar79,Normal,Control,preP,Late SPC,5.779775280898876,0.8529118707301875,Normal_1,3.3716756406139816,0.1921536289483551
Normal_1_2_10_8_bar80,Normal,Control,P,Late SPC,6.2785714285714285,0.3764618904658653,Normal_1,3.0278921330063913,0.13253615595026555
