celltype,n_pathways,mean_expression,median_expression,min_expression,max_expression
SSCs,30,0.019136470380553453,0.1365750128998318,-1.80553227350863,1.42616376803763
Early_primary_SPCs,30,-0.17930016489761355,-0.408912390622687,-1.61049824293182,1.66010135766274
SPGs,30,0.4978463982749863,0.5579236510573945,-1.29852766453912,1.94971658328039
Late_primary_SPCs,30,0.20625765033843452,0.15679521820529552,-0.826972208607836,1.24008071109244
Round_Spermatids,30,-0.16294763327134185,-0.399521657898343,-1.37277197151828,1.43668749172883
Elongated_Spermatids,30,0.21617244831230262,0.0552641622593481,-1.6775645818913,1.80237027592402
Sperm,30,-0.5971651691373211,-1.10584336929866,-2.01830524947948,1.83689066014458
