panel,dataset,metric,comparison,n_control,n_group,p_value,star
E,GSE149512,SASP,AZFa vs Control,1377,5425,1.0043573618710756e-31,****
E,GSE149512,SASP,iNOA vs Control,1377,21191,4.18247559059872e-100,****
E,GSE149512,SASP,KS vs Control,1377,7702,3.1368670223649233e-43,****
