panel,dataset,metric,comparison,n_control,n_group,p_value,star
D,GSE149512,Cytokine_z,AZFa vs Control,1378,5425,7.8350230245413465e-53,****
D,GSE149512,Cytokine_z,iNOA vs Control,1378,21196,1.8505758918352396e-95,****
D,GSE149512,Cytokine_z,KS vs Control,1378,7707,1.4835829908079894e-34,****
