panel,dataset,metric,comparison,n_control,n_group,p_value,star
C,GSE149512,LCimmature_z,AZFa vs Control,708,3575,1.1502357100145793e-13,****
C,GSE149512,LCimmature_z,iNOA vs Control,708,12150,4.583365560087981e-07,****
C,GSE149512,LCimmature_z,KS vs Control,708,6225,2.579379698642245e-56,****
