panel,dataset,metric,comparison,n_control,n_group,p_value,star
B,GSE149512,ST_maturity,AZFa vs Control,622,937,9.407970478421526e-102,****
B,GSE149512,ST_maturity,iNOA vs Control,622,4691,3.477146649050883e-38,****
B,GSE149512,ST_maturity,KS vs Control,622,523,1.5807643583153505e-96,****
