pseudotime,entropy_smooth
0.0,0.0
0.008695652173913,0.0
0.017391304347826,0.0
0.0260869565217391,0.0028884111629528
0.0347826086956521,0.00779906288799
0.0434782608695652,0.0127024210803123
0.0521739130434782,0.0175984916178094
0.0608695652173913,0.0224872849733185
0.0695652173913043,0.0273688170779459
0.0782608695652174,0.0322431100596714
0.0869565217391304,0.0371101928644792
0.0956521739130434,0.0419701017667566
0.1043478260869565,0.0468228807749997
0.1130434782608695,0.0516685819380857
0.1217391304347826,0.056507265556632
0.1304347826086956,0.0613390003033829
0.1391304347826086,0.0661638632563386
0.1478260869565217,0.0709819398485866
0.1565217391304348,0.0757933237397419
0.1652173913043478,0.080598116615716
0.1739130434782608,0.0853964279264404
0.1826086956521738,0.0901883745754087
0.1913043478260869,0.0949740805806978
0.2,0.0997536770810793
0.208695652173913,0.1045273037078016
0.217391304347826,0.109295110060735
0.2260869565217391,0.1140572545234231
0.2347826086956522,0.1188138951103048
0.2434782608695652,0.1235651853661066
0.2521739130434782,0.1283112640397648
0.2608695652173913,0.1330522496896627
0.2695652173913043,0.1377882388218282
0.2782608695652173,0.1425193118539047
0.2869565217391304,0.1472455427566545
0.2956521739130434,0.1519670032038659
0.3043478260869565,0.1566837631158527
0.3130434782608696,0.1613958906656561
0.3217391304347826,0.1661034522920532
0.3304347826086956,0.1708065127203079
0.3391304347826087,0.1755051349917095
0.3478260869565217,0.1801993805030972
0.3565217391304348,0.1848893090577144
0.3652173913043477,0.189574978928921
0.3739130434782609,0.1942564469384925
0.3826086956521739,0.1989337685514601
0.391304347826087,0.203606997989717
0.4,0.2082761883668981
0.4,0.2082761883668981
0.4190476190476191,0.2184900784167172
0.4380952380952381,0.228685375162324
0.4571428571428571,0.2388626113941456
0.4761904761904761,0.2490223317381283
0.4952380952380952,0.2591651154999213
0.5142857142857142,0.2692916075613429
0.5333333333333333,0.2794025599886114
0.5523809523809524,0.2894988879523135
0.5714285714285714,0.2995817448694375
0.5904761904761905,0.3096526235222855
0.6095238095238096,0.3197134925338702
0.6285714285714286,0.3297669813568386
0.6476190476190475,0.339816632430567
0.6666666666666666,0.3498672472468804
0.6857142857142857,0.3599253650610612
0.7047619047619047,0.3699999308685472
0.7238095238095238,0.3801032358529021
0.7428571428571429,0.390252252312019
0.7619047619047619,0.400470538780242
0.780952380952381,0.4107909551296327
0.8,0.4212594676017013
1.6,0.8581745093762772
1.6055555555555556,0.8604839718776719
1.611111111111111,0.8627819847150272
1.6166666666666667,0.865068181463053
1.6222222222222222,0.867342194301518
1.627777777777778,0.8696036596724116
1.6333333333333333,0.8718522236823895
1.6388888888888888,0.8740875472038688
1.6444444444444442,0.8763093103262681
1.65,0.8785172152484466
1.6555555555555557,0.8807109887332569
1.661111111111111,0.8828903844879225
1.666666666666667,0.8850551854750474
1.672222222222222,0.8872052061618726
1.6777777777777778,0.8893402947176722
1.6833333333333331,0.8914603351722796
1.6888888888888889,0.8935652495517936
1.6944444444444442,0.8956550000114771
1.7000000000000002,0.8977295903935099
1.7055555555555555,0.8997890653274336
1.711111111111111,0.9018335082918104
1.7166666666666668,0.9038630392845192
1.7222222222222223,0.905877812262213
1.727777777777778,0.9078780124858624
1.7333333333333332,0.9098638538853068
1.738888888888889,0.9118355765337708
1.7444444444444442,0.9137934443024748
1.75,0.9157377427486352
1.7555555555555558,0.9176687772751236
1.761111111111111,0.919586871588758
1.7666666666666666,0.9214923664752108
1.772222222222222,0.9233856189021846
1.777777777777778,0.9252670014581492
1.7833333333333332,0.9271369021311376
1.788888888888889,0.9289957244301548
1.7944444444444445,0.930843887849637
1.7999999999999998,0.9326818286737626
1.805555555555556,0.9345100011100506
1.8111111111111111,0.936328878727636
1.8166666666666669,0.9381389561495266
1.822222222222222,0.939940750902364
1.827777777777778,0.9417348052496484
1.8333333333333333,0.9435216877052162
1.8388888888888888,0.9453019937137
1.8444444444444443,0.947076344826411
