cell_id,group,Disease,Stage,plot_stage,pseudotime,mix_entropy,Batch,OXPHOS,Apoptosis
Normal_3_3_12_8_bar96,Normal,Control,S2,Elongated Sperm,9.290066225165564,0.7192711659547665,Normal_3,2.370304620455456,0.1966883061057022
Normal_3_3_2_8_bar16,Normal,Control,P,Late SPC,6.15,0.3258655606291759,Normal_3,3.083796374275758,0.2871646135785167
Normal_3_3_3_1_bar17,Normal,Control,preP,Late SPC,5.8876404494382015,0.7451377602914301,Normal_3,3.2804679277474844,0.1286322792868944
Normal_3_3_3_3_bar19,Normal,Control,Z,Early SPC,5.44,0.8618667612702412,Normal_3,2.9554723857352574,0.7264427022982134
Normal_3_3_4_2_bar26,Normal,Control,Undiff.SPG-1,SPG (Stem),1.95,0.999208938861951,Normal_3,2.9457695413220844,0.8747744177868934
Normal_3_3_4_3_bar27,Normal,Control,Undiff.SPG-1,SPG (Stem),1.9555555555555555,0.999208938861951,Normal_3,2.9794737149735955,0.4721464423154489
Normal_3_3_4_6_bar30,Normal,Control,SPC7,Late SPC,7.401709401709402,0.4454685520745207,Normal_3,3.060292367074082,0.3535000875309255
Normal_3_3_4_7_bar31,Normal,Control,P,Late SPC,6.032142857142857,0.3258655606291759,Normal_3,2.8095070550810384,0.4567012263818522
Normal_3_3_4_8_bar32,Normal,Control,S2,Elongated Sperm,9.433112582781458,0.4668927834005117,Normal_3,2.650368767460842,0.3631760116771422
Normal_3_3_5_4_bar36,Normal,Control,P,Late SPC,6.360714285714285,0.1764720592497063,Normal_3,3.0329395980153526,0.6312251651634244
Normal_3_3_5_7_bar39,Normal,Control,S1,Round Sperm,8.067039106145252,0.4232915514333092,Normal_3,2.840051922918506,0.2703577930538755
Normal_3_3_6_2_bar42,Normal,Control,Undiff.SPG-1,SPG (Stem),1.788888888888889,0.965268051444089,Normal_3,2.840672284636138,0.8696603567310033
Normal_3_3_6_6_bar46,Normal,Control,S1,Round Sperm,8.015642458100558,0.4232915514333092,Normal_3,2.7426939301248696,0.1286322792868944
Normal_3_3_7_2_bar50,Normal,Control,Z,Early SPC,5.511111111111111,0.8618667612702412,Normal_3,3.0542354894268016,0.0
Normal_3_3_7_5_bar53,Normal,Control,L3,Early SPC,5.125581395348837,0.969379918165952,Normal_3,2.368223235744419,0.2652625045373333
Normal_3_3_8_1_bar57,Normal,Control,Undiff.SPG-2,SPG (Stem),2.3859649122807016,0.8705109726668042,Normal_3,3.281809089103282,0.5208231474440234
Normal_3_3_8_4_bar60,Normal,Control,L3,Early SPC,4.962790697674419,0.9885488356840308,Normal_3,2.7152794385574928,0.4779866947598922
Normal_3_3_8_5_bar61,Normal,Control,SPC7,Late SPC,7.39145299145299,0.4454685520745207,Normal_3,3.0145619293626003,0.3421180158831444
Normal_3_3_8_8_bar64,Normal,Control,preP,Late SPC,5.8516853932584265,0.7451377602914301,Normal_3,3.2075455400635757,0.1814148362167266
Normal_3_3_9_4_bar68,Normal,Control,Undiff.SPG-1,SPG (Stem),1.944444444444444,0.999208938861951,Normal_3,2.9766359851173596,0.2670903401796211
