row_score,col_score,spearman_rho,p_value,fdr_bh_q,stars,text_label
LC Mature,LC Immature,-0.6058823529411764,0.0128602985333671,0.0321507463334179,*,-0.61*
LC Mature,Germ Maturity Index,0.3569337063481993,0.1747391234025693,0.262108685103854,,0.36
LC Mature,Germ Latest Stage,0.5602962506968003,0.0239828708454602,0.0539614594022855,,0.56
LC Immature,ST Maturity,-0.6235294117647059,0.009855650390922,0.0277190167244681,*,-0.62*
LC Immature,BTB Integrity,-0.7764705882352941,0.0004043508405454,0.0032951673878379,**,-0.78**
LC Immature,ST Stress IEG,0.4941176470588235,0.0517234422492354,0.0969814542173165,,0.49
LC Immature,ST SASP,0.2588235294117647,0.3330723066336081,0.4282358228146389,,0.26
LC Immature,ST Lactate Export,-0.0823529411764706,0.761733078752474,0.8360485010697886,,-0.08
LC Immature,ST DHH Ligand,-0.4441176470588235,0.0848227441774158,0.1526809395193485,,-0.44
LC Immature,LC Mature,-0.6058823529411764,0.0128602985333671,0.0321507463334179,*,-0.61*
LC Immature,LC Immature,1.0,0.0,0.0,,1.00
LC Immature,Germ Maturity Index,-0.6548701058619855,0.0059030653474478,0.0205914003143568,*,-0.65*
LC Immature,Germ Latest Stage,-0.6716371723096259,0.0043824225409662,0.0201024391398215,*,-0.67*
Germ Maturity Index,ST Maturity,0.5545746842434832,0.0257822658175873,0.0552477124662586,,0.55
Germ Maturity Index,BTB Integrity,0.5191763001428353,0.0393161055954003,0.0769228152953486,,0.52
Germ Maturity Index,ST Stress IEG,-0.351033975664758,0.1824878881458987,0.2649017731150143,,-0.35
Germ Maturity Index,ST SASP,-0.1120948829853848,0.6793759555337304,0.7642979499754465,,-0.11
Germ Maturity Index,ST Lactate Export,0.2743374767800209,0.3038391331353804,0.4143260906391551,,0.27
Germ Maturity Index,ST DHH Ligand,0.6902684899626333,0.003079151363165,0.0173202264178032,*,0.69*
Germ Maturity Index,LC Mature,0.3569337063481993,0.1747391234025693,0.262108685103854,,0.36
Germ Maturity Index,LC Immature,-0.6548701058619855,0.0059030653474478,0.0205914003143568,*,-0.65*
Germ Maturity Index,Germ Maturity Index,0.9999999999999998,7.135409263138563e-109,0.0,,1.00
Germ Maturity Index,Germ Latest Stage,0.8213137116947162,9.585702187446092e-05,0.0014378553281169,**,0.82**
Germ Latest Stage,ST Maturity,0.653678959146267,0.0060253178800979,0.0205914003143568,*,0.65*
Germ Latest Stage,BTB Integrity,0.6572706017789387,0.0056627059394029,0.0205914003143568,*,0.66*
Germ Latest Stage,ST Stress IEG,-0.2657815548177129,0.3197681025043346,0.4232224886086781,,-0.27
Germ Latest Stage,ST SASP,0.0430997115920615,0.874073317677398,0.9138955872505,,0.04
Germ Latest Stage,ST Lactate Export,0.4094472601245848,0.1152784460765959,0.1921307434609932,,0.41
Germ Latest Stage,ST DHH Ligand,0.6500873165135952,0.0064062134311332,0.0205914003143568,*,0.65*
Germ Latest Stage,LC Mature,0.5602962506968003,0.0239828708454602,0.0539614594022855,,0.56
Germ Latest Stage,LC Immature,-0.6716371723096259,0.0043824225409662,0.0201024391398215,*,-0.67*
Germ Latest Stage,Germ Maturity Index,0.8213137116947162,9.585702187446092e-05,0.0014378553281169,**,0.82**
Germ Latest Stage,Germ Latest Stage,1.0,0.0,0.0,,1.00
