Sample_ID,Group,PC1,PC2,PC1_v2,PC2_v2
AZFc_Del_1,AZFc_Del,-0.2426333905601467,-0.2876086629878271,-0.2762258703304518,0.2078032052645746
AZFc_Del_2,AZFc_Del,-2.160846839868518,-1.375268034121723,-2.978424288266412,1.383128806136446
AZFc_Del_3,AZFc_Del,0.9482686733773292,-2.699305744753549,0.3509488602661402,2.841483803155382
AZFc_Del_4,AZFc_Del,-0.0676491577367487,-0.3051426028663606,0.0218239609548253,0.1501061103617611
Ctrl_1,Ctrl,-1.631405285139262,2.076096960137255,-1.238289844381524,-2.310613613864331
Ctrl_2,Ctrl,1.057209104360443,2.742528296377907,1.56419243867801,-2.408381339843046
Ctrl_3,Ctrl,-1.557670467873014,1.553340753354114,-0.8620402557374913,-2.135856654562983
KS_1,KS,4.875553418515818,-0.9703630630651252,4.565867423993573,1.980119280114405
KS_2,KS,0.0606572057699039,-2.520542204033494,-0.9533618901161318,2.889890899836624
OA_2,OA,-1.332608936146728,0.0388944116374002,-1.281048164250349,-0.3278509848642284
OA_3,OA,-2.962805786070258,0.5251745749820398,-3.097248416768815,-0.8637057599610156
OA_4,OA,-2.486413882327901,-1.283138653868767,-2.556078032846053,0.6042925891258005
iNOA_B,iNOA_B,0.4384565080979581,1.125282445061365,0.8381315076162875,-1.162596261264806
iNOA_S1,iNOA_S,1.334318366390194,0.0677293288365267,1.572657935566188,-0.0069880567284682
iNOA_S2,iNOA_S,2.606640932962659,2.457538535565929,3.119654246841122,-1.880825604093658
iNOA_S3,iNOA_S,1.120929536248272,-1.145216340255691,1.209440388781087,1.039993581187543
