Sample_ID,Group,PC1_v2,PC2_v2,sample_rank_pc1v2
OA_3,OA,-3.097248416768815,-0.8637057599610156,1
AZFc_Del_2,AZFc_Del,-2.978424288266412,1.383128806136446,2
OA_4,OA,-2.556078032846053,0.6042925891258005,3
OA_2,OA,-1.281048164250349,-0.3278509848642284,4
Ctrl_1,Ctrl,-1.238289844381524,-2.310613613864331,5
KS_2,KS,-0.9533618901161318,2.889890899836624,6
Ctrl_3,Ctrl,-0.8620402557374913,-2.135856654562983,7
AZFc_Del_1,AZFc_Del,-0.2762258703304518,0.2078032052645746,8
AZFc_Del_4,AZFc_Del,0.0218239609548253,0.1501061103617611,9
AZFc_Del_3,AZFc_Del,0.3509488602661402,2.841483803155382,10
iNOA_B,iNOA_B,0.8381315076162875,-1.162596261264806,11
iNOA_S3,iNOA_S,1.209440388781087,1.039993581187543,12
Ctrl_2,Ctrl,1.56419243867801,-2.408381339843046,13
iNOA_S1,iNOA_S,1.572657935566188,-0.0069880567284682,14
iNOA_S2,iNOA_S,3.119654246841122,-1.880825604093658,15
KS_1,KS,4.565867423993573,1.980119280114405,16
