Sample_ID,Group,x_niche_collapse_axis,y_germ_maturity_index
AZFc_Del_1,AZFc_Del,-0.2762258703304518,2.563333333333333
AZFc_Del_2,AZFc_Del,-2.978424288266412,4.946525027007562
AZFc_Del_3,AZFc_Del,0.3509488602661402,4.135689620150315
AZFc_Del_4,AZFc_Del,0.0218239609548253,4.017673048600884
Ctrl_1,Ctrl,-1.238289844381524,5.012033694344163
Ctrl_2,Ctrl,1.56419243867801,5.407930012699309
Ctrl_3,Ctrl,-0.8620402557374913,3.694626657362177
KS_1,KS,4.565867423993573,0.0
KS_2,KS,-0.9533618901161318,4.777765820060267
OA_2,OA,-1.281048164250349,5.062145922746781
OA_3,OA,-3.097248416768815,4.728574084402306
OA_4,OA,-2.556078032846053,4.650543933054394
iNOA_B,iNOA_B,0.8381315076162875,2.28045574057844
iNOA_S1,iNOA_S,1.572657935566188,0.0
iNOA_S2,iNOA_S,3.119654246841122,0.0
iNOA_S3,iNOA_S,1.209440388781087,1.0
