Sample_ID,Group,sample_rank_pc1v2
OA_3,OA,1
AZFc_Del_2,AZFc_Del,2
OA_4,OA,3
OA_2,OA,4
Ctrl_1,Ctrl,5
KS_2,KS,6
Ctrl_3,Ctrl,7
AZFc_Del_1,AZFc_Del,8
AZFc_Del_4,AZFc_Del,9
AZFc_Del_3,AZFc_Del,10
iNOA_B,iNOA_B,11
iNOA_S3,iNOA_S,12
Ctrl_2,Ctrl,13
iNOA_S1,iNOA_S,14
iNOA_S2,iNOA_S,15
KS_1,KS,16
