direction,group,group_display,module,representative_GO_term,GO_ID,Count,GeneRatio,gene_ratio,p.adjust,minus_log10_p_adjust,geneID
Up,iNOA_S,iNOA_S,Vesicle / secretory lumen,endoplasmic reticulum lumen,GO:0005788,54.0,54/995,0.054271356783919596,6.75e-13,12.170696227168976,PENK/COL15A1/COL1A2/COL6A2/F8/LGALS1/IGFBP7/FN1/COL1A1/COL6A3/COL3A1/CST3/FKBP7/SELENOM/ERAP2/VCAN/TIMP1/COL6A1/APP/IGFBP5/LAMB2/TXNDC16/COL14A1/COL5A1/F10/ESD/H6PD/LAMC1/RCN1/ERAP1/CKAP4/SERPINH1/SPARCL1/APOA1/GPX8/MXRA8/FUCA2/COL12A1/ADAMTS5/SERPING1/FBN1/COL4A5/CALU/MFGE8/CTSC/APLP2/SHISA5/PDIA5/CRTAP/CANX/PTPRN2/UGGT1/SELENOF/HSP90B1
Up,KS,KS,Vesicle / secretory lumen,endoplasmic reticulum lumen,GO:0005788,68.0,68/1324,0.0513595166163142,2.91e-15,14.536107011014092,IGFBP7/PPIB/PENK/COL6A2/IGFBP5/APOE/SELENOM/IGFBP4/F10/COL6A1/LAMB2/CST3/COL18A1/MXRA8/FSTL3/QSOX1/APP/RCN3/MFGE8/CRTAP/ERAP2/LGALS1/FKBP7/P4HB/GAS6/RCN1/PRKCSH/APLP2/VWA1/SUMF2/SERPINH1/SERPING1/SHISA5/NUCB1/OS9/RNASET2/H6PD/COL16A1/MAPK3/COL15A1/COL5A1/JMJD8/CKAP4/TIMP1/LRPAP1/CERCAM/PNPLA2/BACE1/COL27A1/WFS1/GANAB/HRC/PDIA6/CD4/SDC2/CALR/RCN2/FUCA2/COL1A1/CES2/COL6A3/CNPY3/TXNDC16/ESD/CTSZ/ERAP1/FKBP10/PTPRN2
Up,AZFc,AZFc_Del,Interstitial / tissue development,reproductive system development,GO:0061458,29.0,29/370,0.07837837837837838,3.49e-05,4.45717457304082,UBB/CITED1/SOX9/CTSV/PDGFRA/HES1/SERPINA5/INHBA/SERPINE2/FGF10/RHOBTB3/SOX15/NOTCH2/NKX3-1/KITLG/FOXC1/PDGFRB/BMPR2/SP3/HMGB2/LGR4/ZFP36L1/DCN/AR/UBE2Q1/PKD2/ITGB8/TRIM28/LHX9
Up,iNOA_B,iNOA_B,Interstitial / tissue development,muscle tissue development,GO:0060537,12.0,12/92,0.13043478260869565,0.000312264,3.505478081419969,MYH11/MYLK/IGF2/ITGB1/SVIL/TPM1/DMD/PDGFRA/PTCH1/EGR1/MYOCD/PDGFRB
Up,iNOA_S,iNOA_S,Interstitial / tissue development,ossification,GO:0001503,67.0,67/958,0.06993736951983298,8.46e-14,13.072629636960976,PENK/COL1A2/IGF1/MDK/OSR2/MMP2/COL1A1/OMD/CITED1/EGFR/JUNB/DDR2/KLF10/SFRP1/SMAD5/ANO6/SNAI2/SPARC/CHSY1/RRBP1/PTCH1/PTN/VCAN/SP3/RASSF2/COL6A1/CREB3L1/IGFBP5/BMPR2/HGF/BCAP29/CLIC1/GPNMB/SOX9/CTSK/FOXC1/RBPJ/TGFB3/PKDCC/EXT2/FBL/OSR1/WWTR1/SMOC1/THRA/ADAR/TOB2/CLEC3B/PRKACA/MRC2/NIPBL/HNRNPU/MMP14/BMPR1A/MGP/ECM1/ATF4/JUND/YAP1/SORT1/SNRNP200/CDH11/TWSG1/LTBP3/DHX9/PTPN11/DHX36
Up,KS,KS,Interstitial / tissue development,gland development,GO:0048732,69.0,69/1278,0.0539906103286385,4.82e-08,7.31695296176115,ID2/MDK/IGFBP5/PRDX2/MAFB/TCF21/HNRNPD/HES1/FGF10/TGFBR3/PDGFRA/FSTL3/FOXC1/SERPINE2/CDKN1B/CEBPB/AR/DBP/PRKCSH/PTEN/NOTCH2/NCOR2/LY6E/SRSF5/TGFB3/MAPK3/TBX2/SP3/HOXD9/LMO4/STAT6/THRA/ZNF703/PKD1/PRMT5/CITED2/STAT5A/HMOX1/ASH1L/ALDH1A3/PHB2/USF2/RARA/XBP1/RGN/CUL3/HGF/MPST/ACO2/CAPN1/LBH/FGF2/AKT2/EGFR/FPGS/TGFBR2/SRSF1/SLC29A1/BMPR1A/PLXND1/NRP1/SOCS2/PML/SMAD3/STAT5B/DKK3/ABL1/HAND2/UBE3A
Up,AZFc,AZFc_Del,Actin / contractile cytoskeleton,,,0.0,,,,,
Up,iNOA_B,iNOA_B,Actin / contractile cytoskeleton,contractile fiber,GO:0043292,13.0,13/97,0.13402061855670103,2.03e-08,7.692503962086787,MYH11/ACTA2/SVIL/TPM2/NEXN/TPM1/SPTBN1/SQSTM1/DMD/CALD1/MYOZ3/PALLD/AHNAK
Up,iNOA_S,iNOA_S,Actin / contractile cytoskeleton,,,0.0,,,,,
Up,KS,KS,Actin / contractile cytoskeleton,,,0.0,,,,,
