direction,group,Description,ID,Count,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,minus_log10_pvalue,minus_log10_p_adjust,geneID
Up,iNOA_S,muscle tissue development,GO:0060537,54,54/958,403/18723,8.73e-11,6.68e-08,5.07e-08,10.05898575629443,7.175223537524454,DCN/PDGFRA/FOS/IGF1/EGR1/PI16/ID2/TGFBR3/NR2F2/PDGFRB/VAMP5/SVIL/SMAD5/MYH11/PTCH1/NOTCH2/RGS2/HLF/NR1D2/IGFBP5/PTEN/ENG/SOX9/FOXC1/CDC42/RBPJ/OSR1/EFEMP2/AKAP13/ITGB1/DDX17/CSRP1/YY1/HNRNPU/EEF2/DMD/AKAP6/CFL2/SGCD/BMPR1A/COPS2/ZFPM2/PRMT1/SAV1/YAP1/LY6E/SOX15/TGFBR2/HOXD9/MEF2A/CAV1/DLG1/MSC/G6PD
Up,iNOA_S,growth factor binding,GO:0019838,29,29/970,141/18368,2.23e-10,6.95e-08,6.23e-08,9.651695136951838,7.158015195409886,PDGFRA/COL1A2/LTBP4/IGFBP7/TGFBR3/COL1A1/PDGFRB/IGFBP6/COL3A1/LIFR/EGFR/NTRK2/NRP1/PTN/COL6A1/IGFBP5/BMPR2/COL5A1/ITGAV/ENG/FGFR1/TGFB3/GLG1/TSKU/SORT1/TGFBR2/TWSG1/GHR/LTBP3
Up,iNOA_S,collagen binding,GO:0005518,20,20/970,69/18368,2.3e-10,6.95e-08,6.23e-08,9.638272163982407,7.158015195409886,DCN/COL6A2/PCOLCE/FN1/LUM/DDR2/SPARC/COL6A1/NID1/COL14A1/CTSK/SERPINH1/SPARCL1/ITGB1/MUSK/MRC2/PODN/CRTAP/ECM2/AEBP1
Up,iNOA_S,membrane raft,GO:0045121,47,47/995,335/19550,2.7e-10,3.99e-08,3.38e-08,9.568636235841012,7.399027104313252,PLPP3/BST2/AHNAK/EMP2/PRNP/TUBA1A/TFPI/EGFR/ANXA2/TUBB/PTCH1/CNTN1/APP/BMPR2/MME/DLC1/EDNRB/STOM/SERPINH1/MYADM/GNAI2/CAVIN1/ANK2/ITGB1/ATP1A2/EHD2/PRKACA/EEF2/ATP2B4/DMD/AKAP6/SPRED1/BMPR1A/PTGIS/CAPN2/THY1/PLSCR1/LAMP2/CLIP3/ATP1B1/EFNB1/TGFBR2/RAP2B/HMOX1/CAV1/DLG1/PTPN11
Up,iNOA_S,membrane microdomain,GO:0098857,47,47/995,335/19550,2.7e-10,3.99e-08,3.38e-08,9.568636235841012,7.399027104313252,PLPP3/BST2/AHNAK/EMP2/PRNP/TUBA1A/TFPI/EGFR/ANXA2/TUBB/PTCH1/CNTN1/APP/BMPR2/MME/DLC1/EDNRB/STOM/SERPINH1/MYADM/GNAI2/CAVIN1/ANK2/ITGB1/ATP1A2/EHD2/PRKACA/EEF2/ATP2B4/DMD/AKAP6/SPRED1/BMPR1A/PTGIS/CAPN2/THY1/PLSCR1/LAMP2/CLIP3/ATP1B1/EFNB1/TGFBR2/RAP2B/HMOX1/CAV1/DLG1/PTPN11
Up,iNOA_S,glycosaminoglycan binding,GO:0005539,38,38/970,230/18368,3.47e-10,7.85e-08,7.04e-08,9.459670525209127,7.105130343254747,SERPINE2/DCN/FGF10/LTBP4/MDK/PCOLCE/CRISPLD2/FN1/PRNP/TGFBR3/CFH/LAYN/RSPO3/SFRP1/PPIA/NRP1/PTCH1/PTN/VCAN/APP/ADAMTS1/COL5A1/CCDC80/GPNMB/ENG/FGFR1/FGF7/EFEMP2/SMOC1/VIT/ADAMTS5/FBN1/CLEC3B/ZNF146/APLP2/TGFBR2/ECM2/ADAMTS3
Up,KS,endoplasmic reticulum lumen,GO:0005788,68,68/1324,313/19550,4.5e-18,2.91e-15,2.4e-15,17.346787486224656,14.536107011014092,IGFBP7/PPIB/PENK/COL6A2/IGFBP5/APOE/SELENOM/IGFBP4/F10/COL6A1/LAMB2/CST3/COL18A1/MXRA8/FSTL3/QSOX1/APP/RCN3/MFGE8/CRTAP/ERAP2/LGALS1/FKBP7/P4HB/GAS6/RCN1/PRKCSH/APLP2/VWA1/SUMF2/SERPINH1/SERPING1/SHISA5/NUCB1/OS9/RNASET2/H6PD/COL16A1/MAPK3/COL15A1/COL5A1/JMJD8/CKAP4/TIMP1/LRPAP1/CERCAM/PNPLA2/BACE1/COL27A1/WFS1/GANAB/HRC/PDIA6/CD4/SDC2/CALR/RCN2/FUCA2/COL1A1/CES2/COL6A3/CNPY3/TXNDC16/ESD/CTSZ/ERAP1/FKBP10/PTPRN2
Up,KS,collagen-containing extracellular matrix,GO:0062023,73,73/1324,425/19550,1.33e-13,4.3e-11,3.55e-11,12.876148359032914,10.366531544420413,LTBP4/IGFBP7/MDK/COL6A2/PODN/TIMP2/APOE/MFAP4/TIMP3/DPT/COL6A1/LTBP3/LAMB2/LAMC3/PCOLCE/ADAMTS1/CTSF/FGF10/COL18A1/MMP2/SOD3/ANGPTL1/OGN/SERPINE2/RARRES2/LGALS3BP/MFGE8/EMILIN1/HTRA1/LGALS1/FBLN5/SMOC1/HNRNPM/EFEMP2/VWA1/SERPINH1/SERPING1/LGALS3/TGFB1I1/ANG/DCN/NID2/MYOC/ANXA2/MXRA7/COL16A1/HSPG2/TMEFF2/TGFB3/COL15A1/SERPINB6/COL5A1/TIMP1/COL27A1/AEBP1/CTSL/OMD/ANXA5/KAZALD1/CD151/SDC2/FBLN1/ENTPD2/CALR/CCDC80/COL1A1/COL6A3/ANGPTL2/CTSB/CTSZ/ANXA11/ITIH5/ANXA4
Up,KS,viral process,GO:0016032,69,69/1278,415/18723,4.24e-12,1.17e-08,9.2e-09,11.372634143407268,7.931814138253839,JUN/PPIB/HSPA1A/ZFP36/PCBP1/GSN/HSPA1B/APOE/HEXIM1/BST2/CD81/CCL2/CD74/RAB1B/NFIA/IFITM1/PHB/LGALS1/P4HB/EIF3F/GAS6/IFITM2/SIVA1/PPIA/TRIM28/EIF3G/RRAGA/LY6E/CCL4/TRIM8/RAD23A/STOM/CTBP2/MAVS/VPS28/ZNF639/CHMP4B/NUCKS1/CHMP1B/DEK/CTSL/PHB2/USF2/MX1/CD4/ITGAV/SMARCB1/CCL3/EEA1/EIF3B/ZBED1/TPCN1/EGFR/HLA-DRB1/PCBP2/TNFRSF14/VPS4A/PTBP1/N4BP1/LAMP1/CTSB/SLC3A2/NRP1/PML/TBC1D20/APOBEC3G/EIF3D/TRIM22/IFITM3
Up,KS,regulation of binding,GO:0051098,63,63/1278,363/18723,5.54e-12,1.17e-08,9.2e-09,11.25649023527157,7.931814138253839,JUN/IGF1/KLF4/APOE/LRP1/STUB1/RAMP2/HES1/NES/TGFBR3/FOXC1/ID1/NFKBIA/APP/RACK1/CAMK1/HSF1/TRIM28/DDIT3/ANXA2/EIF4A3/MAPK3/WFIKKN2/SPPL3/CTBP2/LRPAP1/MDFI/NUCKS1/PKD1/HMOX1/GTF2F1/PLCL2/RARA/RGMA/P2RY1/ZBTB7A/HMGB2/EIF3E/ACD/PLK2/EDF1/PLN/DNAJB2/MEPCE/DZIP1/CSNK1E/ADAM15/CLN5/HMBOX1/IFIT2/HDAC5/CTSZ/PLXND1/AMFR/NRP1/SMAD3/DDRGK1/ABL1/ADNP/HAND2/EIF3D/MITD1/TCF7L2
