gene_name,Ctrl,iNOA_B,iNOA_S,OA,AZFc_Del,KS
A1BG,0.004831491,0,0,0,0,0.002093245
A1BG-AS1,0,0,0,0,0.001998386,0
A2M,1.288771886,0.895941347,0.490847283,1.652735422,1.160749593,1.111326081
A2M-AS1,0.015751096,0,0.026561526,0.024560081,0.043145428,0.060153893
A2ML1,0.3341112,0.301280395,0.427854424,0.300198253,0.389988057,0.451010134
A2ML1-AS1,0,0,0,0,0.000524559,0.002213025
A2ML1-AS2,0,0,0.002110038,0,0,0
A2MP1,0.008868728,0,0.00334978,0,0.000999851,0
A4GALT,0.049093243,0.032423597,0.061304336,0.085379528,0.08416147,0.088210473
AAAS,0.136365247,0.109939463,0.174792489,0.118487127,0.196973248,0.215132513
AACS,0.056426447,0.043107876,0.065957191,0.054741323,0.06304882,0.086008029
AACSP1,0,0,0,0.002391863,0.001126514,0.001939335
AADAC,0.00576212,0.018345528,0.011764621,0.019100067,0.015262923,0.009737675
AADACL2,0.007740145,0,0,0,0,0
AADACL2-AS1,0.003563553,0,0,0.005589063,0.00076136,0
AADACL4,0,0,0,0,0,0
AADACP1,0,0.004615267,0.005161526,0.001437067,0.001610371,0
AADAT,0.050787493,0.045821382,0.048572239,0.048222423,0.034068801,0.075791488
AAED1,0.343821695,0.370505159,0.52880219,0.315677693,0.510080315,0.381513075
AAGAB,0.172164494,0.152445611,0.208762375,0.128818619,0.211676722,0.138729781
AAK1,0.176075458,0.252919118,0.167459151,0.027387391,0.138502613,0.065677367
AAMDC,0.080189295,0.105982183,0.226141182,0.199944981,0.387968024,0.275243803
AAMP,0.615447745,0.38071287,0.686723286,0.695501892,0.665624563,0.903359991
AANAT,0.001077796,0,0,0.000927503,0.00045869,0.006468098
AAR2,0.205089561,0.1437945,0.251698778,0.176398111,0.227301367,0.192700603
AARD,3.45853969,5.065018835,5.605103151,2.761760318,4.02085276,4.223689717
AARS,0.116006071,0.082591855,0.189564,0.13723401,0.165867941,0.209626806
AARS2,0.03374581,0.014622843,0.036954537,0.033635221,0.035258708,0.028929728
AARSD1,0.034955422,0,0.010230895,0.008012584,0.009887085,0.002071484
AASDH,0.262077393,0.281289908,0.310582025,0.231134092,0.234891115,0.192712823
AASDHPPT,0.831361674,0.773101898,0.943259135,0.842105729,1.214367789,1.048048867
AASS,0.108361214,0.153355807,0.119194832,0.124963338,0.086939102,0.080169414
AATBC,0.00343992,0,0.00064306,0.004112214,0.00172325,0.003303319
AATF,0.105270216,0.171898653,0.158581212,0.122077301,0.156091992,0.145606586
AATK,0.002869804,0.003227783,0.002054426,0.004818915,0.011275416,0.068038917
AB015752.1,0.001738091,0,0,0.004404278,0.000487889,0
ABALON,0.016835891,0.105140209,0.074329437,0.001610941,0.002048651,0.002518475
ABAT,0.676263331,0.411195106,0.421879358,0.491313777,0.633681409,0.48230322
ABCA1,1.365491872,0.608796197,0.543818007,0.859067845,0.70638657,0.573863906
ABCA10,0.089564256,0.091693475,0.05495249,0.17480789,0.056582379,0.159115642
ABCA11P,0.013178482,0.01333671,0.032380124,0.021716725,0.037438352,0.024963976
ABCA12,0.041533633,0.031690432,0.023747755,0.046337126,0.031290493,0.045718822
ABCA13,0.019306133,0.026457793,0.019108997,0.06198419,0.019369531,0.028193393
ABCA17P,0.065967178,0.018599952,0.012420586,0.216911182,0.051649291,0.16793029
ABCA2,0.076048303,0.094608563,0.086172495,0.105547382,0.076041098,0.110727468
ABCA3,0.047568211,0.073695891,0.100395731,0.075043519,0.063178797,0.095470089
ABCA4,0.002090095,0,0.000717236,0,0.000136384,0
ABCA5,0.135935518,0.058601935,0.073197976,0.069607586,0.137839972,0.127950541
ABCA6,0.009614414,0.00342239,0.004417768,0.006088564,0.005237842,0.001831721
ABCA7,0.005187785,0.007177311,0.001710827,0.002335663,0.002929169,0.002954502
ABCA8,2.075940853,1.821760774,2.282566311,1.689806041,2.443880139,1.165035792
ABCA9,0.012389108,0.016910458,0.023556816,0.034002552,0.016945791,0.012803001
ABCA9-AS1,0,0,0,0.002637564,0.001171009,0
ABCB1,0.015380099,0,0.033938678,0.005155471,0.016893996,0
ABCB10,0.037771215,0.01743755,0.03323051,0.031429638,0.037066594,0.033815714
ABCB10P1,0,0,0,0,0.000151951,0
ABCB11,0,0,0,0.003281064,0.000973466,0.00876803
ABCB4,0,0,0.000107287,0,0.000415688,0.002252532
ABCB5,0,0,0.001728089,0.003172033,0.00043395,0.004220553
ABCB6,0,0,0.001265832,0,0,0
ABCB7,0.19420519,0.273728331,0.321931976,0.160325637,0.267994941,0.130711522
ABCB8,0.073608342,0.073836533,0.062574,0.090455807,0.068594134,0.1160566
ABCB9,0.204255083,0.114643128,0.165779396,0.17605994,0.182202925,0.231970639
ABCC1,0.53594113,0.53211052,0.568161332,0.616131681,0.781591929,0.628755494
ABCC10,0.078659717,0.042286021,0.065146787,0.13208648,0.127076859,0.133791609
ABCC11,0,0.002973787,0.000760822,0.004658722,0.00342135,0
ABCC12,0.005766349,0,0,0.011927572,0.000500588,0.004059814
ABCC13,0,0,0,0.002238275,0.000105968,0
ABCC2,0,0.008300928,0.005145983,0.005068943,0.003637245,0.006709724
ABCC3,0.069648381,0.074718983,0.172141402,0.191535534,0.10343438,0.205984787
ABCC4,0.087988975,0.07566461,0.14280319,0.080088363,0.088370118,0.064102631
ABCC5,0.525142418,0.574466887,0.406689264,0.498742751,0.475574572,0.451982281
ABCC5-AS1,0,0,0,0,0,0
ABCC6,0.003363804,0.01466683,0.023904576,0.007044992,0.000329059,0.004244673
ABCC6P1,0,0,0,0,0,0
ABCC6P2,0,0,0,0,0,0
ABCC8,0,0,0,0,0.000223251,0
ABCC9,0.001125781,0.007377052,0.003576111,0,0.007412552,0.036633275
ABCD1,0.276334944,0.24624509,0.345946571,0.448887375,0.347302566,0.653023003
ABCD2,0.006620705,0,0.002910407,0.001518967,0.005193818,0.00200268
ABCD3,0.713967312,0.770726562,0.896730983,0.780608605,1.007150838,0.784581032
ABCD4,0.147040014,0.200275503,0.198096362,0.185887772,0.227485811,0.16897808
ABCE1,0.598895115,0.534551212,0.730091211,0.518496658,0.730681944,0.384309981
ABCF1,0.686374541,0.782944293,0.691848601,0.572281913,0.630643777,0.78647074
ABCF2,0.047880635,0.107328146,0,0,0,0
ABCF2-2,0.060471232,0,0.158866436,0.159510206,0.177614332,0.191763282
ABCF3,0.283336635,0.271528796,0.362152317,0.317745548,0.313543716,0.449679436
ABCG1,0.011299369,0.003390555,0.01260658,0.001783625,0.013148598,0.008265345
ABCG2,0.106861757,0.099623252,0.187594795,0.065798572,0.087680592,0.093542942
ABCG4,0,0,0,0,0.000954027,0.002155372
ABCG5,0,0.004862354,0.003034036,0,0.000214922,0
ABHD1,0.028533658,0,0.014616032,0.099069651,0.016286104,0.094378497
ABHD10,0.412334807,0.400537693,0.743777533,0.344476095,0.669817518,0.536342108
ABHD11,0.260826415,0.263854361,0.347391947,0.274764231,0.326447256,0.546562482
ABHD11-AS1,0,0,0.003122031,0,0.002844742,0.004810976
ABHD12,0.087027819,0.038107312,0.102102815,0.104908662,0.10136665,0.143769107
ABHD12B,0.009431347,0,0.001382965,0.000867553,0.000914678,0.010444638
ABHD13,0.164609705,0.13054022,0.161543201,0.18191851,0.223279906,0.189668904
ABHD14A,0.143715683,0.125061185,0.135696567,0.171952215,0.1649697,0.204663774
ABHD14B,0.116373012,0.123447388,0.149641763,0.111437828,0.16514673,0.135503352
ABHD15,0.029856005,0.038108072,0.031321913,0.068267674,0.061082375,0.035842769
ABHD16A,0.001566512,0.003383101,0.003076143,0.003158843,0.00271759,0.002579505
ABHD16B,0,0,0,0.002550218,0.000355403,0.01344579
ABHD17A,0.148501288,0.171819947,0.233047695,0.165583677,0.25166323,0.377738311
ABHD17AP6,0,0.003769334,0,0,0.000266549,0.002071484
ABHD17B,0.457526515,0.461848534,0.433516091,0.432317846,0.516877009,0.360468847
ABHD17C,0.152969297,0.091185656,0.12386861,0.168279821,0.224749163,0.178534769
ABHD18,0.089673779,0.065388031,0.126267568,0.054585949,0.116639304,0.057546042
ABHD2,0.233094471,0.224417723,0.170727945,0.290882794,0.212586734,0.245090039
ABHD3,0.159757586,0.089538984,0.067665038,0.236334558,0.194631973,0.182387091
ABHD4,1.428385191,0.78360241,1.576961533,1.6734375,1.921082995,1.626477707
ABHD5,0.117838118,0.099243816,0.134954587,0.123504343,0.128583352,0.126786131
ABHD6,0.205442135,0.08191174,0.159187982,0.132027321,0.190115821,0.224736579
ABHD8,0.01164031,0.022290668,0.038358714,0.038184869,0.036829678,0.130227902
ABI1,1.074573749,1.239876976,1.405962746,1.034977982,1.584024371,0.82310016
ABI2,1.055655223,1.310623344,1.855147507,0.783630532,1.480306863,0.845771301
ABI3,0,0,0.000108591,0.000937582,0.000835283,0
ABI3BP,0.045185615,0.016255057,0.049139057,0.028210811,0.038998279,0.023327403
ABL1,0.198240601,0.111199897,0.247861438,0.145496455,0.258133848,0.211998856
ABL2,0.106127994,0.062749971,0.10766534,0.037879495,0.12201088,0.047023089
ABLIM1,0.36947269,0.616259042,0.742276753,0.076401504,0.431100471,0.171884581
ABLIM2,0.006677775,0.003625763,0.005505634,0.005763683,0.011379133,0.016444364
ABLIM3,0,0,0.008132773,0,0.005862176,0
ABO,0.180969689,0.252598005,0.202347547,0.28067007,0.160056001,0.211447779
ABR,0.012031922,0.003576147,0.033386714,0.017405827,0.055612246,0.043819284
ABRA,0.012596122,0,0,0.018921951,0.007654165,0.065510364
ABRACL,1.854954891,1.946821584,2.937564401,2.457956699,3.268496484,3.0046144
ABRAXAS1,0.067515956,0.089517853,0.089486241,0.160033457,0.172509881,0.162996356
ABRAXAS2,0.323341917,0.22848302,0.415552395,0.194269251,0.265659259,0.205593194
ABT1,0.361642563,0.228525759,0.355987742,0.416830385,0.422338023,0.453289384
ABT1P1,0,0,0,0,0.000155318,0.002204516
ABTB1,0.034877705,0.042369716,0.038097753,0.035909042,0.039458909,0.037623702
ABTB2,0.053393971,0.057954269,0.058589675,0.060383376,0.130784923,0.115133088
AC000032.1,0,0,0,0,0.000485909,0
AC000036.1,0.003776943,0,0,0.012634666,0.002683516,0.028974332
AC000061.1,0,0,0,0.001394243,0.00045508,0
AC000067.1,0,0,0.000453967,0,0,0
AC000068.1,0,0.003942617,0.003248803,0.002045084,0.000124554,0.004244673
AC000068.2,0,0,0,0.001987848,0.003109776,0.004481607
AC000089.1,0.007590721,0.010914727,0.014287307,0.007574402,0.008579267,0.011543533
AC000095.2,0,0,0,0.019716267,0.001220579,0.004119222
AC000099.1,0,0,0,0.014248982,0.000556989,0.003797153
AC000123.1,0,0,0.002575625,0.001230654,0,0
AC000123.2,0,0,0.001769478,0.000812796,0.002353998,0.00504758
AC000123.3,0.010027647,0,0.008649764,0.001872827,0.008002903,0.008941412
AC000124.1,0,0,0,0.000812796,0,0.00320956
AC000403.1,0,0.005042933,0.007923616,0.008778835,0.011609628,0.015690668
AC001226.1,0.00416053,0.003065608,0.007385847,0.009725723,0.004590771,0.011017661
AC001226.2,0,0,0.005773213,0,0.00082679,0.0026543
AC002044.1,0,0,0.002394234,0.002484301,0.006669426,0
AC002056.1,0,0.007213622,0.004108997,0,0.00111138,0
AC002059.1,0,0,0,0.001719711,0.000511131,0
AC002064.1,0,0,0,0.00320979,0,0
AC002064.2,0,0,0,0.002177933,0,0
AC002064.3,0.013622209,0,0.00020225,0.03308685,0.003288381,0.019329683
AC002066.1,0.006990819,0,0.003945877,0.003910752,0.003122511,0.001914567
AC002070.1,0,0,0.006382082,0.004384228,0.004132037,0.016705539
AC002074.1,0.012548347,0.019552527,0.01732576,0.008532631,0.02055824,0.011798299
AC002075.2,0,0.00315212,0.001827315,0.002587189,0.001005678,0.001753487
AC002091.1,0,0,0,0,0.000471105,0
AC002091.2,0,0,0,0.001367168,0.000134473,0
AC002094.2,0,0,0,0,0.000608384,0
AC002094.4,0,0,0,0,0.000353391,0
AC002094.5,0.006626026,0.003348746,0.000839441,0,0,0
AC002115.1,0.003080672,0.008871494,0,0.003458332,0.000627388,0
AC002116.2,0,0,0,0.001104356,0.000831005,0
AC002128.1,0.003319196,0,0.002536569,0,0.000357014,0
AC002128.2,0,0,0.00116105,0,0,0
AC002310.1,0.019737442,0.007057805,0.018652374,0.009391879,0.019833763,0.01895857
AC002310.6,0.008212135,0,0.007787146,0.009447233,0.006272855,0.027862678
AC002350.1,0.01093172,0.012564906,0.005228725,0.004473287,0.002946288,0.004838958
AC002378.1,0.018036285,0.042326061,0.048525527,0.009989363,0.026953186,0.030206481
AC002383.1,0.002430205,0,0,0.001789643,0.001786884,0
AC002386.1,0,0,0,0.000774258,0.00040732,0
AC002398.1,0,0.004515213,0.002949017,0,0,0
AC002398.2,0,0,0,0,0.003486523,0.002308706
AC002428.1,0,0,0,0,0.000124783,0
AC002429.2,0,0.00291128,0,0,0.00111011,0
AC002451.1,0.022719239,0.05085527,0.018508331,0.014568671,0.019257515,0.022395814
AC002454.1,0.00187025,0,0.00119559,0,0.001522324,0.002103349
AC002456.1,0.00633349,0.003348342,0.006751908,0.001577282,0.011932588,0.001799842
AC002456.2,0.006240438,0,0,0,0.001067018,0.002678887
AC002460.1,0.001142017,0,0,0.014764499,0.002394721,0.009655397
AC002463.1,0,0,0,0.00522324,0.000518559,0
AC002465.1,0.004373954,0,0,0.008450412,0.001114725,0.004508865
AC002467.1,0.044084694,0.021261545,0.035910192,0.147744891,0.036026927,0.097643375
AC002470.1,0.027653873,0.01693575,0.02239442,0.022505796,0.014735019,0.043382567
AC002472.2,0,0,0,0.001341124,0.001093823,0.003299984
AC002480.3,0,0,0,0,0,0
AC002480.4,0.008681158,0,0,0.001232891,0.000784411,0.009846328
AC002511.2,0,0,0,0,0.000122751,0
AC002519.2,0,0,0,0,0.000442965,0
AC002525.1,0.002642606,0,0.001183045,0,0,0
AC002543.1,0,0,0.000622237,0,0,0
AC002546.1,0.000786748,0,0,0.009571679,0.000373806,0
AC002550.1,0,0,0,0,0.001696834,0
AC002550.2,0,0.003591912,0.000157626,0,0.00207618,0
AC002553.1,0.001916393,0,0.00105327,0,0.000746431,0
AC002553.2,0.004632924,0.008777196,0.005843996,0.002798444,0.007403623,0.002274481
AC002558.1,0,0,0.001875741,0,0.002307585,0
AC002558.2,0,0,0,0,0.000102931,0
AC002558.3,0,0,0.000650155,0,0.000872611,0
AC003001.1,0.007131306,0.006066945,0.001937974,0.028922606,0.010426991,0.016596158
AC003002.3,0,0,0.000488464,0,0,0
AC003005.2,0.010081918,0.021906463,0.012858115,0.013708371,0.009808603,0.002509964
AC003035.2,0,0,0.001863618,0,0,0
AC003043.2,0,0,0.002844639,0,0,0
AC003070.2,0,0,0.001511219,0,0.000987853,0.002028538
AC003072.1,0.001909181,0,0.003821495,0,0.006977468,0
AC003098.1,0,0,0,0.007606699,0.000851139,0.007693786
AC003102.1,0.005308191,0.02171658,0.028764864,0.003948807,0.003522778,0.002699243
AC003681.1,0.007436933,0.036791545,0.012945136,0.005347545,0.000939119,0
AC003685.1,0,0,0,0.001042712,0.001985744,0.007091735
AC003688.2,0,0,0,0.002410644,0.000350798,0.004871457
AC003956.1,0.005131676,0,0.003013946,0.003838704,0.006703593,0.006629832
AC003958.2,0,0,0,0.006894683,0.004026558,0.010162937
AC003965.1,0.018837385,0.017535479,0.011212655,0.022183946,0.015558008,0.057077587
AC003973.1,0.00503495,0,0,0,0,0
AC003973.2,0.003065867,0,0,0.006871256,0.001735554,0.005431283
AC003973.3,0.125858926,0.200024765,0.160793419,0.081867229,0.1693248,0.090068577
AC003975.1,0,0,0,0,0,0
AC003982.1,0,0,0,0.005324971,0.001433243,0.002274481
AC003985.1,0.001643094,0,0,0,0.000117738,0
AC003985.2,0.004137477,0,0,0.001069689,0,0
AC003986.1,0,0,0.007241665,0,0.004837486,0
AC003986.2,0,0,0.001950228,0,0,0
AC003986.3,0.014131148,0,0.03239906,0.008817552,0.030616895,0.017097708
AC003991.1,0.005935865,0.007568533,0.005888098,0.011807342,0.005920915,0.015180185
AC003991.2,0.002349315,0,0.003593546,0.004931485,0.002132715,0
AC004009.1,0.004198026,0,0,0.001241505,0,0.006374989
AC004009.3,0.003856721,0,0,0.021701889,0.007143754,0.020277294
AC004012.1,0,0,0,0.001305236,0.001837534,0.004486202
AC004023.1,0,0,0.001092179,0,0,0
AC004024.1,0,0,0.003530812,0.00137485,0.002264897,0.002120684
AC004039.1,0,0,0,0.00243235,0.000237643,0
AC004052.1,0,0,0,0.001359943,0.001600898,0.002667734
AC004057.1,0.021757775,0.03927414,0.063637111,0.032115687,0.040930961,0.020200169
AC004063.1,0,0,0,0,0,0
AC004067.1,0,0,0.001338882,0,0.000225671,0
AC004069.1,0.005147657,0.00728308,0.000714177,0.006010681,0.00388882,0
AC004076.2,0.003625227,0,0.006978353,0,0.001361624,0
AC004112.1,0.001283708,0,0.000123879,0.016402615,0.002835408,0
AC004129.2,0,0,0,0.00111625,0.000163302,0.00546484
AC004130.1,0.02153904,0.012315604,0.044316714,0.020980635,0.03769613,0.04186303
AC004134.1,0.00216162,0,0.001214647,0,0,0
AC004147.1,0,0,0,0,0.000131285,0.005392224
AC004147.5,0.002560531,0,0,0,0,0
AC004148.1,0.001592483,0.003184736,0,0,0.000112037,0
AC004148.2,0,0,0.000403626,0.094406244,0.131324812,0.085694237
AC004156.1,0.003336162,0,0.002216189,0,0.000134682,0
AC004160.1,0.017432701,0.019805726,0.006158975,0.043588824,0.015036114,0.058188289
AC004160.2,0,0,0.002990869,0.00317538,0.003501546,0
AC004221.1,0.004492575,0,0.00057556,0,0.001377278,0
AC004223.4,0,0,0,0.000999289,0.000909521,0
AC004224.1,0.008072483,0,0,0,0,0.005306592
AC004231.1,0,0,0,0.003233275,0.003170671,0.002314265
AC004232.3,0,0,0,0.002139086,0.002209469,0
AC004233.3,0,0,0,0.001567791,0.000416177,0.002710662
AC004233.4,0.00359682,0,0.004420827,0.00108738,0.001203281,0.009289575
AC004241.1,0.023839,0.002824022,0.011359304,0.025808782,0.02023606,0.035268305
AC004241.3,0.034531883,0.020986679,0.045609216,0.039082299,0.052836784,0.033836468
AC004241.5,0,0,0.001086986,0,0,0
AC004253.1,0,0,0,0,0,0
AC004257.1,0,0,0,0,0,0
AC004263.1,0,0,0,0.000731959,0.00035242,0
AC004381.1,0,0,0,0,0.00011498,0
AC004381.2,0.028837974,0.003348746,0.026584733,0.015219864,0.029035265,0.02380283
AC004381.3,0,0,0.003234552,0,0,0
AC004383.1,0,0,0.003592694,0,0.003719698,0
AC004386.1,0,0,0,0,0,0
AC004408.1,0,0,0,0.004709139,0.000617005,0.004506647
AC004415.1,0,0,0,0.007423672,0.001521535,0
AC004448.1,0,0,0,0,0.000384165,0
AC004448.2,0.004967462,0,0.000758736,0.030822709,0.003945101,0.028924239
AC004453.1,0.041901061,0.119605923,0.086432948,0.040663237,0.067735731,0.036513185
AC004466.1,0,0,0.001131515,0.001118592,0.003976505,0.002939883
AC004471.1,0,0.004173698,0.003455417,0,0,0
AC004471.2,0.003636505,0,0.000708433,0.000860103,0.000273123,0.007932381
AC004477.1,0.028342394,0.015825055,0.009023184,0.012625922,0.010719843,0.014486626
AC004477.2,0,0,0,0,0.001170926,0
AC004477.3,0.001480913,0.01787835,0.00387575,0,0,0
AC004490.1,0,0,0,0.004555645,0.00520184,0
AC004492.1,0,0,0.001187487,0,0,0
AC004494.1,0,0,0,0.003224319,0,0
AC004520.1,0,0,0.002234942,0,0.004106758,0
AC004522.2,0.001396213,0,0.001591171,0.003572253,0.005491262,0.004923357
AC004540.1,0.068517576,0.178985191,0.142938434,0.083327116,0.088857087,0.136749008
AC004540.2,0.046968372,0.075137442,0.073298744,0.114981299,0.137647207,0.143468547
AC004551.1,0,0,0,0,0,0
AC004552.1,0.002429841,0.005013724,0.003625867,0.002669829,0.001257064,0
AC004554.2,0,0,0.000606185,0,0,0
AC004584.1,0,0.032443896,0,0,0,0
AC004585.2,0,0,0,0,0,0
AC004590.1,0,0,0,0.018262545,0.021672331,0.011044488
AC004593.1,0.002587161,0,0,0,0,0
AC004593.2,0,0,0.000478494,0,0,0
AC004593.3,0,0,0.000109488,0,0.000398998,0
AC004594.1,0,0,0,0.002465777,0.000930261,0.002071484
AC004597.1,0.001431928,0.049697982,0.010524277,0.003417929,0.003704019,0.002075036
AC004623.1,0,0,0,0,0.000299005,0.007248374
AC004637.1,0,0,0,0,0,0.002531547
AC004656.1,0.344859192,0.318132168,0.468628843,0.263127223,0.616438857,0.27818958
AC004672.1,0,0,0,0.002766152,0,0
AC004674.1,0,0,0,0,0.001756155,0
AC004687.1,0,0,0.000102538,0,0.001518313,0.004550862
AC004690.2,0.007888476,0,0.005049494,0.00101189,0.001060508,0
AC004691.1,0,0.003376915,0.001225831,0,0,0
AC004692.1,0,0,0,0.001460551,0,0
AC004692.2,0.00369874,0,0,0.004205134,0.000415007,0.009284006
AC004696.1,0.004632924,0,0.00073751,0.006680891,0.004362222,0
AC004696.2,0.004863082,0,0,0.004705647,0.000890415,0.004280754
AC004704.1,0,0,0,0,0,0
AC004706.3,0,0,0,0.00193347,0.001304729,0
AC004707.1,0,0,0,0.002265453,0.000109316,0
AC004754.1,0.003111593,0.003694922,0.004848958,0.012610768,0.005588128,0.011385599
AC004771.1,0,0,0,0,0.00054149,0.002087495
AC004771.2,0,0,0,0,0,0
AC004771.3,0,0.003544119,0.001839337,0.001720901,0.004686444,0
AC004771.4,0,0,0,0.00097475,0.009392835,0.005078372
AC004784.1,0,0,0,0,0.001922838,0
AC004797.1,0.048553901,0,0,0.040068325,0.010622069,0.016871718
AC004801.2,0,0,0,0,0.004326716,0
AC004801.3,0.002636475,0,0,0.00514402,0,0.00247893
AC004801.4,0,0,0,0.001351446,0.000246363,0.006274097
AC004801.5,0,0,0,0,0,0
AC004801.6,0.001850213,0,0.000984297,0.001877642,0.002116276,0
AC004803.1,0.019296176,0.026318229,0.033191455,0.038255388,0.037491322,0.036567643
AC004812.2,0.023551714,0.021053307,0.029260635,0.023423602,0.047850147,0.025070972
AC004816.1,0.023892939,0.012618016,0.060384651,0.023082999,0.05319634,0.025850054
AC004816.2,0.021723233,0.010770643,0.017996947,0.006505544,0.023517201,0.018758476
AC004817.2,0.026138852,0,0,0.171100935,0.022770666,0.120180938
AC004817.3,0,0,0.000914497,0,0.000173219,0
AC004824.1,0,0,0,0,0.002046186,0
AC004825.2,0.025230205,0.017440047,0.029495668,0.052789967,0.077704064,0.029965247
AC004832.4,0.003149337,0,0.001050423,0,0.001636098,0
AC004832.5,0.002021388,0,0.000844819,0,0,0
AC004832.6,0,0.003222151,0,0.000860103,0.000699507,0
AC004834.1,0.001612893,0,0.001255372,0,0.000822379,0.004390979
AC004835.1,0,0.01186087,0.001132544,0,0.004013525,0.007427965
AC004836.1,0.001077796,0,0,0.001025658,0.000675372,0.002482508
AC004837.2,0.003022588,0,0,0,0.000264434,0
AC004839.1,0.001343632,0,0.004319921,0.002949214,0.00622003,0.006144924
AC004846.1,0.003123079,0,0.000553309,0,0,0
AC004846.2,0,0,0.002190043,0,0.002761447,0.007182709
AC004847.1,0,0,0,0,0,0
AC004854.2,0.02496044,0.038638114,0.027762906,0.021779727,0.023512907,0.011852069
AC004862.1,0.003539685,0,0,0.011170247,0.002101183,0.004810153
AC004865.2,0,0,0.001321573,0.002304857,0.002915154,0
AC004869.1,0.001087835,0,0,0,0.000770746,0
AC004869.2,0,0,0,0,0.000187921,0.004283289
AC004870.1,0.006326488,0.002871743,0.001091044,0,0,0
AC004870.3,0,0,0,0.008295559,0.00033328,0.004439933
AC004872.1,0.010444078,0,0,0.017818654,0.001891637,0.007412394
AC004877.1,0,0,0,0,0.00081278,0
AC004877.2,0,0,0.002148539,0,0.000753289,0
AC004884.1,0,0,0.000254027,0.001732085,0.000740995,0.002750125
AC004884.2,0,0.003231171,0.003330778,0.001433203,0.00168678,0
AC004888.1,0,0,0,0,0,0
AC004889.1,0,0,0.000177661,0,0,0
AC004890.1,0,0,0.000960944,0,0.001275505,0
AC004890.2,0,0,0.003229176,0,0.000431313,0
AC004895.1,0.002797479,0,0.002729485,0.001300006,0.000826326,0.00388351
AC004898.1,0,0,0.000283891,0,0,0
AC004899.1,0,0,0,0.000837328,0.00053545,0
AC004906.1,0,0,0,0.006992254,0,0.011295401
AC004908.1,0.032725371,0.003988601,0.005395001,0.005438713,0.011549614,0
AC004908.2,0.008435281,0,0.012477185,0.009219252,0.005604206,0.022440384
AC004908.3,0.047693583,0.013541622,0.013902682,0.001112423,0.005325771,0
AC004917.1,0,0,0.001751468,0.001229843,0.000776589,0
AC004918.1,0.00644472,0.004039789,0.002819623,0.000977047,0.002536342,0
AC004918.3,0,0,0.000688237,0,0,0
AC004921.1,0,0,0.002091255,0,0.00030651,0
AC004922.1,0,0,0,0,0,0
AC004923.1,0,0,0,0,0.000338114,0
AC004923.4,0.001038097,0.003065947,0,0,0.000227101,0
AC004925.1,0.022104248,0.060955229,0.020203375,0.013097413,0.022781567,0.017105911
AC004930.1,0,0,0.00109351,0.005049142,0.000217794,0
AC004941.1,0,0,0,0.001727813,0.000106372,0.002667734
AC004943.1,0.007244463,0,0.001163408,0.003494075,0.001630085,0.016447779
AC004943.2,0.04873316,0.04636294,0.04886735,0.079337917,0.05451327,0.076684631
AC004943.3,0.002607415,0,0.001564035,0,0.000113306,0
AC004944.1,0,0,0,0.009172151,0.000473757,0.006138281
AC004946.1,0.007668244,0,0,0,0.000574507,0
AC004947.1,0,0,0.000415055,0.002219012,0.003325398,0
AC004947.2,0.010376096,0,0.006515059,0.00594334,0.010027235,0.004338398
AC004948.1,0,0,0,0,0.000727425,0.003025341
AC004949.1,0,0,0,0,0.0023263,0
AC004951.1,0.001541668,0.006631753,0.000384134,0.00100177,0.000290749,0
AC004951.4,0,0,0.001238062,0,0.003265432,0.007444132
AC004967.1,0.018785348,0.016423082,0.014441446,0.012689557,0.030510359,0.03871245
AC004972.1,0.002384513,0,0,0.005063249,0.00036916,0
AC004980.1,0.033733052,0.022997572,0.028923231,0.021300859,0.015047277,0.031272483
AC004980.2,0,0,0.000322135,0,0,0
AC004980.3,0.001298805,0.003057487,0.001653789,0,0,0
AC004982.1,0.001010317,0.008660556,0.02036487,0.018455896,0.020032954,0.034173693
AC004982.2,0.009719601,0.012879058,0.029691889,0.019141313,0.02100878,0.034294256
AC004987.2,0.00864333,0.010310654,0.012532139,0.002255478,0.005256963,0.002780544
AC004987.3,0.001122823,0,0,0.00083907,0.000342947,0
AC004988.1,0,0,0,0,0.000173219,0
AC004994.1,0,0,0,0.002977927,0,0.002607287
AC005000.1,0.008938575,0,0.01295306,0.004385993,0.000518271,0.003580155
AC005002.2,0.002104183,0,0,0,0.00107992,0.002314265
AC005005.3,0,0,0.002267435,0,0.006483948,0
AC005005.4,0,0,0,0,0.00012268,0
AC005006.1,0,0,0,0,0.000432231,0
AC005008.2,0,0,0,0.009875243,0.002180379,0.014364939
AC005009.1,0,0,0,0.026121586,0.003724365,0.008800844
AC005009.2,0.004615609,0,0,0.001827746,0.00123492,0
AC005013.1,0,0,0,0.002636379,0.000723245,0
AC005014.2,0.002952668,0,0.00176618,0.005161094,0.001750009,0
AC005014.3,0,0,0.001233797,0.001050047,0.000690609,0
AC005019.1,0,0,0,0,0,0
AC005021.1,0,0,0,0.001573908,0.001411245,0.012985905
AC005034.3,0.08063929,0.076259018,0.073365396,0.057586981,0.078027923,0.09425609
AC005034.4,0.013766079,0,0.009960654,0.003855551,0.010905053,0.01717145
AC005034.5,0,0,0.000667274,0,0.003014367,0
AC005037.1,0,0,0,0.000977047,0.002163296,0.001388441
AC005041.1,0,0,0,0.001789184,0.000170483,0
