gene_name,Ctrl,iNOA_B,iNOA_S,OA,AZFc_Del,KS
TAL1,0,0,0.000846804,0,0.001046111,0
TAL2,0,0,0.000912022,0,0.000856536,0
TALDO1,0.578809372,0.231720037,0.66613299,0.461183629,0.442617784,0.70415509
TAMM41,0.126408284,0.11244373,0.164124787,0.150373285,0.156071354,0.183803234
TANC1,0.136854492,0.003188768,0.188498218,0.017468257,0.174865609,0.046612219
TANC2,0.650969617,0.605366514,0.848016845,0.60470893,0.844557394,0.584873826
TANGO2,0.003982872,0.003338656,0.004317329,0.014429453,0.023490198,0.025745653
TANGO6,0.309178127,0.225381183,0.417642157,0.367125292,0.412077876,0.307901579
TANK,0.422775791,0.554554326,0.507521007,0.310481731,0.482980226,0.334389896
TAOK1,2.047548146,3.000619271,3.06213318,1.490808036,2.34515967,1.267099701
TAOK2,0.187576228,0.203230608,0.245199735,0.252982231,0.273370598,0.267036416
TAOK3,1.170376707,1.248859719,1.193169917,0.86537003,0.945393703,0.78864311
TAP1,0.227611997,0.107148173,0.141445603,0.500492461,0.424051585,0.372416795
TAP2,0.069488986,0.03548287,0.035926997,0.073784194,0.108943815,0.063136121
TAPBP,0.973794984,0.644245017,0.851259194,0.426775921,0.444619337,0.358633232
TAPBPL,0.046366424,0.015952019,0.029615869,0.026289616,0.038592856,0.042802443
TAPT1,0.29222782,0.244662906,0.358121151,0.355336456,0.37803784,0.33050411
TAPT1-AS1,0.012122087,0.003323435,0.008587274,0.002935918,0.012640148,0.002143918
TARBP1,0.038399015,0.051153699,0.05528768,0.067119223,0.066636985,0.082990893
TARBP2,0.118324057,0.075837477,0.172338127,0.150367263,0.144966047,0.225797838
TARDBP,0.304695035,0.332935042,0.359227836,0.33431284,0.402060852,0.292826305
TARID,0,0.004109915,0.006520572,0.006344735,0.002263596,0.003736108
TARS,0.416661895,0.419305546,0.541085392,0.41968512,0.477393261,0.465639085
TARS2,0.156098287,0.12121532,0.160697236,0.10749927,0.156560998,0.135660233
TARSL2,0.08051219,0.204996346,0.169475102,0.117601855,0.130333549,0.168120486
TAS1R1,0.010037334,0.005749446,0.00846634,0.0083096,0.008903333,0.011156256
TAS1R3,0,0,0.001393235,0,0.000153909,0
TAS2R1,0.000786748,0,0,0.006006563,0.00022559,0.00851157
TAS2R10,0,0,9.67E-05,0,0,0
TAS2R14,0.025219692,0.02408892,0.017774224,0.019696752,0.029736907,0.024299118
TAS2R15P,0,0,0.00173207,0,0,0
TAS2R19,0,0,0,0,0,0.002400451
TAS2R2P,0.001414091,0.010923041,0,0,0.000123888,0
TAS2R30,0,0,0.000506786,0,0,0
TAS2R31,0,0.003494491,0.0030621,0.002103202,0.004729644,0.002100915
TAS2R4,0.005352316,0,0.002109798,0,0.00021434,0.002763614
TAS2R5,0,0,0.000586581,0,0.000893959,0
TAS2R64P,0,0,0.000678876,0,0,0
TASP1,0.061566389,0.049374833,0.06279796,0.039613837,0.076777633,0.036006736
TAT,0.008539563,0,0.003175033,0,0.001870542,0
TAT-AS1,0.012799005,0,0.00022615,0.056889153,0.015807198,0.054450163
TATDN1,0.147101134,0.240958102,0.321923163,0.183932222,0.354857006,0.302879259
TATDN1P1,0.011534229,0.004010545,0.004557899,0.005018369,0.003135513,0.003213347
TATDN2,0.055703532,0.040359391,0.053168132,0.046393429,0.089042569,0.077680776
TATDN2P1,0.001082468,0,0,0.000869068,0.000399782,0
TATDN2P2,0.00178393,0,0.006221876,0,0,0
TATDN3,0.093816089,0.127526164,0.166005377,0.101239357,0.14198139,0.089780479
TAX1BP1,7.892354401,8.140689288,8.879426255,5.06715261,7.063189349,4.749698192
TAX1BP3,0.419514885,0.21738829,0.339437882,0.405378055,0.532536248,0.361828701
TAZ,0.039773976,0.016306487,0.069392187,0.05546371,0.062426883,0.121197414
TBATA,0.003980389,0,0,0.015298186,0.004332091,0.016876805
TBC1D1,0.073580714,0.043515953,0.060591626,0.040762611,0.046817077,0.056462983
TBC1D10A,0.222677805,0.207819917,0.194210648,0.221158968,0.260291162,0.333320086
TBC1D10B,0.049122526,0.035878554,0.101061163,0.108238491,0.165035354,0.136187642
TBC1D10C,0,0,0,0,0.000106736,0
TBC1D12,0.023919994,0.013471031,0.038247768,0.034348266,0.047441111,0.045466536
TBC1D13,0.045770969,0.025738128,0.088190077,0.082253841,0.108539738,0.105302337
TBC1D14,0.094534725,0.136966631,0.2868305,0.490841567,0.635213423,0.542067543
TBC1D15,0.756954406,0.697551049,0.739014268,0.544681172,0.666558991,0.556439355
TBC1D16,0.019279402,0.023327614,0.055001284,0.006079059,0.021610247,0.015223794
TBC1D17,0.087938338,0.060404854,0.126134079,0.093592279,0.116029667,0.16041832
TBC1D19,0.047766523,0.046209644,0.087120985,0.04053113,0.092097886,0.043527773
TBC1D2,0.010711533,0,0.011193391,0.002966897,0.014692329,0.011449617
TBC1D20,0.181933923,0.204377864,0.259930548,0.14249614,0.22938787,0.155004747
TBC1D21,0.030235842,0,0,0.090419156,0.009492798,0.061821923
TBC1D22A,0.119947446,0.167520301,0.163121972,0.12509235,0.142975835,0.185111016
TBC1D22A-AS1,0.002373705,0.010863072,0.001721909,0,0.000237106,0
TBC1D22B,0.107783999,0.113611561,0.171245949,0.128443686,0.192883939,0.148945174
TBC1D23,0.563560373,0.645499359,0.79378145,0.532335474,0.716282204,0.383402502
TBC1D24,0.040733808,0.050678587,0.035879114,0.0330417,0.052552114,0.080847634
TBC1D25,0.091527935,0.080386406,0.143522984,0.141141245,0.170753756,0.145594495
TBC1D26,0.001781777,0,0,0,0.000131997,0
TBC1D27P,0,0,0,0,0,0
TBC1D28,0,0,0,0,0.001304106,0.002313774
TBC1D29,0.00160286,0,0,0.002647082,0.000432543,0
TBC1D2B,0.021781372,0.01870342,0.010807265,0.010286712,0.027725223,0.023863522
TBC1D30,0.01012264,0,0.028126565,0.020230417,0.043459649,0.012234049
TBC1D31,0.008842839,0.004403948,0.013960662,0.015585178,0.011769909,0.020905971
TBC1D32,0.083192077,0.098429746,0.112710796,0.063826257,0.095207347,0.085581887
TBC1D3B,0.004600123,0,0,0.010437657,0.000486568,0.01080215
TBC1D3D,0,0,0,0,0.000134692,0
TBC1D3F,0,0,0,0,0,0
TBC1D3I,0,0,0,0,0,0
TBC1D3J,0,0,0,0,0,0
TBC1D3L,0.010152795,0,0.00761923,0,0.001619084,0.004084457
TBC1D3P1,0.0015176,0,0,0,0,0
TBC1D3P2,0.003216783,0,0,0,0.000775729,0.010689362
TBC1D3P5,0,0,0,0,0.001254894,0
TBC1D4,0.061738481,0.075085612,0.046895629,0.053419437,0.079278478,0.069232606
TBC1D5,0.434737079,0.443320083,0.62052546,0.356435318,0.551260555,0.395721249
TBC1D7,0.112510837,0.099277671,0.152747171,0.110161569,0.187175652,0.120195376
TBC1D8,0.630115998,0.751421239,0.771424388,0.400376061,0.444856703,0.392812398
TBC1D8-AS1,0.001655156,0.014826179,0.015465035,0.005283373,0.014372213,0.006624507
TBC1D8B,1.201243711,1.508657064,1.100486536,1.042168373,1.222260642,0.881659231
TBC1D9,0.159468139,0.125137407,0.240533661,0.117414448,0.265015304,0.144534819
TBC1D9B,0.359335416,0.329384364,0.472403213,0.378695131,0.387291242,0.417882459
TBCA,1.537417938,1.795589614,2.318783491,1.436886792,2.0151709,2.44497319
TBCAP1,0.004919089,0.00462683,0.008362506,0.002946652,0.005255071,0.002274481
TBCB,1.545870433,0.934337616,2.029936914,1.502406129,2.197980097,2.140495149
TBCC,0.260086917,0.126546106,0.251095668,0.326995722,0.29238751,0.334958958
TBCCD1,0.067004537,0.066330254,0.073151904,0.051807935,0.067676414,0.038136239
TBCD,0.041478165,0.034850482,0.056449879,0.091823273,0.122310954,0.140692821
TBCE,0.022951229,0.022953454,0.043956233,0.022760656,0.029956535,0.036265086
TBCE-1,0.007570099,0.040502851,0,0,0,0
TBCE-2,0,0,0.012087711,0.00097475,0.002588296,0.002235429
TBCEL,0.091202998,0.122167828,0.140307784,0.138106991,0.171377563,0.111321785
TBCK,0.153555881,0.14813553,0.176797931,0.125111087,0.180371092,0.165424641
TBK1,0.583049962,0.553887696,0.601679565,0.505808803,0.645830262,0.515860004
TBKBP1,0.014100446,0.005871403,0.0185414,0.026253363,0.033772226,0.051485333
TBL1X,1.23876404,1.28997698,2.066127783,0.76334431,1.220106672,1.129479905
TBL1XR1,0.345561179,0.393014915,0.541655173,0.322926113,0.470986053,0.31423108
TBL1Y,0.006108503,0.011389426,0.002168169,0.001005685,0.002258556,0
TBL1YP1,0,0,0.001532689,0,0.001423248,0
TBL2,0.236085223,0.163532258,0.162913095,0.3246991,0.217970642,0.31655407
TBL3,0.06961929,0.036358376,0.086723153,0.069824275,0.062545424,0.143180899
TBP,0.170115469,0.127087918,0.161675498,0.171275916,0.182777642,0.185970068
TBPL1,0.282792044,0.258714712,0.242462069,0.405590465,0.293330057,0.472034324
