Gene id,CTRL,AZFC,iNOA-S,iNOA-B,OA,KS
AKAP12,3.731157263,3.118117585,3.106940546,3.616101872,3.540593187,3.445695791
HIST1H2BA,0.124132719,0.043906419,0,0.249222914,0.267795341,0.086919693
IQCF1,0.129514115,0.041733991,0,0,0.284819511,0.251275077
TUBA3C,0.125270075,0.12647498,0,0.023455469,0.521683803,0.478441118
LINC00943,0.138787979,0.045870244,0,0,0.180292264,0.132536093
CDIPT-AS1,0.244395294,0.11829655,0.015054804,0,0.300669904,0.299738636
CSMD2-AS1,0.137555951,0.028934109,0,0,0.166124946,0.208923544
SPATA3,0.158851821,0.043439848,0,0,0.199482118,0.250231495
HORMAD1,0.148681249,0.107486158,0.00039073,0.094877819,0.330199859,0.2059185
MTCYBP35,0.135084061,0,0.001109849,0,0,0
RAMP1,0.256060087,0.035804765,0.01978866,0.142402628,0.084087506,0.149389018
AL133499.1,0.131489177,0.077655363,0,0,0.570930054,0.621887911
TEX101,0.131951887,0.127774789,0,0.006331569,0.156143066,0.23564401
CNTN1,0.314163716,0.107427746,0.035107833,0.271674317,0.456153861,0.230150911
TCP10L,0.148336207,0.09154171,0.001740544,0,0.522681546,0.449022419
ADCYAP1,0.196146927,0.011864126,0.004618677,0.054833591,0.080879032,0.017240033
SPANXD,0.145604302,0.143473512,0,0,0.183370175,0.069696161
BRDT,0.115763375,0.064467349,0,0.038527561,0.277381172,0.339821744
CCDC196,0.147240743,0.047199524,0.001468777,0,0.175548115,0.171687135
ADAD1,0.118353054,0.086125796,0.002606621,0.012172563,0.414768605,0.413992491
PGK2,0.120657115,0.059229602,0,0,0.331391916,0.273839506
LINC00226,0.120612693,0.04274109,0,0,0.12173045,0.088981081
SPANXN4,0.157990154,0.091919289,0,0,0.057429105,0.038201808
DNAJC5B,0.134135534,0.050640412,0,0,0.224735831,0.163469032
SPACA3,0.176317263,0.077451586,0.005282373,0,0.290803278,0.271209514
TBX18-AS1,0.163846979,0.036383862,0,0,0.155819395,0.090978844
C1orf100,0.110520902,0.056034621,0,0,0.3079986,0.166950039
COX7B2,0.11522382,0.061295674,0,0.045682695,0.307413598,0.267627477
C10orf53,0.12622102,0.05743509,0,0.012938428,0.311235904,0.257098493
TTC29,0.129510929,0.05414991,0,0.02113122,0.315843558,0.28062294
ACTL7A,0.111525678,0.034058256,0,0,0.214401763,0.266548166
CYLC2,0.141070672,0.026246106,0,0,0.171877422,0.191524837
CETN1,0.109710638,0.139436027,0,0.009394743,0.719428516,0.458479658
TEX35,0.138894932,0.063816303,0.000145057,0,0.237271259,0.269683759
SPATA19,0.116189479,0.044482149,0,0,0.203331587,0.144532669
AC097636.1,0.118597834,0.089481331,0,0,0.377954837,0.230118037
ENPP2,1.265001831,0.579042606,0.43560163,0.924864977,0.925526221,0.741312826
GSG1,0.308462113,0.122812798,0.037361477,0,0.412743008,0.609607045
ERICH2,0.258280276,0.12964695,0.019719677,0.041035681,0.443367112,0.376782558
TSPAN16,0.130302205,0.022259003,0,0,0.219218689,0.187389962
MCHR2-AS1,0.109259134,0.071023773,0,0,0.399643457,0.296436501
TPD52L3,0.10510572,0.067747546,0,0.004369619,0.35980288,0.295891853
TEX37,0.124397281,0.022128878,0,0,0.158744167,0.11890296
IQCF3,0.091900794,0.025405603,0,0,0.159305247,0.189867416
IZUMO2,0.114507009,0.087413836,0,0,0.228322001,0.290582156
MBP,0.316234641,0.141657925,0.055696716,0.416522576,0.218973768,0.344215453
ACSBG2,0.131940075,0.032652461,0.0011815,0,0.210436547,0.21958364
CHGA,1.393905396,1.138624443,0.659271058,1.396932777,1.942649433,2.268479587
PPP3R2,0.109787725,0.077099246,0,0.00480113,0.404623183,0.33989378
C17orf64,0.118383953,0.068234606,0,0,0.290940177,0.286464146
SPATA46,0.111674506,0.050952035,0,0,0.202934935,0.149238182
MT-TE,1.538684925,3.788437872,0.529181725,0.760100541,4.6943845,2.127642027
SPANXN5,0.102900188,0.159739129,0,0,0.138160136,0.092578843
MS4A6E,0.109973811,0.065230019,0,0,0.190702289,0.247556751
SLIT2-IT1,0.10919531,0.060575921,0,0,0.352139765,0.226096846
MT-TT,1.654052975,0.605873641,0.671860951,1.067043689,0.950985426,0.323148707
LINC00608,0.098896079,0.031490704,0,0,0.196777147,0.032032035
MT-TH,1.130047699,0.133062939,0.266550596,0.534033335,0.236615905,0.047561583
C12orf54,0.213137766,0.061284722,0.010131189,0.021988242,0.207491614,0.175749269
PTGDS,3.393566101,2.782152704,2.345110512,3.195854653,3.973528373,3.876566377
ACRV1,0.144782035,0.08601695,0.00126667,0,0.233218173,0.298352732
FBLN2,1.662489946,1.743607163,0.952156911,1.302205486,2.189202747,2.207723074
TEX46,0.110327591,0.027443576,0,0,0.158533813,0.135521952
PDCL2,0.135082815,0.067316422,0,0,0.209824295,0.304046318
AL672043.1,0.082429708,0.03940158,0,0,0.154301996,0.126949718
LRRN3,1.933481222,1.378489352,1.265370489,1.979288221,1.517339452,1.405584554
C9orf24,0.122818923,0.023029755,0.002133691,0.035093128,0.141678073,0.218985467
PRR30,0.096469739,0.013209354,0,0,0.134598356,0.13078127
FMR1NB,0.107502882,0.098986915,0,0.024796928,0.077628613,0.106886644
DDX4,0.107487191,0.066468233,0,0.041865451,0.199268765,0.21166639
AC008114.1,0.102203208,0.109151713,0,0,0.257032712,0.192579409
RCSD1,0.204547255,0.087503851,0.030879879,0.204292934,0.24849847,0.191104758
HEMGN,0.126743267,0.021829729,0,0,0.189504146,0.206533284
HSPA14-1,0.08890184,0,0,0.178163205,0,0
SPACA4,0.106855642,0.054998925,0,0,0.149596974,0.342669027
SPACA7,0.078102382,0.059058282,0,0,0.165024372,0.246043568
IRGC,0.095339416,0.02771001,0,0,0.122713919,0.166454519
TXNDC8,0.093060393,0.024960837,0,0,0.125805763,0.071224948
TEKT3,0.081028495,0.038472072,0.001464568,0,0.273965751,0.217752474
IQCF2,0.103782789,0.018229291,0,0,0.107439548,0.07101481
UBQLN3,0.080013051,0.038389216,0,0,0.208919366,0.213820788
C5orf47,0.069535232,0.039964262,0,0.016746972,0.127124398,0.222379594
CCDC37-AS1,0.118648749,0.048503015,0,0,0.155434938,0.15637201
AC109635.4,0.095398,0.0269255,0.000971554,0,0.150301409,0.099732101
LINC01681,2.17770793,0.027163509,1.361324125,1.732807022,0.013419133,0.037022556
SYCP3,0.108659168,0.101329669,0.000755881,0.068610118,0.254148635,0.193960301
LINC00854,0.09599792,0.034876606,0.001447584,0,0.120210793,0.063465815
TMEM59,2.352042192,2.296303264,1.816374202,1.716636773,2.199755098,2.174854725
LYZL4,0.098219722,0.03567025,0,0,0.165577468,0.145956827
GAGE2A,0.100051637,0.025358447,0,0.07431609,0.035374617,0.08545557
YBX2,0.085328846,0.067588449,0,0.021293095,0.179007386,0.420493358
TMEM210,0.082612632,0.021595694,0,0,0.137180773,0.16205166
MACROD2-AS1,0.081463504,0.027505167,0,0,0.137982774,0.062307062
TUBA3E,0.075140304,0.052265868,0.000935607,0.024738697,0.314233446,0.350955472
A2M,1.194573682,1.111531889,0.57613248,0.922914334,1.407480792,1.078149411
PAGE2,0.089729523,0.078082332,0,0.044049527,0.036383596,0.088185957
LINC01016,0.08118755,0.042066418,0,0.00975254,0.320431399,0.256855999
SULF2,0.574458323,0.29596568,0.173242013,0.475645753,0.766391771,0.455687917
SLC27A6,1.012753867,0.745930263,0.50296952,0.977331671,1.202572571,1.086958225
