,Ctrl,iNOA_B,iNOA_S,AZFc_Del,KS
A1BG-AS1,0,0,0,0,0.008289758
A2M,3.307027924,5.964421938,2.637697646,5.786964545,3.262455409
A2M-AS1,0.014871894,0,0.041479,0.030273646,0.112839998
A2ML1,0.02430786,0.014623012,0.034462336,0.067709551,0.00227659
A4GALT,0.143271044,0.125845289,0.153241226,0.181531122,0.317707482
AAAS,0.348524312,0.161740171,0.204024177,0.152159071,0.286242649
AACS,0.087142792,0.124884639,0.08317418,0.094541798,0.100362952
AACSP1,0.006461852,0.020414066,0,0.005609085,0.001421872
AADAC,0.009293313,0,0.000655611,0.001248358,0
AADACL2-AS1,0.013349566,0.002103421,0,0,0.000684812
AADACP1,0,0,0.007235036,0,0.001167815
AADAT,0.098982827,0.114418927,0.070179377,0.105415162,0.099903939
AAED1,0.228978028,0.346967343,0.515931581,0.361377477,0.498147837
AAGAB,0.855525109,0.432812387,0.270706054,0.366772522,0.203546946
AAK1,0.328397129,0.7848337,0.410979105,0.309821202,0.32778233
AAMDC,0.567548877,0.57415935,0.36960102,1.303409505,0.855284012
AAMP,0.525930713,0.23515776,0.727451826,0.521924827,1.194117223
AAR2,0.246411959,0.10560796,0.273745637,0.22473904,0.245873542
AARD,0.070949874,0.223594537,0.400711991,0.825151193,0.012492512
AARS,0.174578294,0.232131172,0.364985093,0.260792981,0.403654571
AARS2,0.023351342,0.031961968,0.046098542,0.021156872,0.054291316
AARSD1,0.013295255,0.036768366,0.012998077,0.039832777,0.022652613
AASDH,0.445920976,0.287532206,0.320501917,0.252256279,0.206652451
AASDHPPT,0.738081635,0.590070593,0.871191102,1.025581788,0.798752962
AASS,0.170338771,0.142894056,0.109692462,0.097117155,0.212990267
AATBC,0.006112933,0,0.001553661,0.005446217,0.001283889
AATF,0.17229418,0.286844721,0.21845173,0.240394085,0.349166145
AATK,0,0.01370141,0.008675773,0.005396775,0.011538121
ABALON,0.040551652,0.210945674,0.03336364,0,0.002440087
ABAT,0.058170591,0.066731937,0.059266485,0.19883165,0.058364654
ABCA1,0.216451531,0.134868086,0.029495262,0.177725048,0.036244145
ABCA10,0.15961117,0.211161509,0.343839541,0.264724367,0.192420559
ABCA11P,0,0.014144213,0.01332644,0.004443019,0.021563872
ABCA12,0,0.005181455,0.001845476,0,0.000633165
ABCA13,0.024713637,0.007407639,0.001382443,0.016267597,0.000313435
ABCA17P,0.236178544,0.187273452,0.021554804,0.159890359,0.038126423
ABCA2,0.054087609,0.052742012,0.098498128,0.095037987,0.157426189
ABCA3,0.10287565,0.073279968,0.02722762,0.062137787,0.041251719
ABCA4,0,0.007452799,0.004273425,0,0
ABCA5,0.911933887,0.57803392,0.484198754,0.495279101,0.361116496
ABCA6,0.319667306,0.164641222,0.345515704,0.346034542,0.158817581
ABCA7,0,0.003407484,0.001036009,0.000526092,0.000416471
ABCA8,1.109419828,1.554514271,4.002495071,2.899351681,1.218773468
ABCA9,0.462936003,0.394666035,0.958813494,0.707431554,0.260746995
ABCA9-AS1,0,0,0.003290936,0.006161885,0
ABCB1,0.060874744,0.026550733,0.024186473,0.114802176,0.011936611
ABCB10,0.055483514,0.025672462,0.048988605,0.0687328,0.062377974
ABCB4,0.005059827,0.005260943,0.001058617,0.00718295,0.003007537
ABCB5,0.032313723,0.004638908,0.0104214,0.025316434,0.000216813
ABCB7,0.18818931,0.247366345,0.271743485,0.204899931,0.187887693
ABCB8,0.070504108,0.054370917,0.069426282,0.059406379,0.084766943
ABCB9,0.05941004,0.035122452,0.029641728,0.036800983,0.025210763
ABCC1,0.078508403,0.123126447,0.207474539,0.23640676,0.160130629
ABCC10,0.059675541,0.038074005,0.037152325,0.03343559,0.040736821
ABCC11,0.005545205,0.011437908,0,0.001319892,0.00468064
ABCC12,0,0.00840757,0,0.002295632,0.001039082
ABCC2,0.013389957,0.00991852,0.016860849,0.012055935,0.005616294
ABCC3,0.227274928,0.050462016,0.040400062,0.071993005,0.079635789
ABCC4,0.192235135,0.100222906,0.118344376,0.181737353,0.03555655
ABCC5,0.080280762,0.094043802,0.099629101,0.175428542,0.066592874
ABCC6,0.040303639,0.045165762,0.056538247,0.027945028,0.044105999
ABCC6P1,0.022170787,0.017618376,0.01484036,0,0.021012695
ABCC6P2,0.007915326,0.064758609,0.030841303,0.027531709,0.038178668
ABCC8,0,0,0,0.003375323,0.003281672
ABCC9,0.044820942,0.151197259,0.022301195,0.059419608,0.050150084
ABCD1,0.013427832,0.027567421,0.036181702,0.070524754,0.054845989
ABCD2,0.09804609,0.01663102,0.011859695,0.061422499,0.006733927
ABCD3,0.129987793,0.251050158,0.225726397,0.356540649,0.16597927
ABCD4,0.094944307,0.051527154,0.222299332,0.130008889,0.197639073
ABCE1,0.891356839,0.603747058,1.019527015,0.922304911,0.617537891
ABCF1,0.735890685,0.854950236,0.495438588,0.612688892,0.586002448
ABCF2,0,0.044229534,0,0,0
ABCF2-2,0.149641172,0,0.134198803,0.096236789,0.13392141
ABCF3,0.236702697,0.151106646,0.228342774,0.170511045,0.280502278
ABCG1,0.046325291,0.019936591,0.002696405,0.017606561,0.003086545
ABCG2,0.06568081,0.118344328,0.043362313,0.040443201,0.012210714
ABCG5,0,0,0.004495744,0,0
ABHD1,0.049134152,0.022625289,0.015692263,0.017050149,0.020516839
ABHD10,0.545524903,0.306377483,0.429134705,0.404702903,0.341070467
ABHD11,0.084639748,0.043246927,0.080292468,0.134899944,0.09338147
ABHD12,0.223679667,0.183505073,0.208090096,0.200155437,0.502812062
ABHD12B,0.019901208,0.013560144,0.005419257,0,0
ABHD13,0.148451453,0.254949814,0.264725446,0.272260444,0.285949466
ABHD14A,0.540989641,0.406219594,1.012161115,0.495545091,1.59345722
ABHD14B,0.340160629,0.146042316,0.540870041,0.305819841,0.801251153
ABHD15,0.005164852,0.024199728,0.039485,0.052299188,0.076345009
ABHD16A,0.012611166,0.006909895,0.011819554,0.006045072,0.004181328
ABHD17A,0.076392938,0.103293533,0.174152492,0.162725853,0.527040925
ABHD17B,0.083879091,0.085149965,0.147400965,0.191381538,0.177514978
ABHD17C,0.030779695,0.022142732,0.014791165,0.056771208,0.005823123
ABHD18,0.047747869,0.109866568,0.104424927,0.114812755,0.075676781
ABHD2,0.576243692,1.022551009,1.06907251,0.690183211,0.690373364
ABHD3,0.094366259,0.030471426,0.091911623,0.113327752,0.090444132
ABHD4,0.191496898,0.167053162,0.286728078,0.366519358,0.168552678
ABHD5,0.237466649,0.161610478,0.109314735,0.135669661,0.079345888
ABHD6,0.434944201,0.083400762,0.084360888,0.137854174,0.061851995
ABHD8,0.029327959,0.049140048,0.056267197,0.071742488,0.196156134
ABI1,0.370610418,0.804613484,0.628627787,1.036423699,0.512987052
ABI2,0.621551718,1.025980331,0.820831349,0.88321964,0.669432942
ABI3,0,0,0.000530829,0,0.003223679
ABI3BP,2.521119096,3.26515495,3.272323847,2.585072673,1.317333124
ABL1,0.129959283,0.200692012,0.228452395,0.207602908,0.372475761
ABL2,0.031483699,0.092625504,0.114782823,0.135234179,0.122717909
ABLIM1,4.559078257,9.109433979,6.227521795,3.551056813,2.055387638
ABLIM2,0.010379281,0.038427145,0.002731134,0.001241071,0.003294053
ABLIM3,0.008005817,0.023157433,0.00740238,0.001849235,0.008044642
ABO,0.186687989,0.259685865,0.39589955,0.206215405,0.170828807
ABR,0.047614191,0.066103378,0.078382492,0.165585785,0.214400251
ABRA,0.009906953,0,0,0.005170574,0.0029899
ABRACL,0.100755097,0.267745018,0.271102637,0.74715812,0.041801818
ABRAXAS1,0.165430088,0.152859741,0.167283762,0.308574212,0.282162971
ABRAXAS2,0.459287002,0.573328034,0.483425399,0.275997733,0.300096567
ABT1,0.158897701,0.033086572,0.248273806,0.261647317,0.296495495
ABTB1,0.044312105,0.019184341,0.089465139,0.072985369,0.258260488
ABTB2,0,0.019616992,0.01410126,0.047093111,0.011194444
AC000032.1,0,0,0,0,0.014482326
AC000036.1,0.04352227,0,0,0.001006419,0.001551336
AC000089.1,0.03168862,0.016786725,0.026727594,0.036916215,0.023156394
AC000095.2,0,0.006355016,0,0,0.001192366
AC000123.3,0,0,0.009786837,0.009106045,0.012365659
AC000403.1,0,0.013219005,0.014298004,0.023308907,0.010559049
AC001226.1,0,0.010210092,0.002268432,0.010839444,0.006594943
AC001226.2,0,0.004677284,0.002422517,0,0.002963217
AC002056.1,0.0142055,0,0.001993273,0.003282111,0.002940486
AC002064.3,0.029948581,0.01094358,0,0,0.000854744
AC002066.1,0.016874221,0,0.002004938,0.018385204,0.007480218
AC002070.1,0.013624126,0.009437524,0.001080609,0.018389342,0.002418962
AC002074.1,0.054069769,0.097623476,0.052087118,0.013901073,0.00967163
AC002075.2,0,0.016825196,0.000698004,0,0.000441742
AC002091.2,0.010936994,0,0.00085625,0.001578358,0.001082623
AC002094.5,0,0.001809863,0.002365428,0,0
AC002116.2,0.009039204,0,0.000800863,0,0.003711629
AC002128.1,0,0.016406793,0.003462272,0,0
AC002310.1,0.058615765,0,0.016251263,0.004132372,0.019096564
AC002310.6,0.005059827,0,0.003549635,0.003723785,0.012286055
AC002350.1,0.03226067,0.018455861,0.004835336,0.003192767,0.004459655
AC002378.1,0,0.006543647,0.001398963,0.008158174,0
AC002398.2,0,0,0,0.014955297,0.06935382
AC002451.1,0.101952315,0.015072767,0.028522533,0.058621438,0.032546205
AC002454.1,0.052323527,0.023102986,0,0.001877805,0.000206182
AC002456.1,0.012175759,0.009718728,0.003013378,0.019945147,0.011629899
AC002467.1,0.033448041,0.073772526,0.013237192,0.037309814,0.019525324
AC002470.1,0.01549177,0.012974665,0.016493536,0.016230969,0.039048365
AC002480.4,0,0.012299673,0,0.009399582,0.000642575
AC002546.1,0.025003109,0,0.002527623,0,0
AC002550.2,0,0,0.000515674,0,0.002562345
AC002553.1,0,0,0.004121586,0,0.001405028
AC002558.1,0.019029349,0,0.004749961,0,0.00473117
AC003001.1,0.016350768,0,0,0.006590846,0.000986668
AC003072.1,0,0,0.001599144,0,0.003902582
AC003102.1,0,0.02740055,0.023446139,0.006934476,0.007344051
AC003681.1,0.025781366,0.035551997,0.016532383,0,0.007705207
AC003956.1,0,0.001421877,0.00150341,0.007174778,0
AC003965.1,0.016350768,0.002138891,0.001914371,0.003904349,0.001266303
AC003973.3,0.012624844,0.007138982,0.011215071,0.027385038,0.001417102
AC003986.3,0,0,0.004148589,0.008448764,0
AC003991.1,0.00696598,0.02079958,0.052202905,0.005157565,0.004870343
AC003991.2,0,0,0.002110583,0,0.001904708
AC004009.3,0,0,0,0.006578328,0.00065675
AC004024.1,0.020937314,0,0.001642548,0.000843522,0.002452606
AC004057.1,0.096516696,0.179707175,0.102515217,0.148495892,0.186250399
AC004067.1,0,0.001305961,0.002275164,0.007772132,0.000549771
AC004069.1,0,0.008338666,0.003841847,0.00694101,0.009369268
AC004076.2,0,0.002923669,0.005716909,0.004506108,0.004758881
AC004112.1,0.009443191,0.008576807,0,0,0
AC004130.1,0.051191849,0.157011548,0.156101961,0.143644904,0.23978927
AC004148.2,0,0,0.001481152,0.083120174,0.084247754
AC004156.1,0.010936994,0.001493429,0.002003302,0,0.004799029
AC004160.1,0.018919184,0.020225609,0.024923696,0.038944146,0.033751707
AC004160.2,0.011463895,0,0.007991626,0,0.02078802
AC004233.4,0.032527938,0,0.002372445,0.001381357,0
AC004241.1,0.038285617,0.014238511,0.020725914,0.036232965,0.038522507
AC004241.3,0.029013906,0.020339389,0.020319577,0.036919109,0.025148322
AC004241.5,0,0,0.001628031,0,0.003839945
AC004381.1,0,0,0,0,0.003315193
AC004381.2,0.011825068,0.004411346,0.007669941,0.038266655,0.002060433
AC004448.2,0.0062717,0.005146892,0.002286685,0.005463503,0.001963504
AC004453.1,0.14947698,0.291884326,0.211555754,0.170952325,0.209638659
AC004466.1,0,0,0.000145579,0.003311885,0.010227665
AC004477.1,0.04012207,0.010715904,0.011643265,0.003378694,0.010378076
AC004477.2,0,0,0,0,0.004271154
AC004477.3,0,0.005787037,0.003930376,0,0.000894063
AC004494.1,0,0.001998977,0.001908416,0,0.000546201
AC004540.1,0.022610863,0.004003138,0.013103517,0.031210505,0.001434124
AC004540.2,0,0.001621019,0.005006155,0.049900054,0.003133546
AC004552.1,0,0.003113689,0.007362458,0.001934057,0.006943315
AC004584.1,0,0.09407005,0,0,0
AC004656.1,0.036377449,0.136418909,0.189703873,0.269731632,0.152411239
AC004754.1,0,0.0024764,0.000483234,0.004749586,0.010550387
AC004771.3,0.006461852,0.045766259,0.017944109,0.035300965,0.035932871
AC004771.4,0,0,0,0.017681724,0.021994611
AC004797.1,0.009314504,0,0,0.003844421,0.001558872
AC004801.6,0,0,0.00198582,0,0.001647741
AC004803.1,0.06458304,0.088586041,0.04898957,0.039119528,0.049955832
AC004812.2,0.036575817,0.021346901,0.056050403,0.058022323,0.112078138
AC004816.1,0.027570082,0.00972499,0.004087606,0.029195664,0
AC004816.2,0,0.019083741,0.004536281,0.014961012,0.001670985
AC004817.2,0.049148155,0,0,0.009233189,0.005942923
AC004825.2,0.013737389,0.01245106,0.018706623,0.030697378,0.039302043
AC004832.4,0,0,0.002406144,0,0.004142441
AC004835.1,0.003926595,0.007903759,0,0.000622238,0.0013119
AC004839.1,0.013085855,0.007441858,0.004483949,0.00196914,0.014281598
AC004854.2,0.043056306,0.003385669,0.006236986,0.010287499,0.010311898
AC004865.2,0,0.007234127,0.00164419,0.01050692,0.002100537
AC004877.2,0,0,0.002147859,0.006077476,0.000271529
AC004884.1,0,0.004812065,0.001498258,0,0.000216813
AC004888.1,0,0,0.003915759,0,0
AC004889.1,0,0.013614954,0.034522473,0,0.011271752
AC004890.1,0,0.001054585,0.002584741,0.003431097,0.005580163
AC004890.2,0,0.014429213,0.002867688,0,0.004007903
AC004895.1,0,0,0.006221201,0,0.008752855
AC004898.1,0,0,0.002067197,0,0.000426983
AC004908.1,0,0.001744069,0.004836527,0.006978286,0
AC004908.2,0.042644286,0.013898978,0.012700564,0.007188328,0.0271366
AC004908.3,0.014224918,0.001188914,0.003861313,0.005279889,0
AC004918.1,0.008529599,0,0.004596304,0,0.003943126
AC004925.1,0,0,0.001593297,0,0
AC004943.1,0,0,0.001284846,0,0.001961864
AC004943.2,0.03397319,0.057033255,0.020777804,0.033726252,0.020925592
AC004949.1,0.003633774,0.016326646,0,0.003246606,0
AC004951.4,0,0,0,0,0.004337285
AC004967.1,0.008408166,0.005012129,0.009402574,0.025685029,0.049939846
AC004980.1,0.006129749,0.026990614,0.017586773,0.020773218,0.024174247
AC004982.1,0.01665068,0,0.004105101,0.012262037,0.00922315
AC004982.2,0.050901468,0.007238767,0.01501143,0.018330175,0.03430073
AC004987.2,0,0.006778374,0.010176321,0.010534688,0.018780597
AC004987.3,0.011446297,0.007620789,0,0.007633843,0
AC005000.1,0.005876946,0.008107932,0.017466979,0.008649948,0.009267705
AC005005.4,0,0,0.002636811,0,0.000235139
AC005014.2,0,0,0.000758845,0.003305501,0.006173287
AC005014.3,0,0,0.01210734,0.002681051,0.007481899
AC005034.3,0,0.038716287,0.049671097,0.037437506,0.04905993
AC005034.4,0,0,0.004574391,0.00837927,0.003880968
AC005034.5,0,0,0.007340729,0.001541402,0.004696562
AC005037.1,0,0,0,0.007036669,0.002722651
AC005052.1,0,0,0.000357986,0,0.005038938
AC005062.1,0.027003298,0.020701711,0.060616154,0.045339906,0.010927567
AC005064.1,0,0,0,0.002550782,0.012003546
AC005070.3,0.01626397,0.002769746,0.005851437,0.00550679,0.008795644
AC005076.1,0.057339776,0.133800515,0.035200166,0.038927207,0.041433367
AC005082.1,0.011299177,0.034033393,0.005578412,0.010008695,0.00073495
AC005083.1,0.005552113,0,0.001513905,0.00181556,0.000672459
AC005091.1,0,0,0,0,0.006602442
AC005099.1,0,0.011277599,0,0.003082804,0.000305804
AC005154.1,0.066034334,0.151848853,0.114161108,0.100923314,0.101015553
AC005154.3,0,0,0.001308148,0,0.002900141
AC005165.1,0.092728455,0.230185928,0.250211738,0.198872381,0.118867082
AC005180.2,0,0,0.00325474,0,0.005957068
AC005224.1,0,0,0.002915905,0.001801568,0.003513014
AC005225.2,0,0,0.002948115,0.006927431,0.004032465
AC005225.4,0.01681165,0.010395053,0.004168365,0.016740548,0.003065303
AC005229.4,0.013182874,0.015404296,0.024603083,0.025100264,0.093765634
AC005253.2,0,0,0,0,0.005018266
AC005261.1,0.07808295,0.215861636,0.223307514,0.238350675,0.321128505
AC005261.2,0,0.00351662,0.001593737,0,0.001664767
AC005261.3,0,0.01498241,0.02522919,0.024672057,0.054355058
AC005261.5,0.03432194,0.00788022,0.020788225,0,0
AC005262.1,0,0.003926743,0.001133182,0,0.003568683
AC005288.1,0.045911476,0.055657635,0.084468981,0.016842938,0.003312679
AC005306.1,0,0,0,0.003688793,0.002883563
AC005329.1,0,0,0,0.012621854,0.005183613
AC005329.3,0,0,0,0,0.003990919
AC005330.1,0,0.001919813,0.002533522,0,0
AC005332.1,0,0,0.004756184,0,0.007028096
AC005332.3,0.004897063,0.00258422,0.001519664,0,0.005298225
AC005332.4,0,0.008604088,0.012575341,0.040571657,0.005244748
AC005332.5,0.021972034,0.005109967,0.008428454,0.004250789,0.014129738
AC005332.6,0.017792189,0.004059299,0.012189214,0.012618071,0.026673023
AC005332.7,0.101745205,0.118984378,0.076863117,0.110005856,0.08318672
AC005332.8,0.009379948,0,0.006343033,0.009050231,0.008012267
AC005339.1,0,0,0,0,0.004558375
AC005342.1,0,0.025091522,0,0.015602862,0.010764896
AC005355.2,0.020048316,0,0.001320798,0,0
AC005357.2,0,0,0.005383953,0.033597329,0
AC005363.2,0.023237546,0.018023449,0.009317578,0.01353448,0.012572912
AC005393.1,0,0.006985414,0.000311381,0.000843522,0.000244797
AC005410.1,0.016350768,0,0.001626448,0.003177784,0.002470175
AC005476.2,0.0602377,0.036335431,0.006938244,0.061996263,0.013439284
AC005481.1,0.008258021,0.008162197,0.004484662,0.005837576,0.004838559
AC005495.1,0,0,0.003875629,0,0
AC005498.2,0.019326195,0.018808707,0.009769235,0.014521215,0.008556936
AC005498.3,0.00406633,0.055025283,0.015395334,0.016514201,0.013049417
AC005520.2,0.016350768,0.037948253,0.040192916,0.017574161,0.042665507
AC005520.3,0,0,0.000378044,0,0.001697343
AC005520.5,0,0,0,0.004239631,0.013803104
AC005521.1,0.005059827,0.017609607,0,0.002344149,0
AC005537.1,0,0.001998977,0.005849873,0.000533714,0
AC005550.2,0,0.001543724,0.003504108,0,0.00071729
AC005562.1,0,0.002357245,0,0.002371939,0.004204364
AC005578.1,0.003926595,0.004003138,0.003557106,0,0.007125056
AC005586.2,0,0,0.001102465,0,0.002805256
AC005593.1,0,0.027610805,0.023765845,0.024469418,0.039795071
AC005614.1,0.014919983,0.003292767,0.002252183,0.001075586,0.000360856
AC005618.1,0,0.020444662,0.014374254,0.017274005,0.01276007
AC005632.2,0,0.006012506,0.005463413,0.006555084,0
AC005670.1,0,0,0.000825937,0,0.005582215
AC005674.2,0,0,0.004894078,0.005281616,0.002018638
AC005682.1,0,0,0.008331974,0,0
AC005696.1,0,0.018253937,0.006740105,0.005895483,0.016160269
AC005699.1,0.012184838,0,9.44E-05,0.007299139,0.002855707
AC005703.6,0,0,0.00257059,0,0.002819184
AC005725.1,0,0.025232836,0.008285479,0,0.001312875
AC005726.1,0,0,0.002978871,0.006567404,0.009508684
AC005726.3,0,0,0.003057861,0.005099963,0.004800785
AC005730.2,0.004262946,0.004738618,0.000540369,0.006247567,0.000522411
AC005736.1,0.084751928,0.128715038,0.101775064,0.057215038,0.02753019
AC005736.2,0,0,0.005981996,0,0.000533651
AC005746.2,0,0.019885029,0.004507307,0,0.016849825
AC005759.1,0,0.023130608,0.014270937,0.01273747,0.042836623
AC005775.1,0,0.003955258,0.009115453,0,0
AC005776.2,0,0.014787472,0.004447474,0,0
AC005785.1,0,0,0.001125809,0.00290597,0.004224314
AC005785.2,0,0.010548433,0,0.008470017,0
AC005786.1,0,0.001132631,0.000938826,0.008014241,0.001509555
AC005790.1,0,0,0,0.001792076,0.00304558
AC005822.1,0.007118734,0.010792134,0.000247454,0,0.00234871
AC005829.1,0,0.009519194,0.003423845,0.002172931,0.003912104
AC005831.1,0.003536768,0.020630705,0.015927915,0.002266063,0.005163446
AC005837.1,0.032881476,0.027628663,0.015970253,0.035793408,0.075194923
AC005837.3,0,0,0.011879971,0.001666789,0.011654337
AC005838.2,0,0.006664122,0.007598422,0.006015815,0.000922574
AC005839.1,0,0.022208726,0.002619126,0.011863162,0.000185014
AC005840.1,0,0.018138345,0.001579329,0.011181248,0.003680697
AC005840.2,0,0,0.002301344,0,0.002097498
AC005842.1,0.04534523,0.015042373,0.004043326,0.008362048,0.000569672
AC005856.1,0.016237035,0,0.005961269,0.010492629,0.024802929
AC005865.2,0,0,0.00530942,0.010920353,0
AC005884.1,0,0,0.000664185,0.020264343,0.016222202
AC005884.2,0.01939952,0,0.008944268,0,0
AC005899.6,0.010936994,0.00374414,0.004635653,0.004065372,0.021055754
AC005899.8,0,0.001998977,0.003323899,0,0.011135083
AC005911.1,0,0,0,0,0.002504893
AC005912.1,0.317903657,1.247134021,0.493212389,1.974120728,1.022669943
AC005921.2,0,0,0,0.017210725,0.004771876
AC005921.3,0,0.007346435,0.003566347,0,0
AC005944.1,0,0,0,0.004687222,0.013749775
AC005962.1,0,0,0.000856648,0.00337325,0.001528138
AC006001.2,0.00547216,0.013343441,0.004440748,0.001911234,0.003707182
AC006001.3,0.149185186,0.248771785,0.169463353,0.174146774,0.167873397
AC006012.1,0.098679687,0.012421363,0.002494726,0.013536793,0.019838312
AC006019.1,0.054065779,0,0,0.0088297,0.002178637
AC006030.1,0,0,0,0.004327958,0.002956687
AC006033.1,0,0,0.001078267,0.009092684,0.000431898
AC006033.2,0,0.012423814,0.006663531,0.016189891,0.00972945
AC006042.4,0,0.016102802,0.005534508,0.011333025,0.004053324
AC006059.1,0,0.018323579,0.007251043,0.010851449,0.017145319
AC006064.2,0,0.004888733,0.000737248,0.009566336,0.00483289
AC006064.4,0,0,0,0.028186618,0.080156005
AC006065.4,0.009468728,0,0,0.003530202,0.001542183
AC006077.2,0.003703506,0.001764677,0.002661814,0,0.014178533
AC006116.6,0,0.001690263,0.000600121,0,0.003167336
AC006116.8,0.028870742,0,0.001518441,0,0.004611966
AC006141.1,0,0.011750515,0.004051606,0.003681872,0.000517972
AC006148.1,0,0.006343969,0.001850715,0.00766438,0.010560972
AC006148.2,0,0,0,0.001075586,0.00112658
AC006157.1,0.006197169,0.006456946,0.004683708,0.00078717,0.019914755
AC006160.1,0,0.026324816,0.003869079,0.011329094,0.002194567
AC006207.1,0,0,0.002017698,0,0
AC006210.2,0.00752296,0,0.006709115,0.008308135,0.00044721
AC006213.1,0.058672312,0.013510209,0.008385619,0.007503591,0.000887235
AC006213.2,0.013778043,0.006242656,0.002816101,0.009096004,0.009932221
AC006213.3,0,0,0.000814834,0.008329913,0.001414733
AC006213.4,0,0.019757868,0.003089694,0.013866044,0.011694849
AC006213.5,0,0,0,0,0.003456973
AC006213.6,0,0.005632153,0.004305862,0,0
AC006252.1,0,0,0.007746656,0,0.01628539
AC006273.1,0.042770688,0,0,0.001272012,0.001241022
AC006277.1,0.018148942,0.00960928,0.016374873,0,0
AC006299.1,0,0.002553574,0.003995579,0,0.006106131
AC006305.1,0,0.011580729,0.02398498,0.002512275,0.009762234
AC006305.2,0,0,0.003660788,0,0
AC006329.1,0.034254885,0.025088299,0.008079343,0.003538746,0.005755187
AC006333.2,0.147330363,0.14277829,0.253670724,0.244739998,0.334039023
AC006357.1,0.031772927,0.014032015,0,0.000533714,0.000763991
AC006378.1,0,0,0.00237563,0,0
AC006441.4,0,0,0.001122635,0.001292965,0.000695968
AC006449.2,0,0,0.000105254,0.018009842,0.052000549
AC006449.5,0,0,0.002582162,0,0.008252137
AC006449.6,0.063796711,0.046294754,0.06793807,0.029927801,0.089923395
AC006453.2,0.106601917,0.231798379,0.213577387,0.150840684,0.227113516
AC006460.1,0,0.005199379,0.000504472,0.005125067,0.000573918
AC006460.2,0.019299058,0.003870699,0.012792895,0,0.010429446
AC006480.2,0.010400935,0.038244773,0.013655397,0.0108154,0.001391835
AC006483.2,0,0,0.007609825,0.000999127,0.010163238
AC006486.2,0.017677183,0.0571442,0.053861024,0.016390943,0.028796907
AC006487.1,0,0,0.006704873,0,0
AC006504.1,0,0,0.0015976,0.002593159,0.002763612
AC006504.2,0.074163525,0,0,0,0
AC006504.3,0,0,0,0,0.004121029
AC006504.5,0.076392274,0.035425551,0.050974091,0.035057887,0.046610576
AC006504.8,0.006461852,0.001527931,0.011908632,0.023553551,0.007473513
AC006511.3,0.01082224,0.016703814,0.016873918,0.016550537,0.014487714
AC006538.1,0,0,0.00123856,0.007410911,0.009257629
AC006547.1,0.005164852,0.00555286,0.002540738,0,0
AC006557.1,0.014134835,0,0,0.005017268,0.000738467
AC006581.2,0,0,0.004012586,0,0.005029717
AC006942.1,0,0,0,0.021009417,0.094997946
AC006946.2,0.014913874,0.005193079,0.01783984,0.004326124,0.018973228
AC006947.1,0,0,0,0,0.00636175
AC006970.2,0,0,0.00090216,0,0.001609396
AC006971.1,0,0,0.003581691,0.005017655,0.002814332
AC006978.1,0,0.016779553,0.024939576,0.023136914,0.036082714
AC006994.2,0.041568529,0.071858887,0.035732675,0.009143528,0.051621717
AC007000.1,0,0,0.001096635,0.00095903,0.002772497
AC007001.1,0,0,0.012299799,0.009816797,0.000271529
AC007029.1,0,0.00278474,0,0.016788052,0.003192063
AC007032.1,0,0,0,0.054696264,0.051400736
AC007036.1,0,0,0.001275292,0.004553361,0
AC007036.2,0,0,0.001382691,0.00283368,0
AC007038.1,0.017607616,0.013882566,0.004467769,0.007169852,0.003550053
AC007038.2,0.028231273,0.006281722,0.004819427,0.006643282,0.003427309
AC007040.2,0,0,0.002300591,0,0
AC007041.1,0,0.004382044,0.000684208,0.003541854,0.002151213
AC007066.2,0.010863143,0.00586029,0.023264086,0.025135214,0.013720061
AC007114.1,0.050102583,0.094247762,0.051951308,0.067761229,0.041877939
AC007163.1,0.005545205,0.007975245,0,0.001351713,0.00189549
AC007182.1,0,0,0.002292705,0.00252308,0
AC007182.2,0,0,0.003031108,0,0.003348324
AC007191.1,0,0.003347527,0.007977582,0.00078717,0.006514706
AC007193.1,0,0,0,0.020492974,0.008711857
AC007193.3,0,0,0,0,0.039583778
AC007216.4,0,0,0.006109123,0,0.00140925
AC007228.2,0,0,0.001870659,0.007959399,0.006907948
AC007229.1,0,0,0.002118318,0.001578358,0.001521427
AC007238.1,0.028316772,0.048380102,0.009706182,0.02764329,0.019738103
AC007249.2,0,0.004159836,0.02360836,0.007367471,0.016301962
AC007255.1,0.019479971,0.008569118,0.000205516,0.012206748,0
AC007262.2,0.00435111,0,0.009972109,0,0.010820159
AC007285.1,0,0.002835914,0.006313426,0.004967485,0.001353588
AC007298.1,0,0,0.001035343,0,0.002500317
AC007314.1,0.008256629,0,0,0.012123662,0.000243331
AC007318.1,0.044298192,0.044656435,0.012801406,0.008058283,0.01418834
AC007318.2,0.0076713,0.003218373,0.001608065,0.00899228,0.002378598
AC007319.1,0,0.032231346,0.023947587,0.014445635,0.009453979
AC007336.1,0,0,0.002707405,0,0.002481355
AC007342.7,0.013295255,0,0.010500787,0.009032568,0.01138344
AC007364.1,0,0.01700637,0.000612076,0.007913208,0.003807224
AC007365.1,0.030326142,0.034526665,0.038809916,0.029977678,0.03802442
AC007382.1,0,0.03948047,0.021708556,0.011279513,0.016293983
AC007383.2,0.027776455,0.014305581,0.024129473,0.024538922,0.078116355
AC007388.1,0.253229842,0.358459495,0.204901168,0.143694466,0.116070273
