,Ctrl,iNOA_B,iNOA_S,AZFc_Del,KS
KCNJ3,0.00271637,0.031470327,0.062776648,0.063308686,0.106667582
KCNJ5,0,0,0.002302322,0.013251382,0.002211338
KCNJ8,0.009913967,0.014641735,0.008274651,0.007745319,0.082927542
KCNK1,0.071543107,0.035615188,0.005216147,0.008826655,0.020357191
KCNK12,0.018971372,0.01287782,0.001835536,0.010909252,0.000615282
KCNK13,0,0.032440565,0.020072754,0.075388038,0.002222667
KCNK15,0.00435111,0.012409539,0.04337835,0.079637774,0.065902585
KCNK15-AS1,0,0.015792597,0.010730098,0.016582707,0.010215661
KCNK17,0,0.001690263,0,0,0.001556035
KCNK2,0.013866933,0.028613982,0.003112934,0.016506734,0
KCNK3,0.027681028,0.017201073,0.011468452,0.027389027,0.023472528
KCNK5,0.008529599,0.003138271,0.001784653,0.002120109,0.000411552
KCNK6,0.017071327,0.087029192,0.083429784,0.047879035,0.080731875
KCNMA1,0,0.077852032,0.049585164,0.049890011,0.0857962
KCNMA1-AS1,0,0,0,0.002839199,0.000822238
KCNMB1,0.512697524,0.536753948,0.162742388,0.355945699,0.139424457
KCNMB2,0.031779835,0.037447306,0.049412214,0.015918028,0.050738788
KCNMB2-AS1,0.007750135,0.022454995,0,0,0
KCNMB3,0,0,0.007174513,0.016938228,0.008131026
KCNMB4,0.062566956,0.079957477,0.074104447,0.147510195,0.074480102
KCNN1,0.019800738,0.009420806,0.006348859,0.01898888,0.00096237
KCNN2,0.00543274,0.005693429,0.000115285,0.011488695,0.001486238
KCNN3,0,0,0.009335463,0,0.006580475
KCNQ1,0.025525821,0,0.001587642,0.034340477,0.001206461
KCNQ1OT1,0.119735344,0.166706009,0.136906276,0.081350395,0.046426053
KCNQ2,0.041801574,0.027693866,0,0.054330135,0.006377463
KCNQ4,0,0.001679227,0,0.000861031,0.010322245
KCNQ5,0.050743837,0.031033979,0.003480324,0.005609037,0.00659776
KCNQ5-IT1,0.008268483,0.001815541,0,0.002344149,9.99E-05
KCNRG,0.013706372,0.01936441,0.016455391,0.018696564,0.011544215
KCNS1,0.004262946,0.023716668,0.000386741,0.009263163,0
KCNS2,0,0.020760387,0.021262248,0.002235776,0.005795064
