gene
SOD1
CYP51A1
EBP
ABCA5
MSMO1
LIMA1
SCARB1
DHCR7
TM7SF2
DHCR24
FDX1
CYB5R3
CYP11A1
STAR
MSMO1
CYP17A1
DKKL1
