subtype,gene_id,avg_logFC,p_val,p_val_adj,OA,Ctrl,pct.1,pct.2
ECs,AC005912.1,1.1080178,5.039219228927384e-08,3.537990009546017e-05,1.649066758854782,0.541048968171641,0.5294117647058824,0.1553784860557769
ECs,AC092069.1,0.6008309,9.449513737491955e-10,1.1057362817371269e-06,0.600830884406101,0.0,0.1470588235294117,0.0
ECs,AC098679.1,0.35384026,4.6853139303697037e-08,3.413649007947662e-05,0.3538402572116394,0.0,0.1176470588235294,0.0
ECs,AC115618.3,0.46950427,4.6853139303697037e-08,3.413649007947662e-05,0.4695042743323445,0.0,0.1176470588235294,0.0
ECs,ACAT2,0.6849294,2.6058053750936613e-06,0.001197894935229,0.7901431947140989,0.1052138385381012,0.2352941176470588,0.0358565737051792
ECs,ADGRA2,0.49000037,4.6853139303697037e-08,3.413649007947662e-05,0.4900003757022597,0.0,0.1176470588235294,0.0
ECs,ADIRF,3.9235847,1.4970391375862819e-47,5.7808166297894285e-43,3.923584600438942,0.0,0.7647058823529411,0.0
ECs,AHR,1.0229417,1.377445963412355e-06,0.0008310949355807,1.5077695400740925,0.484827850005611,0.4705882352941176,0.1434262948207171
ECs,ANXA1,1.1145755,0.0002078368512347,0.042463597938791,3.0846798419724717,1.9701043012659836,0.7352941176470589,0.6095617529880478
ECs,AP1G2,0.39407992,2.150460239652009e-06,0.0010830589212843,0.402674246870695,0.0085943093098129,0.1176470588235294,0.0039840637450199
ECs,ARHGDIA,0.90642923,1.7702656742795854e-08,1.7527899746745177e-05,0.9961792444512868,0.0897500353457641,0.2941176470588235,0.0398406374501992
ECs,ARL2BP,1.3109972,1.754427435339764e-15,4.839086815403214e-12,1.3337386848470358,0.0227414382594612,0.3235294117647059,0.0119521912350597
ECs,ATP5ME,1.3887824,6.859794020787003e-06,0.0029108895177218,2.111294243390649,0.7225118466655109,0.5294117647058824,0.2350597609561753
ECs,B2M,0.5160101,8.968654338391067e-05,0.0271848485359662,7.78567242653743,7.269662316435415,1.0,0.99601593625498
ECs,BECN1,0.81390935,0.0001669549813325,0.0362189135065018,1.1575840374144148,0.3436746577186043,0.3235294117647059,0.1075697211155378
ECs,C22orf23,0.47419998,2.5687397704075296e-05,0.0098209788350778,0.4847694334307361,0.0105694547892089,0.1176470588235294,0.0079681274900398
ECs,C8orf48,0.6301617,6.244935894468659e-06,0.0027095303321899,0.6568194174268511,0.0266577437577424,0.1470588235294117,0.0119521912350597
ECs,C8orf59,1.3589516,3.113856522387312e-06,0.0014146067013174,2.070690182576019,0.7117386594058974,0.5882352941176471,0.2549800796812749
ECs,CAP1,1.321194,1.7641785103846114e-06,0.0010321780784621,2.274343232107717,0.9531491601811516,0.6470588235294118,0.3187250996015936
ECs,CAPSL,0.35187164,0.0001795037131482,0.0376713906696763,0.3919085028161191,0.0400368559486805,0.1176470588235294,0.0119521912350597
ECs,CCZ1,0.7864854,2.7784844504864975e-05,0.0104194195126873,0.8640105322553037,0.0775251611314257,0.2058823529411764,0.0358565737051792
ECs,CDK4,0.87799764,1.9279789885832698e-08,1.861222716103574e-05,0.9000936641734052,0.0220960147393963,0.1764705882352941,0.0079681274900398
ECs,CERS2,0.6043238,3.197856849228457e-07,0.0002092970207338,0.6925515034371048,0.0882276914631569,0.2352941176470588,0.0278884462151394
ECs,CLSTN1,0.50613135,7.62054581014398e-05,0.0255884675181486,0.6000466474536861,0.0939152703131329,0.1764705882352941,0.0278884462151394
ECs,COX20,1.4083513,4.756420432672334e-20,2.2958646875955275e-16,1.4130851684828585,0.0047338425661435,0.3529411764705882,0.0039840637450199
ECs,DDT,0.7802031,2.038148211433105e-11,2.8108247565889052e-08,0.7856845534466093,0.0054814417811119,0.2058823529411764,0.0039840637450199
ECs,EEF1D,2.3780744,7.4406359134466305e-25,7.18300389494354e-21,2.4574079010052703,0.0793335801748726,0.5588235294117647,0.0278884462151394
ECs,ELN,0.41864294,4.3553657840107936e-05,0.0151515720495114,0.4992393110859144,0.0805963860118038,0.1470588235294117,0.0159362549800796
ECs,EMC6,0.8376391,3.728661811150113e-13,7.19911379187808e-10,0.8376391190432874,0.0,0.2058823529411764,0.0
ECs,FAHD2CP,0.3715553,0.000173679899383,0.0370533111308043,0.3999244900438011,0.028369205211872,0.1176470588235294,0.0119521912350597
ECs,FAR2P1,0.35158953,2.049355471708985e-06,0.0010830589212843,0.3607102426769719,0.009120724636101,0.1176470588235294,0.0039840637450199
ECs,FBXW2,1.1131908,2.416939716007633e-07,0.0001637370651467,1.4572714341478277,0.3440806849405782,0.4117647058823529,0.1035856573705179
ECs,FDPS,0.9297875,2.3135294658143765e-05,0.0090239333659012,1.1993849720911858,0.2695974680914698,0.3235294117647059,0.0876494023904382
ECs,FLII,1.5403154,9.043886153043647e-14,1.9401647988876688e-10,1.9502647973989349,0.4099493989222969,0.6176470588235294,0.1274900398406374
ECs,FOSB,0.7468952,0.0001733282568505,0.0370533111308043,0.9113563210729468,0.1644610987056268,0.2058823529411764,0.0438247011952191
ECs,FTH1,3.0436547,1.5532786198391902e-19,6.664428211676705e-16,4.170606307748225,1.1269515757256243,0.9117647058823528,0.3266932270916334
ECs,GAPDH,2.197602,2.5073471926818017e-18,8.061534595880741e-15,3.229166471682468,1.0315644915056494,0.9117647058823528,0.350597609561753
ECs,GAPDHS,1.2098879,2.7098440530721986e-07,0.0001804148760506,1.256713571346089,0.0468256528436139,0.2058823529411764,0.0199203187250996
ECs,GLMP,0.6090352,0.0001379313366495,0.030610451521386,0.6839004842839358,0.0748652624178246,0.1470588235294117,0.0199203187250996
ECs,HIST1H4C,1.1133169,8.232450323893886e-06,0.0033114173880954,4.347221019464498,3.233904096639987,0.9705882352941176,0.8406374501992032
ECs,HLA-DRB5,1.6638465,2.9139504293990515e-14,7.032637239452771e-11,1.8380770575715448,0.1742305367723981,0.4705882352941176,0.0597609561752988
ECs,HNRNPA1L2,0.4239685,3.4881381461038525e-05,0.0125882667768037,0.4613343455812174,0.0373658585018654,0.1470588235294117,0.0159362549800796
ECs,HSPG2,1.1292783,2.5040854711071274e-08,2.358420986995164e-05,1.2808153882526536,0.1515370737440319,0.2941176470588235,0.0398406374501992
ECs,ICAM2,1.5335389,6.564349072937557e-19,2.3043849041043976e-15,1.5710577889098063,0.0375188656147628,0.3823529411764705,0.0119521912350597
ECs,ICAM3,0.4198989,4.6853139303697037e-08,3.413649007947662e-05,0.4198989122653966,0.0,0.1176470588235294,0.0
ECs,ILK,0.8041034,9.449513737491955e-10,1.1057362817371269e-06,0.8041033494322208,0.0,0.1470588235294117,0.0
ECs,IRF2BP2,0.9383188,0.0001991925763428,0.0413538781477306,1.5135448170399908,0.5752260560752989,0.4117647058823529,0.1713147410358565
ECs,ISLR,1.736914,2.2240504771941716e-09,2.4322854455255243e-06,2.9435501103292094,1.20663610242558,0.7352941176470589,0.3426294820717131
ECs,ITPKB,0.9289911,4.4050068196316365e-05,0.015187440923221,1.36233203856912,0.4333409617277202,0.3823529411764705,0.1394422310756972
ECs,JPX,0.5569241,2.77923141216315e-05,0.0104194195126873,0.5823787288295799,0.0254546162628384,0.1176470588235294,0.0079681274900398
ECs,KANK3,0.5812396,1.1532723471702007e-09,1.3098121084110969e-06,0.5957107305360544,0.0144711789719878,0.1764705882352941,0.0039840637450199
ECs,KBTBD4,0.6694864,3.728661811150113e-13,7.19911379187808e-10,0.6694863864521919,0.0,0.2058823529411764,0.0
ECs,LGALS1,0.8116521,0.0001361341350163,0.0305629047886994,2.937635201640145,2.1259830616844826,0.6470588235294118,0.3944223107569721
ECs,LINC01921,3.0140803,4.756420432672334e-20,2.2958646875955275e-16,3.018475557034078,0.0043953720782802,0.3529411764705882,0.0039840637450199
ECs,LRRC75A-AS1,2.620883,3.1175193112582007e-19,1.2038300820423542e-15,3.1409944122436277,0.520111346468751,0.7647058823529411,0.1633466135458167
ECs,LSM1,0.84918463,9.088097567649258e-07,0.0005753063730734,1.0146919509506565,0.1655072950511962,0.2941176470588235,0.0517928286852589
ECs,LY6K,0.6914284,4.8422135518161985e-08,3.462631042655231e-05,0.7067481311824019,0.0153197354248,0.1470588235294117,0.0039840637450199
ECs,MAMLD1,0.4966563,0.0001795037131482,0.0376713906696763,0.547035465137276,0.0503791588556139,0.1176470588235294,0.0119521912350597
ECs,MAN2C1,0.35976237,3.125963467241865e-05,0.011387648989391,0.3891595781460764,0.0293972148783547,0.1176470588235294,0.0079681274900398
ECs,MAP3K12,0.5131082,1.646053409402171e-06,0.0009778823446779,0.5651908247952326,0.0520826257736061,0.1764705882352941,0.0159362549800796
ECs,MAPK7,0.47992942,3.125963467241865e-05,0.011387648989391,0.5292732757556755,0.0493438616105015,0.1176470588235294,0.0079681274900398
ECs,MAZ,0.35689622,4.6853139303697037e-08,3.413649007947662e-05,0.3568962152877782,0.0,0.1176470588235294,0.0
ECs,MGAT2,0.5388236,4.6853139303697037e-08,3.413649007947662e-05,0.5388236155142843,0.0,0.1176470588235294,0.0
ECs,MIF,0.6000532,1.8902134550615403e-11,2.807330483353899e-08,0.6000532015705207,0.0,0.1764705882352941,0.0
ECs,MT-CO2,0.6247172,6.617803654459288e-06,0.0028394054235216,6.82373588444156,6.199018716751036,1.0,1.0
ECs,MT-ND1,0.83858067,2.9302161108533152e-08,2.6940546457285895e-05,6.0520604542236445,5.213479778163447,1.0,0.9920318725099602
ECs,MT-ND2,0.6427157,0.0001043122504638,0.0271848485359662,6.180333586510596,5.537617908657005,1.0,1.0
ECs,MT-TE,2.4339972,1.2840276135508784e-14,3.3055150864844775e-11,2.84295235305552,0.4089550882774476,0.6176470588235294,0.1235059760956175
ECs,MT-TL1,0.78015876,0.0001536682209383,0.0335248494437032,1.167089550223506,0.386930792092892,0.3529411764705882,0.1235059760956175
ECs,MT-TW,0.5882137,1.8902134550615403e-11,2.807330483353899e-08,0.5882137073991743,0.0,0.1764705882352941,0.0
ECs,MTATP6P1,0.9131222,4.5760643568886006e-08,3.413649007947662e-05,4.584521371132512,3.671399203059706,0.9705882352941176,0.9561752988047808
ECs,MYL12A,0.954426,9.444979812469428e-07,0.0005882546700943,3.691088545919559,2.7366625631548884,0.9705882352941176,0.8207171314741036
