Gene name,Ctrl,OA
TTC25,0.432,0.874
TTC29,2.344,4.119
CATSPER3,0.314,0.7
PIH1D3,0.735,0.958
RSPH3,0.446,0.597
RSPH1,0.321,0.622
CFAP61,0.464,0.682
CFAP44,0.528,0.734
CCDC65,0.757,1.734
DNAH6,0.411,0.704
DNAH7,0.393,0.531
DNAH8,0.592,0.715
WDR63,0.428,0.69
