Gene name,Ctrl,OA
TTC25,0.0,1.0
TTC29,0.0,1.0
CATSPER3,0.0,1.0
PIH1D3,0.0,1.0
RSPH3,0.0,1.0
RSPH1,0.0,1.0
CFAP61,0.0,1.0
CFAP44,0.0,1.0
CCDC65,0.0,1.0
DNAH6,0.0,1.0
DNAH7,0.0,1.0
DNAH8,0.0,1.0
WDR63,0.0,1.0
