gene_order,gene,Ctrl,OA
1,WDR63,0.148,0.259
2,TTC25,0.175,0.352
3,TTC29,0.456,0.651
4,CATSPER3,0.119,0.254
5,PIH1D3,0.208,0.32
6,RSPH3,0.189,0.271
7,RSPH1,0.144,0.271
8,CFAP61,0.198,0.314
9,CFAP44,0.224,0.326
10,CCDC65,0.235,0.465
11,DNAH6,0.17,0.281
12,DNAH7,0.179,0.25
13,DNAH8,0.221,0.299
