subtype,gene_id,avg_logFC,p_val,p_val_adj,OA,Ctrl,pct.1,pct.2
ECs,DDX5,-0.652447,0.0001189755121734,0.0271848485359662,3.4977784531338454,4.1502254504802565,0.8823529411764706,0.9840637450199204
ECs,DUSP1,-2.007195,3.91284750843162e-10,5.21015884614093e-07,0.8943920717590441,2.901587065039956,0.1764705882352941,0.7808764940239044
ECs,FKBP5,-1.064515,0.000126041224609,0.0286298934604607,0.6366447210729357,1.701159669203105,0.1470588235294117,0.5258964143426295
ECs,GPX3,-1.89609,5.594901042323615e-07,0.0003600785062488,0.5892708900265782,2.4853609653047393,0.1764705882352941,0.6294820717131474
ECs,HLA-DRB6,-1.2065266,4.078156994764493e-05,0.0143161847593482,0.9294095527070636,2.1359361970154347,0.1470588235294117,0.5737051792828686
ECs,HNRNPA1,-0.77409005,0.0001790232842681,0.0376713906696763,2.2371867527086113,3.0112768309142925,0.6470588235294118,0.8685258964143426
ECs,IFITM3,-0.8539992,1.2598042062815266e-06,0.0007721799908819,4.8105063630434595,5.664505571226837,0.9705882352941176,0.9880478087649402
ECs,MT-ND5,-0.45228404,0.0002275200728892,0.0459983644744397,5.8821025484586285,6.334386598277476,1.0,1.0
ECs,MT-ND6,-4.7837453,4.495505982050521e-21,3.471879269937618e-17,0.3564251350300017,5.1401702488264,0.088235294117647,0.99601593625498
ECs,MT-RNR1,-0.784809,2.3121337691669323e-06,0.0010830589212843,6.997533808080489,7.782342824439625,1.0,1.0
ECs,NNMT,-1.3375765,0.0001095665968776,0.0271848485359662,0.1881391037535698,1.5257156493069184,0.0294117647058823,0.3745019920318725
ECs,NPDC1,-1.2297575,3.658367614749241e-05,0.013080357911439,0.38628723712338,1.6160448296329684,0.1176470588235294,0.4940239043824701
ECs,PTTG1IP,-1.1898309,1.3094234852892147e-05,0.005212720400458,1.6851142316031336,2.874945110985599,0.5588235294117647,0.8047808764940239
ECs,RDX,-1.2808609,6.933102526751406e-08,4.780745608401885e-05,2.3585376273735714,3.639398529288949,0.6470588235294118,0.9362549800796812
ECs,SEC14L1,-1.0176136,8.080163144069162e-05,0.0266679914366009,1.5319883147072155,2.5496019322186876,0.4705882352941176,0.7609561752988048
ECs,SERPING1,-1.0193671,3.88719390111635e-05,0.0137710084854686,1.5541949520423315,2.573562034003371,0.4117647058823529,0.7569721115537849
ECs,SPARCL1,-0.59822315,7.918395559859093e-05,0.0263593831503412,6.45628047004841,7.054503640797198,0.9411764705882352,1.0
ECs,TCIM,-1.6393095,0.0001126628867412,0.0271848485359662,0.6253844451137283,2.2646939134046087,0.1764705882352941,0.5219123505976095
LCs,A2M,-1.7764632,2.8431344472686734e-06,0.0005085239644312,0.3564472255123545,2.1329103433425947,0.0897435897435897,0.3609756097560975
LCs,ACTB,-0.77439237,4.277093915706781e-08,1.2607632179772316e-05,3.5732092410461207,4.34760160304804,0.9615384615384616,0.9951219512195122
LCs,ACTG1,-1.0490559,6.009791331867284e-10,2.73021285035359e-07,2.706568182835672,3.755624090752736,0.9102564102564102,0.946341463414634
LCs,ARPC2,-0.7040858,0.0007488413786164,0.0484776748565606,2.1194535051078267,2.823539309730136,0.8333333333333334,0.8341463414634146
