panel,meaning,shared_count,numbers_raw,ECs_specific_count,LCs_specific_count,Lym_specific_count,Myoids_specific_count,STs_specific_count
A,Upregulated in OA,361,"361,203,379,406,334,266",266,334,406,379,203
B,Downregulated in OA,224,"224,167,62,308,299,216",216,299,308,62,167
