ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio,neg_log10_pvalue
BP,GO:0008213,protein alkylation,181/18723,9.44421300568e-05,0.004759624609302,0.0039138670769042,LMNA/FAM98A/SETD2/RTF1/ATRX/SETD5/PCMTD1/ASH1L/BRD4/RIF1/KMT2A,11,11/281,4.024834226363724
BP,GO:0010769,regulation of cell morphogenesis involved in differentiation,96/18723,9.86682653491e-05,0.0049054128137782,0.0040337495677597,ARPC2/RAC1/CDC42/DHX36/NEDD9/S100A10/ACTN4/PRKDC,8,8/281,4.005822506903956
BP,GO:0001667,ameboidal-type cell migration,475/18723,0.0001094817653601,0.0053704455301313,0.0044161486827363,TIMP1/ARID5B/HSPB1/PIK3C2A/MEF2C/SOX9/MYH9/APPL2/PTN/EDN1/RAC1/MACF1/TMSB4X/MAP4K4/RRAS/PKN2/PFN1/ZFAND5/ENPP2,19,19/281,3.9606582083392916
BP,GO:0007596,blood coagulation,217/18723,0.0001128438685045,0.0054625341082654,0.0044918736576458,VTN/ACTG1/HSPB1/CLIC1/IL6ST/MYH9/EDN1/HPS5/MYL9/CD9/LMAN1/BLOC1S6,12,12/281,3.9475220338126724
BP,GO:0007163,establishment or maintenance of cell polarity,218/18723,0.0001178482606885,0.0056306980658849,0.0046301558608183,MAP1B/MYH9/MAP4/HSP90AA1/HSP90AB1/LMNA/RAC1/CDC42/RHOC/DOCK7/CKAP5/DST,12,12/281,3.9286768228041544
BP,GO:0034110,regulation of homotypic cell-cell adhesion,33/18723,0.0001235990469344,0.0057559606793905,0.0047331600385025,LGALS1/RDX/IL6ST/JAK1/CD9,5,5/281,3.907984878055672
BP,GO:0150117,positive regulation of cell-substrate junction organization,33/18723,0.0001235990469344,0.0057559606793905,0.0047331600385025,RAC1/S100A10/MAP4K4/PIK3R1/IQGAP1,5,5/281,3.907984878055672
BP,GO:0007599,hemostasis,222/18723,0.0001398182249176,0.0063505092527391,0.0052220607980922,VTN/ACTG1/HSPB1/CLIC1/IL6ST/MYH9/EDN1/HPS5/MYL9/CD9/LMAN1/BLOC1S6,12,12/281,3.8544362158201193
BP,GO:0050817,coagulation,222/18723,0.0001398182249176,0.0063505092527391,0.0052220607980922,VTN/ACTG1/HSPB1/CLIC1/IL6ST/MYH9/EDN1/HPS5/MYL9/CD9/LMAN1/BLOC1S6,12,12/281,3.8544362158201193
BP,GO:0071214,cellular response to abiotic stimulus,331/18723,0.0001533076815145,0.0067954091601441,0.0055879045868454,TIMP1/MYLK/CRYAB/WNK3/SOX9/PTN/NUCKS1/NIPBL/RAC1/DHX36/XRCC5/PIK3R1/PARP1/USP47/TSPO,15,15/281,3.8144360841816187
