gene_order,gene,found_in_source,average_expression_normalized,log2FC,pct1,pct2,z_score,p_value,adjusted_p_value
1,WDR63,True,1.4151373777041112,-0.2401945441961288,0.5970247933884297,0.6960072595281307,-7.538758277893066,4.7446696208595596e-14,9.174046103108352e-13
2,TTC25,True,0.6017621488239998,-0.2082577347755432,0.3107438016528925,0.3883847549909255,-5.868786334991455,4.389965771068701e-09,4.773337279073132e-08
3,TTC29,True,1.7456315506087423,-0.0672186762094497,0.6495867768595042,0.70508166969147,-3.405243396759033,0.0006610511844444,0.0028358791567559
4,CATSPER3,True,0.040558734834952,0.0092954589053988,0.0287603305785124,0.0172413793103448,2.033283948898315,0.0420238495680858,0.1000569609508436
5,PIH1D3,True,0.1502136516254489,0.0736468583345413,0.0935537190082644,0.0399274047186932,5.582886219024658,2.3655931411015572e-08,2.315985085009641e-07
6,RSPH3,True,0.5857580317288089,0.0533115826547145,0.2895867768595041,0.2731397459165154,0.8928093910217285,0.3719592695610361,0.5066736048933868
7,RSPH1,True,1.248523998217868,0.0779635682702064,0.59900826446281,0.5553539019963702,2.9659576416015625,0.0030174194582122,0.0108853417022468
8,CFAP61,True,0.2707080425637022,-0.0435843914747238,0.1560330578512396,0.1642468239564428,-0.9212475419044496,0.3569212057595849,0.4929207128640138
9,CFAP44,True,0.875119871537292,-0.2115065902471542,0.4505785123966942,0.5163339382940109,-5.273905754089356,1.3355041637914852e-07,1.1641410206e-06
10,CCDC65,True,1.3014033073256477,-0.2852369546890259,0.5917355371900826,0.6814882032667876,-8.18130874633789,2.807769383708751e-16,6.692840759350198e-15
11,DNAH6,True,0.4499995120312733,-0.1429694145917892,0.2290909090909091,0.2849364791288566,-3.9407594203948975,8.1224073532e-05,0.0004287328417506
12,DNAH7,True,0.6615214426036746,-0.2634365260601043,0.3309090909090909,0.4183303085299455,-6.319042205810547,2.6318963962618844e-10,3.36531653204139e-09
13,DNAH8,True,0.8395609511092337,-0.5934222340583801,0.3990082644628099,0.5807622504537205,-13.137001037597656,2.020785882164297e-39,1.8147462850758512e-37
