,Sertoli maturity,BTB integrity,Sertoli stress,Sertoli SASP,Leydig maturity,Leydig immaturity,Germ maturity index,Germ latest stage
Sertoli maturity,1.0,0.8352941176470589,-0.0352941176470588,0.3029411764705882,0.7735294117647058,-0.6235294117647059,0.5545746842434832,0.653678959146267
BTB integrity,0.8352941176470589,1.0,-0.1470588235294117,0.188235294117647,0.7735294117647058,-0.7764705882352941,0.5191763001428353,0.6572706017789388
Sertoli stress,-0.0352941176470588,-0.1470588235294117,1.0,0.8411764705882352,-0.0294117647058823,0.4941176470588235,-0.351033975664758,-0.2657815548177129
Sertoli SASP,0.3029411764705882,0.188235294117647,0.8411764705882352,1.0,0.1999999999999999,0.2588235294117647,-0.1120948829853849,0.0430997115920615
Leydig maturity,0.7735294117647058,0.7735294117647058,-0.0294117647058823,0.1999999999999999,1.0,-0.6058823529411764,0.3569337063481993,0.5602962506968003
Leydig immaturity,-0.6235294117647059,-0.7764705882352941,0.4941176470588235,0.2588235294117647,-0.6058823529411764,1.0,-0.6548701058619855,-0.6716371723096259
Germ maturity index,0.5545746842434832,0.5191763001428353,-0.351033975664758,-0.1120948829853848,0.3569337063481993,-0.6548701058619855,0.9999999999999998,0.8213137116947162
Germ latest stage,0.653678959146267,0.6572706017789387,-0.2657815548177129,0.0430997115920615,0.5602962506968003,-0.6716371723096259,0.8213137116947162,1.0
