,Sertoli maturity,BTB integrity,Sertoli stress,Sertoli SASP,Leydig maturity,Leydig immaturity,Germ maturity index,Germ latest stage
Sertoli maturity,0.0,0.0012683547141332,0.9138955872505,0.3572815508572662,0.0032951673878379,0.0277190167244681,0.0552477124662586,0.0205914003143568
BTB integrity,0.0012683547141332,0.0,0.6770693004244677,0.5744446687248965,0.0032951673878379,0.0032951673878379,0.0769228152953486,0.0205914003143568
Sertoli stress,0.9138955872505,0.6770693004244677,0.0,0.0012683547141332,0.9138955872505,0.0969814542173165,0.2649017731150143,0.4232224886086781
Sertoli SASP,0.3572815508572662,0.5744446687248965,0.0012683547141332,0.0,0.5566474521184863,0.4282358228146389,0.7642979499754465,0.9138955872505
Leydig maturity,0.0032951673878379,0.0032951673878379,0.9138955872505,0.5566474521184863,0.0,0.0321507463334179,0.262108685103854,0.0539614594022855
Leydig immaturity,0.0277190167244681,0.0032951673878379,0.0969814542173165,0.4282358228146389,0.0321507463334179,0.0,0.0205914003143568,0.0201024391398215
Germ maturity index,0.0552477124662586,0.0769228152953486,0.2649017731150143,0.7642979499754465,0.262108685103854,0.0205914003143568,0.0,0.0014378553281169
Germ latest stage,0.0205914003143568,0.0205914003143568,0.4232224886086781,0.9138955872505,0.0539614594022855,0.0201024391398215,0.0014378553281169,0.0
