score_display,Ctrl,OA,AZFc_Del,iNOA_B,iNOA_S,KS
Sertoli maturity,-0.21965890623397596,0.9602638993531213,0.3775394612220761,-0.4797306151374712,-0.3953787073652492,-1.0330530435062548
BTB integrity,0.004590564493191322,0.9299023479204575,0.44163929082160785,-0.4169613847391148,-1.091030853196022,-0.4399909781000939
Sertoli stress,-0.9159675032752238,-0.610747871731852,0.3135289645117715,0.3160790396035968,-0.0220769919813996,1.538091101657371
Sertoli SASP,-1.273291437643908,-0.0897872007609375,0.6581548730422064,-0.2400006963827465,-0.46202170542475685,1.5413411178513639
Leydig maturity,0.28106847647420397,0.8745213139972975,0.07216467615921568,-0.8043318699385585,-0.6438060131222415,-0.5098390833730412
Leydig immaturity,-0.5537319663010903,-1.1824521915527921,0.01630907879485427,-0.5169896161026992,1.2018900338666285,1.0273178364425222
Germ maturity index,0.7415143713838593,0.7976831115086856,0.33449885384052197,-0.5090544252284127,-1.5134277867713808,-0.453125039248583
Germ latest stage,0.6024640760767093,0.6024640760767093,0.6024640760767093,0.25819888974716115,-1.6926371661202786,-0.6024640760767094
