panel_celltype,group,pathway,pathway_readable,setSize,NES,pvalue,p.adjust,qvalues,rank,leading_edge,neglog10_fdr
Myoid,OA,HALLMARK_COAGULATION,Coagulation,64,-1.628654208,0.0038264,0.019132,0.013291705,977,"tags=30%, list=10%, signal=27%",1.7182396278000736
Myoid,iNOA_B,HALLMARK_SPERMATOGENESIS,Spermatogenesis,95,-2.562264608,1e-10,5e-09,4.11e-09,1182,"tags=48%, list=13%, signal=42%",8.301029995663981
Myoid,iNOA_B,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Tnfa Signaling Via Nfkb,94,1.785307054,0.000181397,0.00453493,0.003723416,1383,"tags=29%, list=16%, signal=24%",2.3434294122088164
Myoid,iNOA_B,HALLMARK_P53_PATHWAY,P53 Pathway,104,1.689155802,0.001000283,0.016671375,0.013688077,719,"tags=19%, list=8%, signal=18%",1.77802857951895
Myoid,iNOA_B,HALLMARK_COAGULATION,Coagulation,55,-1.730657734,0.004635393,0.047711796,0.039173896,1382,"tags=44%, list=16%, signal=37%",1.3213742351239748
Myoid,iNOA_B,HALLMARK_E2F_TARGETS,E2f Targets,137,1.406047615,0.006459294,0.047711796,0.039173896,2212,"tags=45%, list=25%, signal=34%",1.3213742351239748
Myoid,iNOA_B,HALLMARK_KRAS_SIGNALING_UP,Kras Signaling Up,78,1.491425487,0.007633887,0.047711796,0.039173896,1885,"tags=42%, list=21%, signal=34%",1.3213742351239748
Myoid,iNOA_B,HALLMARK_NOTCH_SIGNALING,Notch Signaling,15,1.756709483,0.00522556,0.047711796,0.039173896,1306,"tags=47%, list=15%, signal=40%",1.3213742351239748
Myoid,iNOA_B,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Oxidative Phosphorylation,182,1.419490745,0.007304207,0.047711796,0.039173896,901,"tags=22%, list=10%, signal=20%",1.3213742351239748
Myoid,iNOA_B,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,124,1.329151234,0.024535811,0.136310062,0.111917735,1332,"tags=25%, list=15%, signal=22%",0.8654720846657846
Myoid,iNOA_B,HALLMARK_HEDGEHOG_SIGNALING,Hedgehog Signaling,16,1.524436787,0.036778449,0.183892243,0.15098521,1902,"tags=56%, list=22%, signal=44%",0.7354365899209626
Myoid,iNOA_S,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,127,2.437232606,1e-10,1.67e-09,5.61e-10,1117,"tags=37%, list=12%, signal=33%",8.777283528852417
Myoid,iNOA_S,HALLMARK_SPERMATOGENESIS,Spermatogenesis,96,-2.336330422,1e-10,1.67e-09,5.61e-10,1147,"tags=55%, list=12%, signal=49%",8.777283528852417
Myoid,iNOA_S,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Tnfa Signaling Via Nfkb,106,2.76860125,1e-10,1.67e-09,5.61e-10,978,"tags=39%, list=11%, signal=35%",8.777283528852417
Myoid,iNOA_S,HALLMARK_P53_PATHWAY,P53 Pathway,114,2.220390312,1.73e-08,2.17e-07,7.29e-08,1580,"tags=34%, list=17%, signal=29%",6.663540266151471
Myoid,iNOA_S,HALLMARK_UV_RESPONSE_DN,Uv Response Dn,105,2.151158778,4.84e-08,4.84e-07,1.63e-07,793,"tags=30%, list=9%, signal=27%",6.315154638355588
Myoid,iNOA_S,HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon Alpha Response,62,2.155833489,2.1e-07,1.75e-06,5.9e-07,2472,"tags=68%, list=27%, signal=50%",5.756961951313706
Myoid,iNOA_S,HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,111,1.977553247,7.91e-07,5.65e-06,1.9e-06,1634,"tags=43%, list=18%, signal=36%",5.247951552180561
Myoid,iNOA_S,HALLMARK_MTORC1_SIGNALING,Mtorc1 Signaling,157,1.780900498,3.14e-06,1.96e-05,6.62e-06,1250,"tags=29%, list=14%, signal=25%",4.707743928643524
Myoid,iNOA_S,HALLMARK_CHOLESTEROL_HOMEOSTASIS,Cholesterol Homeostasis,54,2.021196923,8.95e-06,4.94e-05,1.66e-05,1250,"tags=44%, list=14%, signal=39%",4.306273051076353
Myoid,iNOA_S,HALLMARK_IL2_STAT5_SIGNALING,Il2 Stat5 Signaling,103,1.937607846,9.87e-06,4.94e-05,1.66e-05,1205,"tags=32%, list=13%, signal=28%",4.306273051076353
