cell_type,group,gene,pct_expressed,mean_log1p,mean_raw_expr,n_cells
ST,Ctrl,SLC16A3,36.038961038961034,0.31490722356974127,0.5438311688311688,616
ST,OA,SLC16A3,63.43283582089553,0.6311000548630048,1.1925373134328359,670
ST,AZFc_Del,SLC16A3,28.685410334346507,0.2647327669721228,0.4773936170212766,5264
ST,iNOA_B,SLC16A3,28.80886426592798,0.22903466922489085,0.3628808864265928,361
ST,iNOA_S,SLC16A3,22.58064516129032,0.19752843072537501,0.34148346003698377,4867
ST,KS,SLC16A3,66.99346405228758,0.7239508520001599,1.4444444444444444,306
ST,Ctrl,LDHA,60.22727272727273,0.5970454192758972,1.1379870129870129,616
ST,OA,LDHA,84.4776119402985,1.1239155504667315,2.707462686567164,670
ST,AZFc_Del,LDHA,71.27659574468085,0.8575281189796631,1.9792933130699089,5264
ST,iNOA_B,LDHA,55.4016620498615,0.550569865978267,1.0526315789473684,361
ST,iNOA_S,LDHA,75.9810971851243,0.9456454300312997,2.20464351756729,4867
ST,KS,LDHA,86.27450980392157,1.2115446786714739,3.104575163398693,306
