source_table,pathway,cell_type,group,score
no_OA,Oxidative_phosphorylation,Round_Spermatids,AZFc_Del,0.108870318
with_OA,Oxidative_phosphorylation,Round_Spermatids,AZFc_Del,0.108870317942832
no_OA,Oxidative_phosphorylation,Round_Spermatids,KS,0.674300391
with_OA,Oxidative_phosphorylation,Round_Spermatids,KS,0.674300390635312
no_OA,Oxidative_phosphorylation,SPGs,Ctrl,0.510799528
with_OA,Oxidative_phosphorylation,SPGs,Ctrl,0.51079952786801
with_OA,Oxidative_phosphorylation,SPGs,OA,0.797855009806266
no_OA,Oxidative_phosphorylation,SPGs,AZFc_Del,1.078724518
with_OA,Oxidative_phosphorylation,SPGs,AZFc_Del,1.07872451819745
no_OA,Oxidative_phosphorylation,SPGs,iNOA_B,-0.194748129
with_OA,Oxidative_phosphorylation,SPGs,iNOA_B,-0.194748129018931
no_OA,Oxidative_phosphorylation,SPGs,KS,1.374337997
with_OA,Oxidative_phosphorylation,SPGs,KS,1.37433799707721
no_OA,Oxidative_phosphorylation,SSCs,Ctrl,0.096479704
with_OA,Oxidative_phosphorylation,SSCs,Ctrl,0.096479704155211
with_OA,Oxidative_phosphorylation,SSCs,OA,-0.778953248465197
no_OA,Oxidative_phosphorylation,SSCs,AZFc_Del,-0.323923921
with_OA,Oxidative_phosphorylation,SSCs,AZFc_Del,-0.323923920952572
no_OA,Oxidative_phosphorylation,SSCs,iNOA_B,-1.322065875
with_OA,Oxidative_phosphorylation,SSCs,iNOA_B,-1.32206587538932
no_OA,Oxidative_phosphorylation,SSCs,KS,0.028763313
with_OA,Oxidative_phosphorylation,SSCs,KS,0.0287633134754728
with_OA,Oxidative_phosphorylation,Sperm,Ctrl,-1.82800212403348
with_OA,Oxidative_phosphorylation,Sperm,OA,-2.00556752076825
with_OA,Oxidative_phosphorylation,Sperm,AZFc_Del,-1.53960882431388
with_OA,Oxidative_phosphorylation,Sperm,KS,-1.1132992150898
