cell_type,group,gene,pct_expressed,mean_log1p,mean_raw_expr,n_cells
ST,Ctrl,SLC16A3,36.038961038961034,0.31490722356974127,0.5438311688311688,616
ST,OA,SLC16A3,63.43283582089553,0.6311000548630048,1.1925373134328359,670
ST,AZFc_Del,SLC16A3,28.685410334346507,0.2647327669721228,0.4773936170212766,5264
ST,iNOA_B,SLC16A3,28.80886426592798,0.22903466922489085,0.3628808864265928,361
ST,iNOA_S,SLC16A3,22.58064516129032,0.19752843072537501,0.34148346003698377,4867
ST,KS,SLC16A3,66.99346405228758,0.7239508520001599,1.4444444444444444,306
ST,Ctrl,LDHA,60.22727272727273,0.5970454192758972,1.1379870129870129,616
ST,OA,LDHA,84.4776119402985,1.1239155504667315,2.707462686567164,670
ST,AZFc_Del,LDHA,71.27659574468085,0.8575281189796631,1.9792933130699089,5264
ST,iNOA_B,LDHA,55.4016620498615,0.550569865978267,1.0526315789473684,361
ST,iNOA_S,LDHA,75.9810971851243,0.9456454300312997,2.20464351756729,4867
ST,KS,LDHA,86.27450980392157,1.2115446786714739,3.104575163398693,306
Late_primary_SPCs,Ctrl,SLC16A1,31.753554502369667,0.2668705289924317,0.4439178515007899,1266
Late_primary_SPCs,OA,SLC16A1,38.719832109129065,0.32422837471965676,0.540398740818468,1906
Late_primary_SPCs,AZFc_Del,SLC16A1,33.72228704784131,0.30269454726738515,0.5338389731621938,1714
Late_primary_SPCs,iNOA_B,SLC16A1,13.875598086124402,0.10448900238110902,0.1598086124401914,1045
Late_primary_SPCs,KS,SLC16A1,44.23407917383821,0.4065524268052736,0.7228915662650602,581
Late_primary_SPCs,Ctrl,LDHB,7.5829383886255926,0.06107966545790219,0.10110584518167456,1266
Late_primary_SPCs,OA,LDHB,16.63168940188877,0.1330137910692938,0.21458551941238196,1906
Late_primary_SPCs,AZFc_Del,LDHB,16.744457409568263,0.13790286190249168,0.2310385064177363,1714
Late_primary_SPCs,iNOA_B,LDHB,3.923444976076555,0.029624101021305808,0.045933014354066985,1045
Late_primary_SPCs,KS,LDHB,23.580034423407916,0.20487882762880735,0.36316695352839934,581
Round_spermatids,Ctrl,SLC16A1,20.618556701030926,0.182288954855338,0.30927835051546393,97
Round_spermatids,OA,SLC16A1,9.164292497625832,0.07021520563958196,0.10921177587844255,6318
Round_spermatids,AZFc_Del,SLC16A1,8.592425098925947,0.06538051027016507,0.10146975692481629,3538
Round_spermatids,KS,SLC16A1,17.562189054726367,0.14120058169391828,0.22786069651741295,2010
Round_spermatids,Ctrl,LDHB,37.11340206185567,0.383354069062527,0.7319587628865979,97
Round_spermatids,OA,LDHB,4.9224438113327,0.0372545822810146,0.057929724596391265,6318
Round_spermatids,AZFc_Del,LDHB,8.083663086489542,0.06637902922105594,0.11136235161107971,3538
Round_spermatids,KS,LDHB,11.343283582089553,0.10453753041977208,0.19651741293532338,2010
