group,n_cells,mean,median,min,max,q1,q3
Ctrl,616,0.13891071428571428,0.138,0.031,0.262,0.109,0.168
OA,670,0.20934776119402987,0.21,0.064,0.337,0.18,0.237
AZFc_Del,5264,0.18194110942249242,0.183,0.028,0.354,0.149,0.215
iNOA_B,361,0.12024376731301939,0.118,0.0,0.259,0.092,0.147
iNOA_S,4867,0.16565543455927675,0.166,0.0,0.338,0.135,0.198
KS,306,0.21862091503267972,0.2205,0.087,0.347,0.19,0.248
