cell_type,group,gene,pct_expressed,mean_log1p,mean_raw_expr,n_cells
Late_primary_SPCs,Ctrl,SLC16A1,31.753554502369667,0.2668705289924317,0.4439178515007899,1266
Late_primary_SPCs,OA,SLC16A1,38.719832109129065,0.32422837471965676,0.540398740818468,1906
Late_primary_SPCs,AZFc_Del,SLC16A1,33.72228704784131,0.30269454726738515,0.5338389731621938,1714
Late_primary_SPCs,iNOA_B,SLC16A1,13.875598086124402,0.10448900238110902,0.1598086124401914,1045
Late_primary_SPCs,KS,SLC16A1,44.23407917383821,0.4065524268052736,0.7228915662650602,581
Late_primary_SPCs,Ctrl,LDHB,7.5829383886255926,0.06107966545790219,0.10110584518167456,1266
Late_primary_SPCs,OA,LDHB,16.63168940188877,0.1330137910692938,0.21458551941238196,1906
Late_primary_SPCs,AZFc_Del,LDHB,16.744457409568263,0.13790286190249168,0.2310385064177363,1714
Late_primary_SPCs,iNOA_B,LDHB,3.923444976076555,0.029624101021305808,0.045933014354066985,1045
Late_primary_SPCs,KS,LDHB,23.580034423407916,0.20487882762880735,0.36316695352839934,581
