complex,n_genes,mean_log2fc,median_log2fc
Complex I,6,0.10198841781512785,0.08721234093388425
Complex II,5,-0.01775392673095464,-0.0726405792281969
Complex IV,6,-0.004557631268765179,-0.051356723834273844
Complex V,6,-0.26668405326737016,-0.360153589800906
CoQ,3,-0.15936971324474652,-0.237438207995127
