id_cp_interaction,interacting_pair,partner_a,partner_b,gene_a,gene_b,secreted,receptor_a,receptor_b,annotation_strategy,is_integrin,rank,LCs_a|LCs_a,LCs_a|LCs_b,LCs_a|LCs_c,LCs_a|STs,LCs_b|LCs_a,LCs_b|LCs_b,LCs_b|LCs_c,LCs_b|STs,LCs_c|LCs_a,LCs_c|LCs_b,LCs_c|LCs_c,LCs_c|STs,STs|LCs_a,STs|LCs_b,STs|LCs_c,STs|STs
CPI-SS0A932EB77,SLIT2_ROBO1,simple:O94813,simple:Q9Y6N7,ENSG00000145147,ENSG00000169855,TRUE,FALSE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS0D0235DCE,SLIT2_ROBO2,simple:O94813,simple:Q9HCK4,ENSG00000145147,ENSG00000185008,TRUE,FALSE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS001D6BC6C,ERVH48-1_SLC1A5,simple:M5A8F1,simple:Q15758,ENSG00000233056,ENSG00000105281,TRUE,FALSE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS03F821467,CD96_NECTIN1,simple:P40200,simple:Q15223,ENSG00000153283,ENSG00000110400,TRUE,TRUE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS0E91D96D7,TAFA5_S1PR2,simple:Q7Z5A7,simple:O95136,ENSG00000219438,ENSG00000267534,TRUE,FALSE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC03C27B368,TNC_integrin_aVb6_complex,simple:P24821,complex:integrin_aVb6_complex,ENSG00000041982,,TRUE,FALSE,FALSE,curated,TRUE,1.438,,,,,,,,,,,,,,,,
CPI-SC08AC51E15,TGFB1_integrin_aVb6_complex,simple:P01137,complex:integrin_aVb6_complex,ENSG00000105329,,TRUE,FALSE,FALSE,curated,TRUE,1.438,,,,,,,,,,,,,,,,
CPI-SC0DA808D76,TGFB3_integrin_aVb6_complex,simple:P10600,complex:integrin_aVb6_complex,ENSG00000119699,,TRUE,FALSE,FALSE,curated,TRUE,1.438,,,,,,,,,,,,,,,,
CPI-CS029E9BA69,SerotoninDopamin_byDDC_HTR2C,complex:SerotoninDopamin_byDDC,simple:P28335,,ENSG00000147246,TRUE,FALSE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-CS0EA8C2964,SerotoninDopamin_byDDC_HTR3B,complex:SerotoninDopamin_byDDC,simple:O95264,,ENSG00000149305,TRUE,FALSE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-CS07508694A,SerotoninDopamin_byDDC_HTR4,complex:SerotoninDopamin_byDDC,simple:Q13639,,ENSG00000164270,TRUE,FALSE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-CS0E5E6A50E,SerotoninDopamin_byDDC_DRD3,complex:SerotoninDopamin_byDDC,simple:P35462,,ENSG00000151577,TRUE,FALSE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS0339AE950,SIRPA_CD47,simple:P78324,simple:Q08722,ENSG00000198053,ENSG00000196776,FALSE,TRUE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS0C1B7C152,SIRPG_CD47,simple:Q9P1W8,simple:Q08722,ENSG00000089012,ENSG00000196776,FALSE,FALSE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS014C07723,TYROBP_CD44,simple:O43914,simple:P16070,ENSG00000011600,ENSG00000026508,FALSE,FALSE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS027028983,SLIT1_ROBO1,simple:O75093,simple:Q9Y6N7,ENSG00000187122,ENSG00000169855,TRUE,FALSE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC0735548E0,WNT11_FZD1_LRP6,simple:O96014,complex:FZD1_LRP6,ENSG00000085741,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC041A30C3B,WNT2_FZD1_LRP6,simple:P09544,complex:FZD1_LRP6,ENSG00000105989,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC04091DFF6,WNT2B_FZD1_LRP6,simple:Q93097,complex:FZD1_LRP6,ENSG00000134245,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC02CD1EEDE,WNT3_FZD1_LRP6,simple:P56703,complex:FZD1_LRP6,ENSG00000108379,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC056F0C465,WNT5B_FZD1_LRP6,simple:Q9H1J7,complex:FZD1_LRP6,ENSG00000111186,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC0750A0484,WNT6_FZD1_LRP6,simple:Q9Y6F9,complex:FZD1_LRP6,ENSG00000115596,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC0F00C86AC,WNT10A_FZD7_LRP5,simple:Q9GZT5,complex:FZD7_LRP5,ENSG00000135925,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC0714EE585,WNT11_FZD7_LRP5,simple:O96014,complex:FZD7_LRP5,ENSG00000085741,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC0152439C2,WNT10A_FZD1_LRP5,simple:Q9GZT5,complex:FZD1_LRP5,ENSG00000135925,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC0744403E1,WNT11_FZD1_LRP5,simple:O96014,complex:FZD1_LRP5,ENSG00000085741,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC0D5C7F2EB,WNT2_FZD1_LRP5,simple:P09544,complex:FZD1_LRP5,ENSG00000105989,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC086EAFF18,WNT2B_FZD1_LRP5,simple:Q93097,complex:FZD1_LRP5,ENSG00000134245,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC01A9C52E5,WNT3_FZD1_LRP5,simple:P56703,complex:FZD1_LRP5,ENSG00000108379,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC0F416B44F,WNT5B_FZD1_LRP5,simple:Q9H1J7,complex:FZD1_LRP5,ENSG00000111186,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC0B7534B27,WNT6_FZD1_LRP5,simple:Q9Y6F9,complex:FZD1_LRP5,ENSG00000115596,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC0065F5B8A,WNT10A_FZD1_LRP6,simple:Q9GZT5,complex:FZD1_LRP6,ENSG00000135925,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS0C93E48D7,THBS1_CD36,simple:P07996,simple:P16671,ENSG00000137801,ENSG00000135218,FALSE,FALSE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS0914C7C85,THBS2_CD36,simple:P35442,simple:P16671,ENSG00000186340,ENSG00000135218,FALSE,FALSE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS036B08188,PLAU_PLAUR,simple:P00749,simple:Q03405,ENSG00000122861,ENSG00000011422,TRUE,FALSE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS0C03F7CDC,VEGFA_KDR,simple:P15692,simple:P35968,ENSG00000112715,ENSG00000128052,TRUE,FALSE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS0EC8C81E0,VEGFC_KDR,simple:P49767,simple:P35968,ENSG00000150630,ENSG00000128052,TRUE,FALSE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS0EBA5A4D8,VEGFD_KDR,simple:O43915,simple:P35968,ENSG00000165197,ENSG00000128052,TRUE,FALSE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS005572B52,VEGFC_FLT4,simple:P49767,simple:P35916,ENSG00000150630,ENSG00000037280,TRUE,FALSE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS0D883FFF1,VEGFD_FLT4,simple:O43915,simple:P35916,ENSG00000165197,ENSG00000037280,TRUE,FALSE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS053CE866E,TNFSF10_TNFRSF10C,simple:P50591,simple:O14798,ENSG00000121858,ENSG00000173535,TRUE,FALSE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS05A3055C3,TNFSF10_TNFRSF11B,simple:P50591,simple:O00300,ENSG00000121858,ENSG00000164761,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS02EF3E1BA,TNFSF12_TNFRSF12A,simple:O43508,simple:Q9NP84,ENSG00000239697,ENSG00000006327,TRUE,FALSE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS079DDF890,TNFSF12_TNFRSF25,simple:O43508,simple:Q93038,ENSG00000239697,ENSG00000215788,TRUE,FALSE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS0B0CF0EDF,TNFSF15_TNFRSF25,simple:O95150,simple:Q93038,ENSG00000181634,ENSG00000215788,TRUE,FALSE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS0859C173B,TNFSF14_LTBR,simple:O43557,simple:P36941,ENSG00000125735,ENSG00000111321,TRUE,FALSE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS02C509183,LTB_LTBR,simple:Q06643,simple:P36941,ENSG00000227507,ENSG00000111321,FALSE,FALSE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS0431D2256,TNFSF9_TNFRSF9,simple:P41273,simple:Q07011,ENSG00000125657,ENSG00000049249,TRUE,FALSE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS02704D1B8,WNT2_FRZB,simple:P09544,simple:Q92765,ENSG00000105989,ENSG00000162998,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS0A10C2A8F,WNT3_FRZB,simple:P56703,simple:Q92765,ENSG00000108379,ENSG00000162998,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS007954822,WNT5A_FRZB,simple:P41221,simple:Q92765,ENSG00000114251,ENSG00000162998,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS05C7CF827,WNT5B_FRZB,simple:Q9H1J7,simple:Q92765,ENSG00000111186,ENSG00000162998,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS0BD98A044,WNT6_FRZB,simple:Q9Y6F9,simple:Q92765,ENSG00000115596,ENSG00000162998,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC0CF9E0563,WNT3_FDZ8_RYK,simple:P56703,complex:FDZ8_RYK,ENSG00000108379,,TRUE,FALSE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC092468258,WNT5A_FDZ8_RYK,simple:P41221,complex:FDZ8_RYK,ENSG00000114251,,TRUE,FALSE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC0B4E996CD,WNT2_FZD8_LRP5,simple:P09544,complex:FZD8_LRP5,ENSG00000105989,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC0DBD2C78A,WNT2B_FZD8_LRP5,simple:Q93097,complex:FZD8_LRP5,ENSG00000134245,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC0596FD9F6,WNT3_FZD8_LRP5,simple:P56703,complex:FZD8_LRP5,ENSG00000108379,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC07DA6989D,WNT5A_FZD8_LRP5,simple:P41221,complex:FZD8_LRP5,ENSG00000114251,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC0C1671F4D,WNT5B_FZD8_LRP5,simple:Q9H1J7,complex:FZD8_LRP5,ENSG00000111186,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC0185A7BDE,WNT6_FZD8_LRP5,simple:Q9Y6F9,complex:FZD8_LRP5,ENSG00000115596,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS0BAA8AA30,WNT10A_FRZB,simple:Q9GZT5,simple:Q92765,ENSG00000135925,ENSG00000162998,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SS01072357C,WNT11_FRZB,simple:O96014,simple:Q92765,ENSG00000085741,ENSG00000162998,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC0F9BC4D34,WNT2_FZD7_LRP6,simple:P09544,complex:FZD7_LRP6,ENSG00000105989,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC063E27411,WNT2B_FZD7_LRP6,simple:Q93097,complex:FZD7_LRP6,ENSG00000134245,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC06C2EDE8B,WNT3_FZD7_LRP6,simple:P56703,complex:FZD7_LRP6,ENSG00000108379,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC00FA2B152,WNT5A_FZD7_LRP6,simple:P41221,complex:FZD7_LRP6,ENSG00000114251,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC059D7F9EE,WNT5B_FZD7_LRP6,simple:Q9H1J7,complex:FZD7_LRP6,ENSG00000111186,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC0F73E951B,WNT6_FZD7_LRP6,simple:Q9Y6F9,complex:FZD7_LRP6,ENSG00000115596,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC039BEEDE4,WNT10A_FZD8_LRP5,simple:Q9GZT5,complex:FZD8_LRP5,ENSG00000135925,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC04590CF27,WNT11_FZD8_LRP5,simple:O96014,complex:FZD8_LRP5,ENSG00000085741,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC0B3337FB4,WNT2_FZD7_LRP5,simple:P09544,complex:FZD7_LRP5,ENSG00000105989,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC0DE64F872,WNT2B_FZD7_LRP5,simple:Q93097,complex:FZD7_LRP5,ENSG00000134245,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC026062296,WNT3_FZD7_LRP5,simple:P56703,complex:FZD7_LRP5,ENSG00000108379,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC09CB5E882,WNT5A_FZD7_LRP5,simple:P41221,complex:FZD7_LRP5,ENSG00000114251,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
CPI-SC01F6AC0E2,WNT5B_FZD7_LRP5,simple:Q9H1J7,complex:FZD7_LRP5,ENSG00000111186,,TRUE,FALSE,FALSE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
