id_cp_interaction,interacting_pair,partner_a,partner_b,gene_a,gene_b,secreted,receptor_a,receptor_b,annotation_strategy,is_integrin,rank,LCs_a|LCs_a,LCs_a|LCs_b,LCs_a|LCs_c,LCs_a|STs,LCs_b|LCs_a,LCs_b|LCs_b,LCs_b|LCs_c,LCs_b|STs,LCs_c|LCs_a,LCs_c|LCs_b,LCs_c|LCs_c,LCs_c|STs,STs|LCs_a,STs|LCs_b,STs|LCs_c,STs|STs
CPI-SC08DBCCFF0,COL1A1_integrin_a1b1_complex,simple:P02452,complex:integrin_a1b1_complex,ENSG00000108821,,TRUE,FALSE,FALSE,curated,TRUE,0.062,,,0.891,,,,,,,,,,,,,
CPI-SS0AE964947,GAS6_AXL,simple:Q14393,simple:P30530,ENSG00000183087,ENSG00000167601,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,,,,0.579
CPI-SS0BDA0E5E0,GAS6_TYRO3,simple:Q14393,simple:Q06418,ENSG00000183087,ENSG00000092445,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,,,,0.636
CPI-SS0F7FF099C,GAS6_MERTK,simple:Q14393,simple:Q12866,ENSG00000183087,ENSG00000153208,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,,,,0.633
CPI-SC09B45FB39,FN1_integrin_aVb5_complex,simple:P02751,complex:integrin_aVb5_complex,ENSG00000115414,,TRUE,FALSE,FALSE,curated,TRUE,0.062,,,,0.764,,,,,,,,,,,,
CPI-SC0717E21B0,VTN_integrin_aVb1_complex,simple:P04004,complex:integrin_aVb1_complex,ENSG00000109072,,TRUE,FALSE,FALSE,curated,TRUE,0.062,,,,,,,,,,,,,,,,0.462
CPI-CS0F51152EA,Cholesterol_byLIPA_RORC,complex:Cholesterol_byLIPA,simple:P51449,,ENSG00000143365,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,0.179,,,,
CPI-SS015B87133,JAG1_CD46,simple:P78504,simple:P15529,ENSG00000101384,ENSG00000117335,FALSE,FALSE,TRUE,curated,FALSE,0.062,,,0.734,,,,,,,,,,,,,
CPI-SS0E41702C1,IGF1_IGF1R,simple:P05019,simple:P08069,ENSG00000017427,ENSG00000140443,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,0.765,,,,,,,,,,,,
CPI-SC077F81192,AMH_MIS_receptor_1,simple:P03971,complex:MIS_receptor_1,ENSG00000104899,,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,,,,0.166
CPI-SS03E7FB333,HBEGF_ERBB2,simple:Q99075,simple:P04626,ENSG00000113070,ENSG00000141736,TRUE,TRUE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,,0.978,,
CPI-SS060B846D1,HBEGF_ERBB4,simple:Q99075,simple:Q15303,ENSG00000113070,ENSG00000178568,TRUE,TRUE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,,,,0.314
CPI-SC0C739EDCE,COL18A1_integrin_a1b1_complex,simple:P39060,complex:integrin_a1b1_complex,ENSG00000182871,,TRUE,FALSE,FALSE,curated,TRUE,0.062,,,0.315,,,,,,,,,,,,,
CPI-SC0F9FB6DCB,COL6A2_integrin_a1b1_complex,simple:P12110,complex:integrin_a1b1_complex,ENSG00000142173,,TRUE,FALSE,FALSE,curated,TRUE,0.062,,,0.734,,,,,,,,,,,,,
CPI-SC0E83A4B71,COL12A1_integrin_a1b1_complex,simple:Q99715,complex:integrin_a1b1_complex,ENSG00000111799,,TRUE,FALSE,FALSE,curated,TRUE,0.062,,,0.423,,,,,,,,,,,,,
CPI-CS03D61E885,Cholesterol_byDHCR24_RORC,complex:Cholesterol_byDHCR24,simple:P51449,,ENSG00000143365,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,1.014,,,,
CPI-SC024FAED24,LAMC1_integrin_a6b1_complex,simple:P11047,complex:integrin_a6b1_complex,ENSG00000135862,,TRUE,FALSE,FALSE,curated,TRUE,0.062,,,,0.764,,,,,,,,,,,,
CPI-CS0BEF10547,Cholesterol_byDHCR7_RORC,complex:Cholesterol_byDHCR7,simple:P51449,,ENSG00000143365,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,0.551,,,,
CPI-SS0F9D53834,JAM3_JAM3,simple:Q9BX67,simple:Q9BX67,ENSG00000166086,ENSG00000166086,TRUE,FALSE,FALSE,curated,FALSE,0.062,,,,,,,,,,,,,,,,0.837
CPI-SS03C7D1520,EFNB1_EPHB1,simple:P98172,simple:P54762,ENSG00000090776,ENSG00000154928,FALSE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,,,,0.223
CPI-SS0B6F0C894,DSG2_DSC3,simple:Q14126,simple:Q14574,ENSG00000046604,ENSG00000134762,FALSE,FALSE,FALSE,curated,FALSE,0.062,,,,,,,,,,,0.199,,,,,
CPI-SS06D13FCD3,DSC2_DSG2,simple:Q02487,simple:Q14126,ENSG00000134755,ENSG00000046604,FALSE,FALSE,FALSE,curated,FALSE,0.062,,,,,,,,,,,0.209,,,,,
CPI-SC065DB6486,COL21A1_integrin_a1b1_complex,simple:Q96P44,complex:integrin_a1b1_complex,ENSG00000124749,,TRUE,FALSE,FALSE,curated,TRUE,0.062,,,0.302,,,,,,,,,,,,,
CPI-SC03021510C,DHH_PTCH_GAS1_transmembrane_receptor,simple:O43323,complex:PTCH_GAS1_transmembrane_receptor,ENSG00000139549,,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,0.292,,,
CPI-SC0ABE55781,DHH_PTCH_CDON_transmembrane_receptor,simple:O43323,complex:PTCH_CDON_transmembrane_receptor,ENSG00000139549,,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,0.225,,,
CPI-SC006556DF8,DHH_PTCH_BOC_transmembrane_receptor,simple:O43323,complex:PTCH_BOC_transmembrane_receptor,ENSG00000139549,,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,0.3,,,
CPI-SC03AF43F8B,SEMA7A_integrin_a1b1_complex,simple:O75326,complex:integrin_a1b1_complex,ENSG00000138623,,FALSE,FALSE,FALSE,curated,TRUE,0.062,,,,,,,,,,,,,,,0.39,
CPI-SS0BFD8E056,EFNB2_EPHB1,simple:P52799,simple:P54762,ENSG00000125266,ENSG00000154928,FALSE,TRUE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,,,,0.289
CPI-SS030383002,NRXN1_CLSTN2,simple:Q9ULB1,simple:Q9H4D0,ENSG00000179915,ENSG00000158258,FALSE,FALSE,FALSE,curated,FALSE,0.062,,,,,,,,,,,,,,,0.152,
CPI-SS0F81DBF22,EFNA4_EPHA7,simple:P52798,simple:Q15375,ENSG00000243364,ENSG00000135333,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,0.138,,,,
CPI-SS0D5DBB634,EFNA3_EPHA7,simple:P52797,simple:Q15375,ENSG00000143590,ENSG00000135333,FALSE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,0.118,,,,
CPI-SS03E450F99,EFNA1_EPHA7,simple:P20827,simple:Q15375,ENSG00000169242,ENSG00000135333,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,0.169,,,,
CPI-SC0592501EA,COL5A1_integrin_a1b1_complex,simple:P20908,complex:integrin_a1b1_complex,ENSG00000130635,,TRUE,FALSE,FALSE,curated,TRUE,0.062,,,0.677,,,,,,,,,,,,,
CPI-SC037A0554C,COL5A2_integrin_a1b1_complex,simple:P05997,complex:integrin_a1b1_complex,ENSG00000204262,,TRUE,FALSE,FALSE,curated,TRUE,0.062,,,0.331,,,,,,,,,,,,,
CPI-SS0EDD4928A,NGF_NGFR,simple:P01138,simple:P08138,ENSG00000134259,ENSG00000064300,TRUE,FALSE,TRUE,curated,FALSE,0.062,0.305,,,,,,,,,,,,,,,
CPI-SS0E3AA6B7B,NTN4_NTRK2,simple:Q9HB63,simple:Q16620,ENSG00000074527,ENSG00000148053,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,0.274,,,
CPI-SS0E0098222,TF_TFRC,simple:P02787,simple:P02786,ENSG00000091513,ENSG00000072274,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,,,0.362,
CPI-SS02BD41E87,NRXN1_NLGN1,simple:Q9ULB1,simple:Q8N2Q7,ENSG00000179915,ENSG00000169760,FALSE,FALSE,FALSE,curated,FALSE,0.062,,,,,,,,,,,,,0.286,,,
CPI-SC015580274,WNT2B_FZD3_LRP6,simple:Q93097,complex:FZD3_LRP6,ENSG00000134245,,TRUE,FALSE,FALSE,curated,FALSE,0.062,,,,0.152,,,,,,,,,,,,
CPI-CC057B323A5,Inhibin_ligand_B_ACVR_1B2B_receptor,complex:Inhibin_ligand_B,complex:ACVR_1B2B_receptor,,,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,,,,0.433
CPI-SS095632066,CD248_IL6R,simple:Q9HCU0,simple:P08887,ENSG00000174807,ENSG00000160712,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,0.267,,,,,,,,,,,,
CPI-SS0BFEE3968,WNT2B_SFRP4,simple:Q93097,simple:Q6FHJ7,ENSG00000134245,ENSG00000106483,TRUE,FALSE,FALSE,curated,FALSE,0.062,0.201,,,,,,,,,,,,,,,
CPI-SS052641D5A,FLRT3_ADGRL3,simple:Q9NZU0,simple:Q9HAR2,ENSG00000125848,ENSG00000150471,FALSE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,,,,0.192
CPI-SS0DD9B3D49,NGF_SORT1,simple:P01138,simple:Q99523,ENSG00000134259,ENSG00000134243,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,0.722,,,,,,,,,,,,
CPI-CS064B4FE21,Adenosine_byNT5E_and_SLC29A1_ADORA1,complex:Adenosine_byNT5E_and_SLC29A1,simple:P30542,,ENSG00000163485,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,0.219,,,,,,,,,,,,
CPI-SS089FD09E6,NRXN1_CLSTN1,simple:Q9ULB1,simple:O94985,ENSG00000179915,ENSG00000171603,FALSE,FALSE,FALSE,curated,FALSE,0.062,,,,,,,,,,,,,,0.986,,
CPI-SS0E54A988A,NRXN1_NLGN3,simple:Q9ULB1,simple:Q9NZ94,ENSG00000179915,ENSG00000196338,FALSE,FALSE,FALSE,curated,FALSE,0.062,,,,,,,,,,,,,,0.986,,
CPI-SS0C72D53A2,NTN4_UNC5B,simple:Q9HB63,simple:Q8IZJ1,ENSG00000074527,ENSG00000107731,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,,,,0.197
CPI-CC02D192370,Inhibin_ligand_B_ACVR_1B2A_receptor,complex:Inhibin_ligand_B,complex:ACVR_1B2A_receptor,,,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,,,,0.452
CPI-SS02FBD007E,NECTIN3_NECTIN2,simple:Q9NQS3,simple:Q92692,ENSG00000177707,ENSG00000130202,FALSE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,,,,0.606
CPI-SS085E14488,NRXN1_DAG1,simple:Q9ULB1,simple:Q14118,ENSG00000179915,ENSG00000173402,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,,,,0.428
CPI-SS0025DD588,NRXN1_CLSTN3,simple:Q9ULB1,simple:Q9BQT9,ENSG00000179915,ENSG00000139182,FALSE,FALSE,FALSE,curated,FALSE,0.062,,,,,,,,,,,,,0.205,,,
CPI-SS03B1C5B41,NRXN1_LRRTM3,simple:Q9ULB1,simple:Q86VH5,ENSG00000179915,ENSG00000198739,FALSE,FALSE,FALSE,curated,FALSE,0.062,,,,,,,,,,,,,0.27,,,
CPI-SS0D8632EB4,EDN1_EDNRA,simple:P05305,simple:P25101,ENSG00000078401,ENSG00000151617,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,0.345,,,
CPI-SS04256AA73,ALCAM_CD6,simple:Q13740,simple:P30203,ENSG00000170017,ENSG00000013725,TRUE,FALSE,FALSE,curated,FALSE,0.062,,,,,,1.821,,,,,,,,,,
CPI-SS060B82BBC,JAG1_NOTCH2,simple:P78504,simple:Q04721,ENSG00000101384,ENSG00000134250,FALSE,FALSE,TRUE,curated,FALSE,0.062,,,,0.476,,,,,,,,,,,,
CPI-SS0786D3749,WNT2B_FRZB,simple:Q93097,simple:Q92765,ENSG00000134245,ENSG00000162998,TRUE,FALSE,FALSE,curated,FALSE,0.062,,,,0.204,,,,,,,,,,,,
CPI-SS087B53ABF,JAM2_JAM3,simple:P57087,simple:Q9BX67,ENSG00000154721,ENSG00000166086,TRUE,FALSE,FALSE,curated,FALSE,0.062,,,,,,,,,,,,,,,,0.897
CPI-SS0EE09A201,CDH2_CDH2,simple:P19022,simple:P19022,ENSG00000170558,ENSG00000170558,FALSE,FALSE,FALSE,curated,FALSE,0.062,,,,,,,,,,,,,,,,1.436
CPI-SS0889E281D,CADM1_CADM1,simple:Q9BY67,simple:Q9BY67,ENSG00000182985,ENSG00000182985,FALSE,FALSE,FALSE,curated,FALSE,0.062,,,,,,,,,,,,,,,,1.56
CPI-SS0B990492C,CADM1_NECTIN3,simple:Q9BY67,simple:Q9NQS3,ENSG00000182985,ENSG00000177707,FALSE,FALSE,FALSE,curated,FALSE,0.062,,,,,,,,,,,,,,,,1.036
CPI-SC0B3D321CC,INHA_ACVR_1B2A_receptor,simple:P05111,complex:ACVR_1B2A_receptor,ENSG00000123999,,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,,,,0.639
CPI-SS015B29D3F,APOA1_ABCA1,simple:P02647,simple:O95477,ENSG00000118137,ENSG00000165029,TRUE,FALSE,FALSE,curated,FALSE,0.062,,,,,,,,,,,,,,,,1.593
CPI-SS00EFAD0D5,MT-RNR2_FPR3,simple:Q8IVG9,simple:P25089,ENSG00000210082,ENSG00000187474,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,,,,3.183
CPI-SS0EEECE1C4,HEBP1_FPR3,simple:Q9NRV9,simple:P25089,ENSG00000013583,ENSG00000187474,FALSE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,0.345,,,,
CPI-SS03E7587E4,ENTPD1_ADORA1,simple:P49961,simple:P30542,ENSG00000138185,ENSG00000163485,FALSE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,1.294,,,,,,,,
CPI-SC0A86600AA,GDF10_ACVR_1B2B_receptor,simple:P55107,complex:ACVR_1B2B_receptor,ENSG00000266524,,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,,,,0.163
CPI-CS0BE6576AD,Testosterone_byHSD17B12_AR,complex:Testosterone_byHSD17B12,simple:P10275,,ENSG00000169083,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,,,,0.54
CPI-SS0822AEF5F,PTPRC_MRC1,simple:P08575,simple:P22897,ENSG00000081237,ENSG00000260314,FALSE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,,,,0.232
CPI-SS0EBDDDF8A,SEMA7A_PLXNC1,simple:O75326,simple:O60486,ENSG00000138623,ENSG00000136040,FALSE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,,,,0.655
CPI-SC0FDDA8A63,INHA_ACVR_1B2B_receptor,simple:P05111,complex:ACVR_1B2B_receptor,ENSG00000123999,,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,,,,,,,,,,,,,0.62
CPI-SS0ACAB1835,RSPO3_LGR4,simple:Q9BXY4,simple:Q9BXB1,ENSG00000146374,ENSG00000205213,TRUE,FALSE,TRUE,curated,FALSE,0.062,,,,0.51,,,,,,,,,,,,
CPI-SC0B6207B1C,WNT2B_FZD4_LRP6,simple:Q93097,complex:FZD4_LRP6,ENSG00000134245,,TRUE,FALSE,FALSE,curated,FALSE,0.062,,,,0.142,,,,,,,,,,,,
CPI-SC0744E13CB,COL4A1_integrin_a1b1_complex,simple:P02462,complex:integrin_a1b1_complex,ENSG00000187498,,TRUE,FALSE,FALSE,curated,TRUE,0.125,,,0.365,,,,1.35,,,,,,,,,
CPI-SC00367777A,COL3A1_integrin_a1b1_complex,simple:P02461,complex:integrin_a1b1_complex,ENSG00000168542,,TRUE,FALSE,FALSE,curated,TRUE,0.125,,,1.159,,,,,,,,0.321,,,,,
CPI-SS0343DD0EE,COL3A1_ADGRG1,simple:P02461,simple:Q9Y653,ENSG00000168542,ENSG00000205336,TRUE,FALSE,TRUE,curated,FALSE,0.125,,,,1.658,,,,,,,,0.82,,,,
CPI-CS0406B0B69,Cholesterol_byLIPA_RORA,complex:Cholesterol_byLIPA,simple:P35398,,ENSG00000069667,TRUE,FALSE,TRUE,curated,FALSE,0.125,,,,,,,,,,,,0.385,,,,0.328
CPI-SC0549A759B,COL6A1_integrin_a1b1_complex,simple:P12109,complex:integrin_a1b1_complex,ENSG00000142156,,TRUE,FALSE,FALSE,curated,TRUE,0.125,,,0.91,,,,,,,,0.266,,,,,
CPI-SC08F923F07,FN1_integrin_aVb1_complex,simple:P02751,complex:integrin_aVb1_complex,ENSG00000115414,,TRUE,FALSE,FALSE,curated,TRUE,0.125,0.783,,,1.022,,,,,,,,,,,,
CPI-SS05B4EB419,EFNA3_EPHA4,simple:P52797,simple:P54764,ENSG00000143590,ENSG00000116106,FALSE,FALSE,TRUE,curated,FALSE,0.125,,,,,,,,,,0.972,,0.484,,,,
CPI-SC061E89E41,VCAM1_integrin_a9b1_complex,simple:P19320,complex:integrin_a9b1_complex,ENSG00000162692,,FALSE,FALSE,FALSE,curated,TRUE,0.125,,1.103,,,,,,,,1.3,,,,,,
CPI-SS029811409,CNTN1_NOTCH2,simple:Q12860,simple:Q04721,ENSG00000018236,ENSG00000134250,FALSE,FALSE,TRUE,curated,FALSE,0.125,,,,0.552,,,,,,,,,,,,0.45
CPI-SS0F6181D1B,NLGN3_PTPRD,simple:Q9NZ94,simple:P23468,ENSG00000196338,ENSG00000153707,FALSE,FALSE,TRUE,curated,FALSE,0.125,,,,,1.078,,,0.97,,,,,,,,
CPI-SS0474E1C15,FLRT2_ADGRL3,simple:O43155,simple:Q9HAR2,ENSG00000185070,ENSG00000150471,FALSE,FALSE,TRUE,curated,FALSE,0.125,,,,0.526,,,,1.305,,,,,,,,
CPI-SS05207EFF8,WNT2B_SFRP1,simple:Q93097,simple:Q8N474,ENSG00000134245,ENSG00000104332,TRUE,FALSE,FALSE,curated,FALSE,0.125,1.167,,0.711,,,,,,,,,,,,,
CPI-SS0D8DE8E59,PSAP_GPR37,simple:P07602,simple:O15354,ENSG00000197746,ENSG00000170775,TRUE,FALSE,TRUE,curated,FALSE,0.125,,,,1.558,,,,,,,,1.66,,,,
CPI-CS0E165D03D,Testosterone_byHSD17B3_AR,complex:Testosterone_byHSD17B3,simple:P10275,,ENSG00000169083,TRUE,FALSE,TRUE,curated,FALSE,0.125,,,,,,,,,,,,0.405,,,,0.356
CPI-SS06CCF5A54,ANXA1_FPR3,simple:P04083,simple:P25089,ENSG00000135046,ENSG00000187474,TRUE,FALSE,TRUE,curated,FALSE,0.125,,,,0.696,,,,,,,,0.188,,,,
CPI-SS09B2ACA25,HBEGF_EGFR,simple:Q99075,simple:P00533,ENSG00000113070,ENSG00000146648,TRUE,TRUE,TRUE,curated,FALSE,0.125,,,,,,,,,,,,,0.316,,0.22,
CPI-SS06DA9B4FE,PDGFC_PDGFRA,simple:Q9NRA1,simple:P16234,ENSG00000145431,ENSG00000134853,TRUE,FALSE,TRUE,curated,FALSE,0.125,,,,,,,,,0.88,0.963,,,,,,
CPI-SS0E2453044,PPIA_BSG,simple:P62937,simple:P35613,ENSG00000196262,ENSG00000172270,TRUE,FALSE,FALSE,curated,FALSE,0.125,,,,1.444,,,,,,,,1.476,,,,
CPI-CS0D78DAC70,ProstaglandinD2_byAKR1C3_PTGFR,complex:ProstaglandinD2_byAKR1C3,simple:P43088,,ENSG00000122420,TRUE,FALSE,TRUE,curated,FALSE,0.125,0.646,,,,,,,,0.285,,,,,,,
CPI-SS0EBFE1854,EFNA1_EPHA4,simple:P20827,simple:P54764,ENSG00000169242,ENSG00000116106,TRUE,FALSE,TRUE,curated,FALSE,0.125,,,,,,,,,,1.023,,0.535,,,,
CPI-SC0ECDD1074,COL6A3_integrin_a1b1_complex,simple:P12111,complex:integrin_a1b1_complex,ENSG00000163359,,TRUE,FALSE,FALSE,curated,TRUE,0.125,,,1.479,,,,1.045,,,,,,,,,
CPI-SC0AB5FBF10,COL14A1_integrin_a1b1_complex,simple:Q05707,complex:integrin_a1b1_complex,ENSG00000187955,,TRUE,FALSE,FALSE,curated,TRUE,0.125,,,0.406,,,,1.35,,,,,,,,,
CPI-SC027893337,COL15A1_integrin_a1b1_complex,simple:P39059,complex:integrin_a1b1_complex,ENSG00000204291,,TRUE,FALSE,FALSE,curated,TRUE,0.125,,,0.923,,,,1.045,,,,,,,,,
CPI-SS0EDD8CDD4,JAG1_VASN,simple:P78504,simple:Q6EMK4,ENSG00000101384,ENSG00000168140,TRUE,FALSE,FALSE,curated,FALSE,0.125,,1.008,,0.215,,,,,,,,,,,,
CPI-SS0659DBE72,EFNA4_EPHA4,simple:P52798,simple:P54764,ENSG00000243364,ENSG00000116106,TRUE,FALSE,TRUE,curated,FALSE,0.125,,,,,,,,,,0.992,,0.504,,,,
CPI-SS03446CB39,EFNB1_EPHA4,simple:P98172,simple:P54764,ENSG00000090776,ENSG00000116106,FALSE,FALSE,TRUE,curated,FALSE,0.125,,,,,,,,,,,,,,0.968,,0.48
CPI-SS087E0E3FB,EFNB2_EPHA4,simple:P52799,simple:P54764,ENSG00000125266,ENSG00000116106,FALSE,TRUE,TRUE,curated,FALSE,0.125,,,,,,,,,,,,,,1.034,,0.546
CPI-SS040D3C47C,EFNB1_EPHB6,simple:P98172,simple:O15197,ENSG00000090776,ENSG00000106123,TRUE,FALSE,TRUE,curated,FALSE,0.125,,,,,,,,,,,,,0.342,,,0.184
CPI-SS05ABE6795,EFNB2_EPHB6,simple:P52799,simple:O15197,ENSG00000125266,ENSG00000106123,TRUE,TRUE,TRUE,curated,FALSE,0.125,,,,,,,,,,,,,0.408,,,0.249
CPI-SS07C846DEE,DHH_HHIP,simple:O43323,simple:Q96QV1,ENSG00000139549,ENSG00000164161,TRUE,FALSE,FALSE,curated,FALSE,0.125,,,,,,,,,,,,,0.375,,0.172,
CPI-SS0C977FC22,SOSTDC1_LRP6,simple:Q6X4U4,simple:O75581,ENSG00000171243,ENSG00000070018,TRUE,FALSE,TRUE,curated,FALSE,0.125,0.386,,,0.236,,,,,,,,,,,,
CPI-SS05632AB58,NCAM1_FGFR1,simple:P13591,simple:P11362,ENSG00000149294,ENSG00000077782,TRUE,TRUE,TRUE,curated,FALSE,0.188,,,,,,,,,0.638,,0.255,0.271,,,,
CPI-SS099ACF7FB,IGFBP3_TMEM219,simple:P17936,simple:Q86XT9,ENSG00000146674,ENSG00000149932,TRUE,FALSE,TRUE,curated,FALSE,0.188,0.773,,0.663,0.651,,,,,,,,,,,,
CPI-SC03FF6E42F,LAMC1_integrin_a7b1_complex,simple:P11047,complex:integrin_a7b1_complex,ENSG00000135862,,TRUE,FALSE,FALSE,curated,TRUE,0.188,,1.343,,,,,,,,0.961,,,,1.038,,
CPI-SS076940BCD,LGALS3_MERTK,simple:P17931,simple:Q12866,ENSG00000131981,ENSG00000153208,TRUE,FALSE,TRUE,curated,FALSE,0.188,,,1.265,1.477,,,,,,,,1.04,,,,
CPI-CS0D5502736,Androstenedione_byCYP17A1_AR,complex:Androstenedione_byCYP17A1,simple:P10275,,ENSG00000169083,TRUE,FALSE,TRUE,curated,FALSE,0.188,,,,,,,,,1.672,,1.497,1.68,,,,
CPI-CS08EDCA6A3,ProstaglandinF2a_byCBR1_PTGFR,complex:ProstaglandinF2a_byCBR1,simple:P43088,,ENSG00000122420,TRUE,FALSE,TRUE,curated,FALSE,0.188,0.526,,,,,,,,0.456,,,,0.256,,,
CPI-CS058DED3AA,ProstaglandinF2a_byAKR1B1_PTGFR,complex:ProstaglandinF2a_byAKR1B1,simple:P43088,,ENSG00000122420,TRUE,FALSE,TRUE,curated,FALSE,0.188,0.287,,,,,,,,0.464,,,,0.327,,,
CPI-SC09DB9D20A,COL1A2_integrin_a1b1_complex,simple:P08123,complex:integrin_a1b1_complex,ENSG00000164692,,TRUE,FALSE,FALSE,curated,TRUE,0.188,,,1.634,,,,1.537,,,,,,,,1.197,
CPI-SS01560CA22,CD99_PILRA,simple:P14209,simple:Q9UKJ1,ENSG00000002586,ENSG00000085514,TRUE,FALSE,TRUE,curated,FALSE,0.188,1.639,,,,1.951,,,,,,,,1.407,,,
CPI-CS06C6527F4,Cholesterol_byDHCR7_RORA,complex:Cholesterol_byDHCR7,simple:P35398,,ENSG00000069667,TRUE,FALSE,TRUE,curated,FALSE,0.188,,,,,,,,,0.717,,0.571,0.756,,,,
CPI-SS04829AC68,GJA1_GJA1,simple:P17302,simple:P17302,ENSG00000152661,ENSG00000152661,FALSE,FALSE,FALSE,curated,FALSE,0.188,,,,,,,,,,,1.01,0.852,,,0.852,
CPI-SS02A53F29E,LRPAP1_SORT1,simple:P30533,simple:Q99523,ENSG00000163956,ENSG00000134243,FALSE,FALSE,TRUE,curated,FALSE,0.188,,,,1.092,,,,,,,,1.07,,,,0.874
CPI-CS0D81115C8,Cholesterol_byDHCR24_RORA,complex:Cholesterol_byDHCR24,simple:P35398,,ENSG00000069667,TRUE,FALSE,TRUE,curated,FALSE,0.188,,,,,,,,,1.18,,1.034,1.219,,,,
CPI-SS0661FACAF,HLA-E_VSIR,simple:P13747,simple:Q9H7M9,ENSG00000204592,ENSG00000107738,FALSE,FALSE,TRUE,curated,FALSE,0.25,,,0.641,0.687,,,,,,,0.424,0.47,,,,
CPI-SS0E1A8414D,DLK1_NOTCH2,simple:P80370,simple:Q04721,ENSG00000185559,ENSG00000134250,FALSE,FALSE,TRUE,curated,FALSE,0.25,0.783,,,1.069,,,,1.289,,,,0.614,,,,
CPI-SS00577086D,FTL_SCARA5,simple:P02792,simple:Q6ZMJ2,ENSG00000087086,ENSG00000168079,FALSE,FALSE,TRUE,curated,FALSE,0.312,2.661,,2.283,,,,,,2.102,,1.724,,0.77,,,
CPI-SS080C81D37,APP_CD74,simple:P05067,simple:P04233,ENSG00000142192,ENSG00000019582,FALSE,FALSE,TRUE,curated,FALSE,0.375,,,,,1.712,,1.825,1.627,,,,,1.009,,1.123,0.925
CPI-SS09CEEE405,MPZL1_MPZL1,simple:O95297,simple:O95297,ENSG00000197965,ENSG00000197965,FALSE,FALSE,FALSE,curated,FALSE,0.375,,1.313,,,1.313,1.821,,1.323,,,,,,1.323,,0.825
CPI-SS07ACDDCD6,APP_SORL1,simple:P05067,simple:Q92673,ENSG00000142192,ENSG00000137642,TRUE,FALSE,TRUE,curated,FALSE,0.375,,,,,1.793,,1.604,1.594,,,,,1.09,,0.902,0.891
CPI-SS018AC8F36,FTH1_SCARA5,simple:P02794,simple:Q6ZMJ2,ENSG00000167996,ENSG00000168079,FALSE,FALSE,TRUE,curated,FALSE,0.438,1.043,,0.664,,1.365,,0.987,,1.096,,0.718,,0.686,,,
CPI-CC03E04AA64,Glutamate_byGLS_and_SLC1A2_Glutamate_Kainate_3_5_complex,complex:Glutamate_byGLS_and_SLC1A2,complex:Glutamate_Kainate_3_5_complex,,,TRUE,FALSE,TRUE,curated,FALSE,1.438,,,,,,,,,,,,,,,,
