names	scores	logfoldchanges	pvals	pvals_adj	pct_nz_group	pct_nz_reference	mean
FOS	4.216796398162842	3.8299129009246826	2.4779753245151827e-05	0.001645448497105273	0.7294706723891273	0.15384615384615385	4.285280069696133
FXYD6	4.138810157775879	2.389329195022583	3.491117581195772e-05	0.002245554462411879	0.7020028612303291	0.07692307692307693	2.725449207051819
ITM2B	4.100059986114502	1.1651370525360107	4.130427699049131e-05	0.0026194569146469732	0.9881258941344778	0.7692307692307693	4.718375629383194
MT-RNR2	4.046298980712891	1.11497962474823	5.2033804052773616e-05	0.003254202753738144	1.0	1.0	9.207880427326609
JUNB	4.035000801086426	3.026648998260498	5.460213889400616e-05	0.003405393618259605	0.6879828326180257	0.07692307692307693	3.4867109398358522
MT-ND2	3.8894202709198	0.7873731255531311	0.0001004839577581302	0.005907881026836733	0.9997138769670959	1.0	6.325708451316657
GADD45B	3.869992971420288	3.186762809753418	0.00010883850021466238	0.006268486784047022	0.6329041487839772	0.07692307692307693	3.2820594442559092
FTH1	3.8491833209991455	3.002368450164795	0.00011851232340806294	0.006756698801979386	0.9113018597997139	0.6153846153846154	5.3217174857125285
SELENOP	3.7293763160705566	2.266496419906616	0.0001919542407404951	0.010293945114484936	0.7381974248927039	0.23076923076923078	3.3564773427585015
EGR1	3.6207082271575928	2.910163402557373	0.000293797799972445	0.015189728693508826	0.5537911301859799	0.0	2.910163459071014
JUN	3.5822603702545166	2.230409622192383	0.00034063417934708724	0.017399316441446128	0.8273247496423463	0.46153846153846156	4.302743957372486
TGFBR3	3.53275203704834	1.6238598823547363	0.00041125786978806356	0.020541966650896266	0.7266094420600858	0.3076923076923077	2.554135617776794
PTGDS	3.458402156829834	1.3031582832336426	0.0005433894965571231	0.02626053777381979	0.9878397711015737	1.0	7.262255854043885
HSPA1A	3.434866428375244	2.20131778717041	0.0005928459860039636	0.028297428807635278	0.6181688125894135	0.15384615384615385	2.6134402492913544
ZFP36	3.385629653930664	2.5810115337371826	0.0007101513680156374	0.032989891842981574	0.5094420600858369	0.0	2.581011494897105
