ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio
BP,GO:0048193,Golgi vesicle transport,296/18723,0.0000105060595030788,0.0166429206824962,0.0151190195096937,COPG1/KDELR3/GAS1/NAPG/PITPNB/COG2/COPB1/SEC24D/LMAN1/ARF1/AP3S1/SEC13/RAB8B/VPS13C/MIA3/SEC31A/SEC23A/COG5/COPA/RAB10,20,20/414
BP,GO:0016050,vesicle organization,300/18723,0.0000127885496627333,0.0166429206824962,0.0151190195096937,KNL1/ACRBP/S100A10/ANXA1/ANXA2/SRPX/SPG11/SEC24D/CHMP2B/CORO1C/ARF1/SEC13/RAB8B/MIA3/SEC31A/SEC23A/SDCBP/CD34/STX8/PLA2G5,20,20/414
BP,GO:0090110,COPII-coated vesicle cargo loading,15/18723,0.0000129048234808706,0.0166429206824962,0.0151190195096937,SEC24D/SEC13/MIA3/SEC31A/SEC23A,5,5/414
BP,GO:1902743,regulation of lamellipodium organization,54/18723,0.0000228132380028404,0.0220661044582474,0.0200456320240748,CD44/ACTR3/ABI2/CORO1C/TWF1/CAPZB/ACTR2/ARPIN,8,8/414
BP,GO:0006888,endoplasmic reticulum to Golgi vesicle-mediated transport,130/18723,0.0000320213386737668,0.0247781118657607,0.0225093157540436,COPG1/KDELR3/GAS1/COPB1/SEC24D/LMAN1/ARF1/SEC13/MIA3/SEC31A/SEC23A/COPA,12,12/414
BP,GO:1901888,regulation of cell junction assembly,204/18723,0.0000510808606736073,0.0248514441554285,0.0225759334072386,THY1/APOD/S100A10/ACE2/MYO1C/SRPX2/EIF4G1/CORO1C/PTPRD/UBE2V2/ROCK2/GJA1/LRRTM3/VPS35/DLC1,15,15/414
BP,GO:0006900,vesicle budding from membrane,61/18723,0.0000564241149749509,0.0248514441554285,0.0225759334072386,S100A10/ANXA2/SEC24D/ARF1/SEC13/MIA3/SEC31A/SEC23A,8,8/414
BP,GO:0030511,positive regulation of transforming growth factor beta receptor signaling pathway,32/18723,0.00006273542222502,0.0248514441554285,0.0225759334072386,FERMT1/ADAM17/SNW1/DAB2/SDCBP/HIPK2,6,6/414
BP,GO:1903846,positive regulation of cellular response to transforming growth factor beta stimulus,32/18723,0.00006273542222502,0.0248514441554285,0.0225759334072386,FERMT1/ADAM17/SNW1/DAB2/SDCBP/HIPK2,6,6/414
BP,GO:0007160,cell-matrix adhesion,233/18723,0.0000658234633874666,0.0248514441554285,0.0225759334072386,CD44/CD63/THY1/APOD/S100A10/FERMT1/BCL6/CORO1C/FBLN5/EPDR1/FN1/COL3A1/ROCK2/CSF1/CD34/DLC1,16,16/414
BP,GO:0006891,intra-Golgi vesicle-mediated transport,33/18723,0.0000752577297944583,0.0248514441554285,0.0225759334072386,COPG1/NAPG/COG2/COPB1/COG5/COPA,6,6/414
BP,GO:0008064,regulation of actin polymerization or depolymerization,188/18723,0.0000788728819186136,0.0248514441554285,0.0225759334072386,DBNL/LIMA1/MYO1C/CXCL12/ACTR3/CDC42EP2/ABI2/TWF1/ARF1/PFN1/CAPZB/ACTR2/CAPG/ARPIN,14,14/414
BP,GO:0030832,regulation of actin filament length,189/18723,0.0000835018800776869,0.0248514441554285,0.0225759334072386,DBNL/LIMA1/MYO1C/CXCL12/ACTR3/CDC42EP2/ABI2/TWF1/ARF1/PFN1/CAPZB/ACTR2/CAPG/ARPIN,14,14/414
BP,GO:0051258,protein polymerization,297/18723,0.0001176885325172,0.0325240665935226,0.029546015795125,TPPP2/TUBG1/DBNL/MYO1C/ACTR3/CDC42EP2/MAPRE1/CCDC57/ABI2/TWF1/ARF1/VDAC2/PFN1/CAPZB/TUBGCP5/ACTR2/CAPG/ARPIN,18,18/414
BP,GO:0007018,microtubule-based movement,382/18723,0.0001302521243629,0.0335963646106713,0.030520129350718,CABS1/DNAH5/AKAP4/ROPN1B/TPPP2/ROPN1L/LCA5L/COPG1/FEZ1/TTLL1/SPG11/ACTR3/DYNLT1/KIFC3/AP3S1/TTLL3/DYNLRB2/ACTR2/UCHL1/DYNC1I2/ACTR10,21,21/414
BP,GO:0110053,regulation of actin filament organization,278/18723,0.0001625938940643,0.0383148939850133,0.0348066088111873,DBNL/S100A10/LIMA1/MYO1C/CXCL12/ACTR3/CDC42EP2/ABI2/TWF1/ARF1/PFN1/CAPZB/ACTR2/ROCK2/CAPG/ARPIN/DLC1,17,17/414
BP,GO:0097581,lamellipodium organization,90/18723,0.0001683518215934,0.0383148939850133,0.0348066088111873,CD44/ACTR3/ABI2/CORO1C/ABLIM1/TWF1/CAPZB/ACTR2/ARPIN,9,9/414
BP,GO:0051653,spindle localization,56/18723,0.0002238642713738,0.0457629345020347,0.041572673015547,ASPM/ACTR3/DYNLT1/MCPH1/ACTR2/GJA1/SPDL1,7,7/414
BP,GO:0032271,regulation of protein polymerization,233/18723,0.0002247339766189,0.0457629345020347,0.041572673015547,TPPP2/DBNL/MYO1C/ACTR3/CDC42EP2/MAPRE1/ABI2/TWF1/ARF1/VDAC2/PFN1/CAPZB/ACTR2/CAPG/ARPIN,15,15/414
CC,GO:0062023,collagen-containing extracellular matrix,425/19550,6.10939804103679e-12,2.87752647732833e-9,2.2894165290622102e-9,MFAP5/CTHRC1/FBN2/COL6A3/ABI3BP/DCN/FBN1/S100A6/VIT/EFEMP1/S100A10/ANXA1/ANXA2/COL1A2/LUM/SRPX2/SRPX/CXCL12/SERPINF1/TIMP1/COL4A1/LMAN1/FBLN2/CLU/COL5A1/FBLN5/FN1/COL3A1/S100A4/CTSH/PRELP/LAMA2/BGN/EMILIN2/VCAN/MGP,36,36/433
CC,GO:0005925,focal adhesion,418/19550,1.22753672125911e-9,2.8908489785652e-7,2.30001617246443e-7,PROCR/CD44/FOCAD/THY1/AIF1L/CYBA/LIMA1/ANXA1/FERMT1/YWHAE/ACTR3/ADAM17/MAPRE1/REXO2/CORO1C/TWF1/ARF1/HACD3/PFN1/EPB41L2/DAB2/ACTR2/CLTC/GJA1/IGF2R/SDCBP/YWHAG/PARVA/FHL1/TSPAN4/RAB10/DLC1,32,32/433
