Gene name,Ctrl,iNOA_B,iNOA_S,OA,AZFc_Del,KS
GAS1,0.203,0.172,0.562,0.172,1.0,0.0
CDON,0.185,0.556,0.519,1.0,0.704,0.0
BOC,1.0,0.0,0.429,0.0,0.714,0.0
HHIP,1.0,0.917,0.833,0.0,0.417,0.667
DHH,0.161,0.089,0.0,0.657,0.437,1.0
