order,gene
1,CYP51A1
2,EBP
3,ABCA5
4,LIMA1
5,SCARB1
6,DHCR7
7,TM7SF2
8,DHCR24
9,FDX1
10,CYB5R3
11,CYP11A1
12,STAR
13,CYP17A1
