ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,neg_log10_pvalue
CC,GO:0060205,cytoplasmic vesicle lumen,36/1429,325/19550,0.0083277012536025,0.0382719887399607,0.0279765999561116,GYG1/TEX264/PENK/XRCC5/PPIE/DYNLT1/GDI2/KPNB1/PRDX6/HSP90AA1/PSMB1/HSP90AB1/DYNC1H1/CCT8/TOLLIP/PSMD11/HSPA8/IST1/PSMD13/SCCPDH/CSNK2B/MAPK1/GCA/ILF2/PSMB7/PSMD6/CCT2/XRCC6/CAB39/OSTF1/FUCA1/ARPC5/COMMD9/PSMA2/DSN1/ACTR10,36,2.0794748630171047
CC,GO:0030904,retromer complex,4/1429,12/19550,0.0087423964082274,0.0396119835317486,0.0289561283126817,VPS29/VPS26A/SNX2/SNX1,4,2.0583695050984154
CC,GO:0044615,nuclear pore nuclear basket,4/1429,12/19550,0.0087423964082274,0.0396119835317486,0.0289561283126817,CETN3/TPR/PCID2/ENY2,4,2.0583695050984154
CC,GO:0099568,cytoplasmic region,31/1429,271/19550,0.0088026630070552,0.0396119835317486,0.0289561283126817,CENPF/NME8/CFAP46/RPGRIP1L/ZC3H14/TMEM108/CFAP43/ARL8B/SPAG16/DYNC1H1/CFAP221/CLTA/HSBP1/DNAH14/PAFAH1B1/MAP4/DYNC2H1/MAPK1/CFAP36/ARFGEF2/KIF5B/ACTR1A/WDR35/SPATA4/CFAP52/MNS1/PRKACA/MYL12B/ACTR10/SPAG6/PRKAR1A,31,2.0553859239505803
CC,GO:0031983,vesicle lumen,36/1429,327/19550,0.009135068916664,0.0408243079861951,0.0298423303992654,GYG1/TEX264/PENK/XRCC5/PPIE/DYNLT1/GDI2/KPNB1/PRDX6/HSP90AA1/PSMB1/HSP90AB1/DYNC1H1/CCT8/TOLLIP/PSMD11/HSPA8/IST1/PSMD13/SCCPDH/CSNK2B/MAPK1/GCA/ILF2/PSMB7/PSMD6/CCT2/XRCC6/CAB39/OSTF1/FUCA1/ARPC5/COMMD9/PSMA2/DSN1/ACTR10,36,2.039288171900498
CC,GO:0000803,sex chromosome,6/1429,26/19550,0.0097606294540377,0.0430264482055541,0.0314520820216038,SMC5/ESCO2/PLK4/PCGF5/MAEL/SMC6,6,2.010522174177534
CC,GO:0097228,sperm principal piece,6/1429,26/19550,0.0097606294540377,0.0430264482055541,0.0314520820216038,NME8/SLC9B1/CATSPERE/FSIP2/SPAG6/IFT27,6,2.010522174177534
CC,GO:0005838,proteasome regulatory particle,5/1429,19/19550,0.0101422325885567,0.0444065318742213,0.0324609151127349,PSMD11/PSMD13/PSMD4/PSMD8/PSMD6,5,1.9938664341383248
CC,GO:0036019,endolysosome,6/1429,27/19550,0.0117899537558744,0.0507617012646696,0.0371065067724193,CTSL/CLTA/AP2B1/SLC15A4/CTSB/CLTC,6,1.928487898349182
CC,GO:0005736,RNA polymerase I complex,4/1429,13/19550,0.0119070657287497,0.0507617012646696,0.0371065067724193,POLR2E/POLR1D/POLR2F/POLR2H,4,1.924195248997302
CC,GO:0008250,oligosaccharyltransferase complex,4/1429,13/19550,0.0119070657287497,0.0507617012646696,0.0371065067724193,RPN2/DAD1/STT3A/RPN1,4,1.924195248997302
CC,GO:0042405,nuclear inclusion body,4/1429,13/19550,0.0119070657287497,0.0507617012646696,0.0371065067724193,TPR/SLF1/ATXN3/RAD18,4,1.924195248997302
CC,GO:0043073,germ cell nucleus,5/1429,20/19550,0.0127245211266196,0.0538920894774478,0.0393948022495963,SYCP1/HSPA2/AURKA/MORC1/TOPBP1,5,1.8953585528796115
CC,GO:0035869,ciliary transition zone,11/1429,71/19550,0.0135613862365413,0.0570634953329792,0.0417130813837567,CETN3/PCM1/ARL3/RPGRIP1L/AHI1/TMEM107/CFAP36/NPHP1/CETN1/MKS1/TMEM237,11,1.8676959148856491
CC,GO:0030137,COPI-coated vesicle,6/1429,28/19550,0.0140989570906535,0.0589427367402804,0.0430867958627781,ARF1/KDELR2/TMED10/ACTR1A/ARCN1/BNIP1,6,1.850813011211688
CC,GO:0035267,NuA4 histone acetyltransferase complex,5/1429,21/19550,0.0157170272883046,0.0640707417437336,0.046835337531969,YEATS4/BRD8/MORF4L1/MEAF6/ING3,5,1.8036295927985542
CC,GO:0043189,H4/H2A histone acetyltransferase complex,5/1429,21/19550,0.0157170272883046,0.0640707417437336,0.046835337531969,YEATS4/BRD8/MORF4L1/MEAF6/ING3,5,1.8036295927985542
CC,GO:0010369,chromocenter,4/1429,14/19550,0.0157210616315643,0.0640707417437336,0.046835337531969,CBX1/CDCA8/MBD6/ESCO2,4,1.8035181297239458
CC,GO:0030132,clathrin coat of coated pit,4/1429,14/19550,0.0157210616315643,0.0640707417437336,0.046835337531969,CLTA/AP2B1/EPS15/CLTC,4,1.8035181297239458
CC,GO:0005766,primary lysosome,19/1429,155/19550,0.0183117060666354,0.0737017734855884,0.0538755654134418,GDI2/PRDX6/DYNC1H1/CCT8/TOLLIP/PSEN1/IST1/NDUFC2/VAPA/MAPK1/GCA/CCT2/SYNGR1/FUCA1/TMEM30A/PRCP/DSN1/ACTR10/RAB37,19,1.7372711914269394
CC,GO:0042582,azurophil granule,19/1429,155/19550,0.0183117060666354,0.0737017734855884,0.0538755654134418,GDI2/PRDX6/DYNC1H1/CCT8/TOLLIP/PSEN1/IST1/NDUFC2/VAPA/MAPK1/GCA/CCT2/SYNGR1/FUCA1/TMEM30A/PRCP/DSN1/ACTR10/RAB37,19,1.7372711914269394
CC,GO:0034704,calcium channel complex,10/1429,65/19550,0.0189614452311002,0.0758457809244008,0.0554428223131585,CALM2/FKBP1A/HSPA2/CALM1/CATSPERE/SMDT1/PTPA/MICU1/MICU2/PRKACA,10,1.72212856404587
CC,GO:0001673,male germ cell nucleus,4/1429,15/19550,0.0202211636210952,0.0789356266654801,0.0577014814806141,SYCP1/HSPA2/MORC1/TOPBP1,4,1.6941938566737933
CC,GO:0005852,eukaryotic translation initiation factor 3 complex,4/1429,15/19550,0.0202211636210952,0.0789356266654801,0.0577014814806141,EIF3J/EIF3E/EIF3I/EIF3M,4,1.6941938566737933
CC,GO:0072687,meiotic spindle,4/1429,15/19550,0.0202211636210952,0.0789356266654801,0.0577014814806141,CNTRL/HSPA2/AURKA/RSPH1,4,1.6941938566737933
CC,GO:0098554,cytoplasmic side of endoplasmic reticulum membrane,4/1429,15/19550,0.0202211636210952,0.0789356266654801,0.0577014814806141,DNAJA1/SPPL3/PTPN1/SPPL2B,4,1.6941938566737933
CC,GO:1990391,DNA repair complex,7/1429,39/19550,0.0214379556125951,0.0831844026165365,0.0608073118541934,XRCC5/ATP23/XRCC4/XRCC6/PMS2P1/ATM/ERCC3,7,1.6688166326220968
CC,GO:0022624,proteasome accessory complex,5/1429,23/19550,0.0230273151914464,0.0888196443098648,0.0649266405773865,PSMD11/PSMD13/PSMD4/PSMD8/PSMD6,5,1.637756694493882
CC,GO:0098791,Golgi apparatus subcompartment,39/1429,384/19550,0.0232545318320665,0.0891653054862668,0.065179316875926,NMNAT2/MGAT4D/RAB11A/RAB32/ARF1/GOLGA4/TMBIM4/GOLGA1/GALNT3/HLA-A/GOLGB1/PSENEN/CLTA/SCFD1/TGOLN2/USO1/GOLGA7/RAB10/GOLGA8Q/AP4S1/GCC2/RAB13/ARFGEF2/YIPF5/DPY30/C17orf75/TMEM59/CLTC/RAB6A/VRK1/COG6/GPR108/YIPF1/PIFO/SCAMP3/RAB14/AP1M1/SCAMP2/VCPIP1,39,1.6334923994247412
CC,GO:0034451,centriolar satellite,14/1429,107/19550,0.0238545668259947,0.0909279959014387,0.0664678332612856,CEP97/RAB11A/PCM1/CCDC14/MIEN1/TACC3/SPAG5/IFT43/RBM39/FLOT1/SPAG9/KIF5B/SDCCAG8/UBN1,14,1.6224284653674015
CC,GO:0015030,Cajal body,11/1429,78/19550,0.0259586811414982,0.0983697390625195,0.0719077039930698,ZC3H8/SNRPC/HNRNPA2B1/NPAT/FRG1/TOE1/PRPF3/SRRM2/DDX46/XPO1/FBLL1,11,1.585717376105862
