subtype,gene_id,avg_logFC,p_val,p_val_adj,Ctrl,OA,pct.1,pct.2
Early_primary_SPCs,AAMDC,-0.8135153,4.030569527022722e-66,7.386018658269137e-64,0.3847348,0.80492795,0.3259232699892435,0.5245258338783518
Early_primary_SPCs,ABCA17P,-0.41106454,4.8715354567458445e-24,1.9210190926110752e-22,1.1093864,1.3663813,0.7056292577984941,0.761935905820798
Early_primary_SPCs,ABRAXAS1,-0.6737537,4.054727244473615e-52,5.0025699201372e-50,0.38903114,0.75325125,0.3105055575475081,0.4990189666448659
Early_primary_SPCs,ABT1,-0.27998528,3.106304565509507e-09,4.0153175509143135e-08,0.12858096,0.2325779,0.1154535675869487,0.171353826030085
Early_primary_SPCs,AC005912.1,-0.34556937,1.9816416882821982e-28,9.798903602255744e-27,0.062156186,0.1997609,0.0627465041233417,0.1628515369522563
Early_primary_SPCs,AC010325.1,-0.43912122,1.4012212029966605e-43,1.3261228413069402e-41,0.068372644,0.24785182,0.0577267837934743,0.1909744931327665
Early_primary_SPCs,AC010642.2,-1.1478965,1.4376383446456924e-135,1.1942940941753313e-132,0.08764146,0.5753918,0.0767300107565435,0.3655984303466318
Early_primary_SPCs,AC012146.1,-0.4763836,6.589294534654054e-13,1.2242922345376367e-11,0.37277395,0.565317,0.2993904625313732,0.3669064748201439
Early_primary_SPCs,AC067945.3,-0.48627883,3.301355977018999e-60,5.163790397025156e-58,0.020724352,0.19467403,0.0186446755109358,0.144538914323087
Early_primary_SPCs,AC079385.2,-0.31734452,1.0964338815379232e-08,1.329915243138617e-07,0.115249656,0.22134018,0.1046970240229473,0.1569653368214519
Early_primary_SPCs,AC090510.1,-0.38002038,2.1015779221688015e-70,4.340513119582117e-68,0.0,0.13691975,0.0,0.1085676913015042
Early_primary_SPCs,AC090971.3,-0.41633198,1.521744253115726e-10,2.2531011393953464e-09,0.2855145,0.448003,0.2258874148440301,0.289077828646174
Early_primary_SPCs,AC092069.1,-0.44045442,3.134805688838467e-84,1.027968781279372e-81,0.0,0.16497454,0.0,0.1294964028776978
Early_primary_SPCs,AC098679.1,-0.3820866,4.0274206261159464e-72,8.753317748028629e-70,0.0,0.14113748,0.0,0.1111837802485284
Early_primary_SPCs,AC106795.1,-0.31990856,4.099713313731965e-15,9.06861436729243e-14,0.11078197,0.23449326,0.1075654356400143,0.184434270765206
Early_primary_SPCs,AC138150.1,-0.43083856,8.317642735172253e-68,1.5864206039231853e-65,0.01070737,0.17099132,0.0093223377554679,0.1334205362982341
Early_primary_SPCs,ACAT2,-0.93375796,1.143303261900051e-114,7.498264182387652e-112,0.068460144,0.45819148,0.0634636070276084,0.3132766514061478
Early_primary_SPCs,ACD,-0.25718006,5.12608302553533e-07,5.076247993207608e-06,0.17317142,0.26992863,0.1534600215130871,0.2034009156311314
Early_primary_SPCs,ACO2,-0.33163345,3.1838061125849e-40,2.7050050887900303e-38,0.019722544,0.14004527,0.0182861240588024,0.1105297580117724
Early_primary_SPCs,ACOT13,-0.3797232,8.562383291928244e-21,2.8477542224390885e-19,0.097097255,0.24059781,0.090354965937612,0.1818181818181818
Early_primary_SPCs,ACTR3,-0.3195152,2.203795450657585e-17,5.781367391714561e-16,0.83718157,1.0400258,0.5941197561850126,0.6514061478090255
Early_primary_SPCs,ADAL,-0.26227736,3.283706058921371e-06,2.8842759304665793e-05,0.6864204,0.81659865,0.4808174973108641,0.5081752779594506
Early_primary_SPCs,ADARB1,-0.42834923,3.785300124312918e-19,1.1230624964062684e-17,0.11134903,0.2636068,0.0935819290068124,0.1811641595814257
Early_primary_SPCs,ADRM1,-0.4896811,3.269015118105703e-31,1.8321677985029308e-29,0.14053719,0.34668857,0.1391179634277518,0.263570961412688
Early_primary_SPCs,AFG3L2,-0.3822432,1.3853627481868985e-13,2.7286098849036266e-12,0.5090124,0.6950516,0.395123700250986,0.4643557880967953
Early_primary_SPCs,AGPAT1,-0.3555679,5.555749212533531e-35,3.742172483101639e-33,0.042790174,0.18025537,0.0426676228038723,0.1458469587965991
Early_primary_SPCs,AIMP2,-0.31908655,3.0605703547091844e-45,3.0756263862928337e-43,0.020028966,0.14437817,0.0190032269630692,0.1209941137998692
Early_primary_SPCs,AK5,-0.27344167,1.0579878670381475e-10,1.592861878110635e-09,0.11444022,0.21695453,0.0953746862674793,0.1569653368214519
Early_primary_SPCs,AKAP9,-0.26345104,3.546508885713653e-08,4.037123680713566e-07,0.70866907,0.86303973,0.4786661885980638,0.5310660562459124
Early_primary_SPCs,AL138889.1,-0.30473226,7.566288689744257e-18,2.0541072628083486e-16,0.070409186,0.17900956,0.0605951954105414,0.1360366252452583
Early_primary_SPCs,AL358472.5,-0.29361254,4.867844524927519e-11,7.57281031524617e-10,0.1810671,0.30301613,0.1545356758694872,0.224329627207325
Early_primary_SPCs,AL392172.1,-0.33083823,1.7488704378940978e-08,2.065656353232071e-07,0.46951142,0.61620986,0.3721764073144496,0.4185742315238718
Early_primary_SPCs,ALG1,-0.38470608,6.17265293104527e-57,8.978688113667912e-55,0.01130704,0.15554242,0.0118321979204015,0.1223021582733813
Early_primary_SPCs,ALG14,-0.3652431,5.548648437410315e-16,1.3203381574520036e-14,0.113654055,0.2483942,0.1039799211186805,0.1831262262916939
Early_primary_SPCs,AMN1,-0.606776,2.97667331273641e-44,2.88282327590739e-42,0.15298837,0.4135537,0.1369666547149516,0.2969260954872466
Early_primary_SPCs,ANAPC15,-1.1617464,1.274145508027044e-193,2.2681610250750003e-190,0.054984543,0.58279794,0.0537827178200071,0.4035317200784826
Early_primary_SPCs,ANAPC16,-0.30836397,4.044261111371347e-09,5.1634772242621264e-08,0.42909518,0.5725488,0.3520975259949803,0.4002616088947024
Early_primary_SPCs,ANAPC5,-0.40631965,1.1332913919333412e-13,2.247524249583241e-12,0.36537948,0.5488174,0.2907852276801721,0.3721386527141923
Early_primary_SPCs,ANKRD26,-0.4157316,7.01552067965497e-13,1.2989658720532032e-11,0.33232027,0.5113199,0.2721405521692362,0.3446697187704381
Early_primary_SPCs,ANP32B,-0.50818205,1.933933469182867e-38,1.5648535687979028e-36,0.6426095,0.98021567,0.4528504840444604,0.6121648136036625
Early_primary_SPCs,AP2A1,-0.35579604,1.1251485317121692e-22,4.1236693687251e-21,0.09140364,0.23359221,0.0882036572248117,0.1831262262916939
Early_primary_SPCs,APMAP,-0.40897992,6.1742427392938484e-21,2.066353771916043e-19,0.46031582,0.6822259,0.3671566869845823,0.47351209941138
Early_primary_SPCs,APP,-0.32151508,7.103407394515027e-16,1.675373366745459e-14,0.15502177,0.29209596,0.137325206167085,0.2230215827338129
Early_primary_SPCs,ARHGDIA,-0.33685106,1.3725907776861555e-46,1.4253211400622652e-44,0.015423208,0.14097112,0.015059160989602,0.1137998691955526
Early_primary_SPCs,ARIH2,-0.29798454,2.6427613308951806e-10,3.8277546235123806e-09,0.7357361,0.88558996,0.5503764790247401,0.5722694571615435
Early_primary_SPCs,ARL2BP,-0.80915534,2.782044281359808e-162,3.058857687355109e-159,0.007447409,0.3449919,0.007529580494801,0.2642249836494441
Early_primary_SPCs,ARMC8,-0.25443655,7.408390692018558e-09,9.17349682807982e-08,0.36458948,0.49102584,0.2983148081749731,0.3597122302158273
Early_primary_SPCs,ARPC3,-0.5458842,2.5185322316993055e-36,1.8071073016816726e-34,0.70004827,1.0348165,0.4973108641089996,0.6298234139960759
