group,n_cells,mean,median,min,max,q1,q3
Ctrl,204,0.19352941176470587,0.1255,0.0,0.655,0.0,0.38775000000000004
OA,78,0.3291282051282051,0.419,0.0,0.609,0.1235,0.4415
AZFc_Del,980,0.09763979591836734,0.0,0.0,0.634,0.0,0.113
iNOA_B,1080,0.05539074074074074,0.0,0.0,0.585,0.0,0.10225
iNOA_S,5007,0.05373417215897744,0.017,0.0,0.635,0.0,0.096
KS,3417,0.01626163301141352,0.0,0.0,0.531,0.0,0.0
