Gene name,Ctrl,OA
FLII,0.0,1.0
FNDC8,0.0,1.0
LY6K,0.0,1.0
HSPA1A,1.0,0.0
HMOX1,1.0,0.0
FTH1,0.0,1.0
CDKN3,0.0,1.0
ADAM7,0.0,1.0
SPA17,0.0,1.0
GAPDHS,0.0,1.0
LDHC,0.0,1.0
ADGRG2,1.0,0.0
TSSK1B,0.0,1.0
TSSK2,0.0,1.0
NDUFS7,0.0,1.0
NDUFB4,0.0,1.0
UQCR10,0.0,1.0
NDUFC1,0.0,1.0
ATP5IF1,0.0,1.0
COX6C,0.0,1.0
COX20,0.0,1.0
