group,n_cells,mean,median,min,max,q1,q3
Ctrl,204,0.07124019607843136,0.062,0.0,0.281,0.01975,0.108
OA,78,0.061897435897435904,0.0525,0.0,0.277,0.00175,0.07325
AZFc_Del,980,0.12874897959183673,0.119,0.0,0.392,0.066,0.183
iNOA_B,1080,0.09354722222222223,0.092,0.0,0.334,0.053,0.126
iNOA_S,5007,0.1656207309766327,0.165,0.0,0.412,0.119,0.212
KS,3417,0.20574948785484345,0.207,0.0,0.485,0.156,0.254
