gene
FLII
FNDC8
LY6K
HSPA1A
HMOX1
FTH1
CDKN3
ADAM7
SPA17
GAPDHS
LDHC
ADGRG2
TSSK1B
TSSK2
NDUFS7
NDUFB4
UQCR10
NDUFC1
ATP5IF1
COX6C
COX20
