ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,neg_log10_pvalue
BP,GO:0030317,flagellated sperm motility,16/799,110/18723,1.70564435243533e-05,0.004982755701581,0.004982755701581,APOB/PRSS55/TEKT3/DNAH5/CFAP65/TEKT2/SPEM1/PRM3/CFAP97D1/IQCF1/SMCP/AKAP4/TPPP2/CABS1/GAPDHS/TNP1,16,4.768111519403356
BP,GO:0097722,sperm motility,16/799,110/18723,1.70564435243533e-05,0.004982755701581,0.004982755701581,APOB/PRSS55/TEKT3/DNAH5/CFAP65/TEKT2/SPEM1/PRM3/CFAP97D1/IQCF1/SMCP/AKAP4/TPPP2/CABS1/GAPDHS/TNP1,16,4.768111519403356
BP,GO:0007281,germ cell development,28/799,278/18723,2.39422018563235e-05,0.0062882673892443,0.0062882673892443,INSL3/DIAPH2/CDYL/CABYR/TCP11/TNP2/KLHL10/CFAP65/DPY19L2P2/SUN5/AFF4/BCL2L1/METTL3/GALNTL5/HOOK1/ODF2/UBE2J1/SPEM1/PAQR7/TSSK6/FSCN3/SPANXB1/CFAP97D1/IQCF1/TSSK1B/TSSK2/TNP1/PRM2,28,4.6208359119881415
BP,GO:0007342,fusion of sperm to egg plasma membrane involved in single fertilization,7/799,22/18723,2.43953778222625e-05,0.0062882673892443,0.0062882673892443,EQTN/SPAM1/LYZL4/C16orf92/SPATA46/LLCFC1/SPACA3,7,4.612692451384341
BP,GO:0045026,plasma membrane fusion,7/799,26/18723,8.10360959067952e-05,0.0197277873479765,0.0197277873479765,EQTN/SPAM1/LYZL4/C16orf92/SPATA46/LLCFC1/SPACA3,7,4.091321490241284
BP,GO:0030705,cytoskeleton-dependent intracellular transport,20/799,195/18723,0.0002645705131126,0.0610183151820854,0.0610183151820854,IFT20/SUN1/MYO1D/RAB27B/APP/MAP1S/MYO19/MAPT/KIFAP3/IFT172/SOD1/PPFIA2/RAB1A/IFT57/PRKCZ/KIF5C/HOOK1/RAB21/UBB/TUBA1B,20,3.577458560398276
BP,GO:0016236,macroautophagy,26/799,291/18723,0.0003233097488709,0.0708371659776161,0.0708371659776161,UBA5/IFT20/ATP6V1C1/SNX5/ATG10/MAPK8/ATG9B/ZFYVE1/VDAC1/HGS/SCOC/MAPK3/EPM2A/UBXN6/SESN3/RAB1A/VTI1B/OPTN/ATP6V1A/TSC1/RAB1B/NBR1/RETREG1/EMC6/PINK1/GAPDH,26,3.4903811997589878
BP,GO:0070841,inclusion body assembly,6/799,24/18723,0.0004120894117595,0.0859893239204834,0.0859893239204834,MAPT/HSF1/BAG5/PSMC5/DNAJA4/DNAJB8,6,3.385008544110446
BP,GO:0099111,microtubule-based transport,19/799,190/18723,0.0005122515931652,0.102031203693195,0.102031203693195,IFT20/SUN1/RFX3/RAB27B/CABYR/APP/MAP1S/DNAH5/MAPT/KIFAP3/IFT172/SOD1/RAB1A/IFT57/PRKCZ/KIF5C/RAB21/UBB/SPA17,19,3.2905166822156318
BP,GO:0044782,cilium organization,30/799,368/18723,0.0005576281155123,0.102843185455779,0.102843185455779,IFT20/ZMYND10/RFX3/DNAJB13/CFAP100/ABLIM1/TEKT4/TEKT3/DNAH5/KIFAP3/CFAP65/ARHGAP35/PKHD1/IFT172/TEKT1/DNAAF3/CDC14A/DYNLL2/SAXO1/TEKT2/IFT57/TEKT5/CCDC57/EHD1/SPATA6/ODF2/CFAP126/CFAP97D1/FUZ/AKAP4,30,3.2536553373059953
BP,GO:0090083,regulation of inclusion body assembly,5/799,17/18723,0.0005632671042762,0.102843185455779,0.102843185455779,HSF1/BAG5/PSMC5/DNAJA4/DNAJB8,5,3.2492856115349174
BP,GO:0007340,acrosome reaction,7/799,37/18723,0.0008427389372485,0.143928972133722,0.143928972133722,PLCD4/EQTN/TNP2/TRIM36/AKAP3/PRSS37/IQCF1,7,3.0743069398137726
BP,GO:0010269,response to selenium ion,4/799,11/18723,0.0008539829473931,0.143928972133722,0.143928972133722,APOB/SELENOM/SELENOW/GPX1,4,3.068550801356685
BP,GO:0006165,nucleoside diphosphate phosphorylation,12/799,99/18723,0.001028907769653,0.166987920245165,0.166987920245165,TPI1/PGK2/AK5/APP/ZBTB20/NME7/PKM/HK1/GPI/GAPDH/PGAM2/GAPDHS,12,2.9876235532511384
BP,GO:0046939,nucleotide phosphorylation,12/799,101/18723,0.0012280485421731,0.192189596850097,0.192189596850097,TPI1/PGK2/AK5/APP/ZBTB20/NME7/PKM/HK1/GPI/GAPDH/PGAM2/GAPDHS,12,2.910784466109138
BP,GO:0060271,cilium assembly,27/799,337/18723,0.0013312224560012,0.201152303524052,0.201152303524052,IFT20/ZMYND10/RFX3/DNAJB13/CFAP100/ABLIM1/TEKT4/TEKT3/DNAH5/CFAP65/ARHGAP35/PKHD1/IFT172/TEKT1/DNAAF3/CDC14A/DYNLL2/SAXO1/TEKT2/IFT57/TEKT5/CCDC57/EHD1/SPATA6/CFAP97D1/FUZ/AKAP4,27,2.8757493650053116
BP,GO:0046031,ADP metabolic process,11/799,90/18723,0.0015362068014118,0.224388606792893,0.224388606792893,TPI1/PGK2/AK5/APP/ZBTB20/PKM/HK1/GPI/GAPDH/PGAM2/GAPDHS,11,2.8135503164226643
BP,GO:0072595,maintenance of protein localization in organelle,7/799,42/18723,0.0018357802637825,0.259496423093391,0.259496423093391,SYNE1/SUN1/TXN/RANGAP1/HK1/PINK1/ARL2BP,7,2.736179303493073
BP,GO:0045727,positive regulation of translation,14/799,136/18723,0.002037883343434,0.279062650341506,0.279062650341506,LARP6/TRMT10C/PRR16/EIF4A3/CPEB3/EIF4G1/MAPK3/JMJD4/PKM/ZCCHC13/HABP4/METTL3/PINK1/SAMD4A,14,2.6908206803653867
BP,GO:0006096,glycolytic process,10/799,81/18723,0.0022969094800257,0.30500173762039,0.30500173762039,TPI1/PGK2/APP/ZBTB20/PKM/HK1/GPI/GAPDH/PGAM2/GAPDHS,10,2.6388561197810163
BP,GO:0051457,maintenance of protein location in nucleus,5/799,23/18723,0.0024763932551041,0.315282627267716,0.315282627267716,SYNE1/SUN1/TXN/RANGAP1/ARL2BP,5,2.6061803875355096
