ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio,panel,comparison,term_order,neg_log10_pvalue
MF,GO:0005201,extracellular matrix structural constituent,172/18368,2.16478269226827e-12,1.4395804903584e-09,1.36723117406417e-09,MFAP5/CTHRC1/FBN2/COL6A3/ABI3BP/DCN/FBN1/EFEMP1/COL1A2/LUM/SRPX2/SRPX/COL4A1/FBLN2/COL5A1/FBLN5/FN1/COL3A1/PRELP/LAMA2/BGN/EMILIN2/VCAN/MGP,24,24/430,F,LCa_ctrl_vs_disease,1,11.664585692975958
CC,GO:0062023,collagen-containing extracellular matrix,425/19550,6.10939804103679e-12,2.8775264773283304e-09,2.2894165290622102e-09,MFAP5/CTHRC1/FBN2/COL6A3/ABI3BP/DCN/FBN1/S100A6/VIT/EFEMP1/S100A10/ANXA1/ANXA2/COL1A2/LUM/SRPX2/SRPX/CXCL12/SERPINF1/TIMP1/COL4A1/LMAN1/FBLN2/CLU/COL5A1/FBLN5/FN1/COL3A1/S100A4/CTSH/PRELP/LAMA2/BGN/EMILIN2/VCAN/MGP,36,36/433,F,LCa_ctrl_vs_disease,2,11.214001578682954
CC,GO:0005925,focal adhesion,418/19550,1.22753672125911e-09,2.8908489785652e-07,2.30001617246443e-07,PROCR/CD44/FOCAD/THY1/AIF1L/CYBA/LIMA1/ANXA1/FERMT1/YWHAE/ACTR3/ADAM17/MAPRE1/REXO2/CORO1C/TWF1/ARF1/HACD3/PFN1/EPB41L2/DAB2/ACTR2/CLTC/GJA1/IGF2R/SDCBP/YWHAG/PARVA/FHL1/TSPAN4/RAB10/DLC1,32,32/433,F,LCa_ctrl_vs_disease,3,8.910965507268815
CC,GO:0030055,cell-substrate junction,425/19550,1.8492174366648102e-09,2.90327137556375e-07,2.30989967527254e-07,PROCR/CD44/FOCAD/THY1/AIF1L/CYBA/LIMA1/ANXA1/FERMT1/YWHAE/ACTR3/ADAM17/MAPRE1/REXO2/CORO1C/TWF1/ARF1/HACD3/PFN1/EPB41L2/DAB2/ACTR2/CLTC/GJA1/IGF2R/SDCBP/YWHAG/PARVA/FHL1/TSPAN4/RAB10/DLC1,32,32/433,F,LCa_ctrl_vs_disease,4,8.733012020159542
