panel,subpanel,generated_source_data,raw_input,code,status
A,LC ligands / LC receptors schematic network,Fig6A_network_edges_manual.csv;Fig6AB_hedgehog_interaction_matrix_long.csv;Fig6AB_hedgehog_interaction_summary.csv,raw_support/Fig6A_LC_ligands_ctrl.pdf;raw_support/Fig6A_LC_ligands_disease.pdf;raw_support/Fig6A_LC_receptors_ctrl.pdf;raw_support/Fig6A_LC_receptors_disease.pdf;raw_support/Fig6B_significant_means_ctrl.csv;raw_support/Fig6B_significant_means_disease.csv,../fig6_code/fig6_source_data.py,partial
B,Hedgehog signaling interaction bubble,Fig6AB_hedgehog_interaction_matrix_long.csv;Fig6AB_hedgehog_interaction_summary.csv,raw_support/Fig6B_significant_means_ctrl.csv;raw_support/Fig6B_significant_means_disease.csv;raw_support/Fig6B_chat_original.R;raw_support/Fig6B_OmicStudio_Bubble_Pro.pdf,../fig6_code/fig6_source_data.py,available
C,LC_a dotplot,Fig6C_dotplot_LCa.csv;Fig6C_heatmap_LCa.csv;Fig6C_violin_cells_LCa.csv;Fig6CD_source_note.csv,../fig6c.gz;raw_support_fig6c/dotplot_export.csv;raw_support_fig6c/heatmap_export.csv;raw_support_fig6c/violin_export.csv,../fig6_code/fig6_cd_prepare_source_data.py;../fig6_code/fig6_cd_dotplot.py;../fig6_code/fig6_source_data.py,available
D,ST dotplot,Fig6D_dotplot_ST_no_OA.csv;Fig6D_dotplot_ST_full_with_OA.csv;Fig6D_heatmap_ST_no_OA.csv;Fig6D_heatmap_ST_full_with_OA.csv;Fig6D_violin_cells_ST.csv;Fig6CD_source_note.csv,../fig6d.gz;raw_support_fig6d/dotplot_export.csv;raw_support_fig6d/heatmap_export.csv;raw_support_fig6d/violin_export.csv,../fig6_code/fig6_cd_prepare_source_data.py;../fig6_code/fig6_cd_dotplot.py;../fig6_code/fig6_source_data.py,available
E,LC_a volcano,Fig6E_volcano_group1_all.csv;Fig6E_volcano_group1_threshold_summary.csv;Fig6E_note.csv;Fig6E_volcano_candidate_counts.csv,raw_support/Fig6E_group1_DEGs_result.tsv;raw_support/Fig6E_group1_DEGs_result.xls;raw_support/Fig6E_group1_volcano.pdf;raw_support/Fig6E_group1_volcano.svg;raw_support/Fig6E_LCa_volcano_go_panel.pdf,../fig6_code/fig6_source_data.py,available
F,GO terms enriched in azoospermia,Fig6FG_GO_all_long.csv;Fig6F_GO_terms_selected.csv,raw_support/Fig6F_GO_LCa_ctrl_vs_disease.csv,../fig6_code/fig6_source_data.py,available
G,GO terms enriched in ctrl,Fig6FG_GO_all_long.csv;Fig6G_GO_terms_selected.csv,raw_support/Fig6G_GO_LCa_disease_vs_ctrl.csv,../fig6_code/fig6_source_data.py,available
H,IF image panel inventory,Fig6H_image_path_inventory.csv,external Desktop tif paths from Figure 6 AI links (see Fig6H_image_path_inventory.csv),../fig6_code/fig6_source_data.py,partial
I,Working model schematic,Fig6I_note.csv,none (manual schematic in AI),none,available
