ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio,panel,comparison,term_order,neg_log10_pvalue
BP,GO:0006401,RNA catabolic process,278/18723,4.7719337917e-06,0.0015488333678356,0.0013052853484493,HSPA1A/ZFP36/HSPA1B/ZFP36L2/ZFP36L1/HNRNPM/RBM8A/LRPPRC/TRIR/DICER1,10,10/108,G,LCa_disease_vs_ctrl,1,5.321305590588204
BP,GO:0030308,negative regulation of cell growth,188/18723,1.33122673735e-05,0.0030245471472622,0.0025489488792021,HSPA1A/HSPA1B/INHBA/BST2/SPAG9/RGS2/SMARCA2/RBBP7,8,8/108,G,LCa_disease_vs_ctrl,2,4.875747968271685
BP,GO:0033120,positive regulation of RNA splicing,37/18723,5.97152671842e-05,0.0067836543521307,0.0057169511056921,HSPA1A/RBM3/SRSF5/SF3B4,4,4/108,G,LCa_disease_vs_ctrl,3,4.223914620190764
MF,GO:0042826,histone deacetylase binding,127/18368,0.0001098474919782,0.0352610449250309,0.0320292160820907,HSPA1A/HSPA1B/KLF4/HES1/BHLHE41/RBBP4,6,6/109,G,LCa_disease_vs_ctrl,4,3.9592098543780874
