ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio,panel,comparison,neg_log10_pvalue
BP,GO:0030511,positive regulation of transforming growth factor beta receptor signaling pathway,32/18723,6.2735422225e-05,0.0248514441554285,0.0225759334072386,FERMT1/ADAM17/SNW1/DAB2/SDCBP/HIPK2,6,6/414,F,LCa_ctrl_vs_disease,4.202487174751369
BP,GO:1903846,positive regulation of cellular response to transforming growth factor beta stimulus,32/18723,6.2735422225e-05,0.0248514441554285,0.0225759334072386,FERMT1/ADAM17/SNW1/DAB2/SDCBP/HIPK2,6,6/414,F,LCa_ctrl_vs_disease,4.202487174751369
BP,GO:0007160,cell-matrix adhesion,233/18723,6.58234633874e-05,0.0248514441554285,0.0225759334072386,CD44/CD63/THY1/APOD/S100A10/FERMT1/BCL6/CORO1C/FBLN5/EPDR1/FN1/COL3A1/ROCK2/CSF1/CD34/DLC1,16,16/414,F,LCa_ctrl_vs_disease,4.1816192704697075
BP,GO:0006891,intra-Golgi vesicle-mediated transport,33/18723,7.52577297944e-05,0.0248514441554285,0.0225759334072386,COPG1/NAPG/COG2/COPB1/COG5/COPA,6,6/414,F,LCa_ctrl_vs_disease,4.1234488866358125
BP,GO:0008064,regulation of actin polymerization or depolymerization,188/18723,7.88728819186e-05,0.0248514441554285,0.0225759334072386,DBNL/LIMA1/MYO1C/CXCL12/ACTR3/CDC42EP2/ABI2/TWF1/ARF1/PFN1/CAPZB/ACTR2/CAPG/ARPIN,14,14/414,F,LCa_ctrl_vs_disease,4.1030722902950725
CC,GO:0098644,complex of collagen trimers,21/19550,7.90520223897e-05,0.0019596580287136,0.0015591423806504,COL1A2/LUM/COL4A1/COL5A1/COL3A1,5,5/433,F,LCa_ctrl_vs_disease,4.102087015023968
BP,GO:0030832,regulation of actin filament length,189/18723,8.35018800776e-05,0.0248514441554285,0.0225759334072386,DBNL/LIMA1/MYO1C/CXCL12/ACTR3/CDC42EP2/ABI2/TWF1/ARF1/PFN1/CAPZB/ACTR2/CAPG/ARPIN,14,14/414,F,LCa_ctrl_vs_disease,4.078303746095617
MF,GO:0048407,platelet-derived growth factor binding,11/18368,8.57802073141e-05,0.0190146126213078,0.0180589910135096,COL1A2/COL4A1/COL5A1/COL3A1,4,4/430,F,LCa_ctrl_vs_disease,4.066612908490267
CC,GO:1904813,ficolin-1-rich granule lumen,124/19550,9.9386138554e-05,0.0021841088365029,0.0017377198475696,DBNL/PSMD12/DYNLT1/PGM2/CTSH/ACTR2/ILF2/GNS/ACTR10/PYGL/PSMB7,11,11/433,F,LCa_ctrl_vs_disease,4.002674182698184
CC,GO:0005583,fibrillar collagen trimer,12/19550,0.0001020178225118,0.0021841088365029,0.0017377198475696,COL1A2/LUM/COL5A1/COL3A1,4,4/433,F,LCa_ctrl_vs_disease,3.9913239503716023
CC,GO:0098643,banded collagen fibril,12/19550,0.0001020178225118,0.0021841088365029,0.0017377198475696,COL1A2/LUM/COL5A1/COL3A1,4,4/433,F,LCa_ctrl_vs_disease,3.9913239503716023
BP,GO:0051258,protein polymerization,297/18723,0.0001176885325172,0.0325240665935226,0.029546015795125,TPPP2/TUBG1/DBNL/MYO1C/ACTR3/CDC42EP2/MAPRE1/CCDC57/ABI2/TWF1/ARF1/VDAC2/PFN1/CAPZB/TUBGCP5/ACTR2/CAPG/ARPIN,18,18/414,F,LCa_ctrl_vs_disease,3.9292658524253
MF,GO:0030021,extracellular matrix structural constituent conferring compression resistance,22/18368,0.0001301596385134,0.0216390399028551,0.0205515218705391,DCN/LUM/PRELP/BGN/VCAN,5,5/430,F,LCa_ctrl_vs_disease,3.885523666216355
BP,GO:0007018,microtubule-based movement,382/18723,0.0001302521243629,0.0335963646106713,0.030520129350718,CABS1/DNAH5/AKAP4/ROPN1B/TPPP2/ROPN1L/LCA5L/COPG1/FEZ1/TTLL1/SPG11/ACTR3/DYNLT1/KIFC3/AP3S1/TTLL3/DYNLRB2/ACTR2/UCHL1/DYNC1I2/ACTR10,21,21/414,F,LCa_ctrl_vs_disease,3.8852151847918823
