ONTOLOGY,ID,Description,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,GeneRatio
BP,GO:0048515,spermatid differentiation,172/18723,0.00000953016157169662,0.0019079383466536,0.0017124195581985,SPINK2/PRM2/TSSK1B/TNP1/ROPN1L/ZPBP2/TCP11/TSSK2/ZPBP/ROPN1B/DHH/ADAD1/ROPN1/NME5/SLIRP,15,15/426
BP,GO:0006631,fatty acid metabolic process,390/18723,0.0000111500429966329,0.002125941531358,0.0019080825458899,ACAT2/ACAA1/MIF/HSD17B12/MSMO1/APOA1/SLC27A3/FADS2/PTGDS/ELOVL5/GPX4/AKT1/LIPG/SCD5/SCD/MFSD2A/MGLL/AKR1B1/ECI2/MID1IP1/ALKBH7/ECHS1/ILVBL/PLP1,24,24/426
BP,GO:0022900,electron transport chain,175/18723,0.0000117398954609812,0.0021366609738985,0.0019177034977889,NDUFS7/PINK1/NDUFA2/COX7A2/ETFRF1/CYB5A/COX6A1/NDUFB4/NDUFB1/AKR1B1/UQCRB/NDUFC1/UQCR11/COX7C/CYCS,15,15/426
BP,GO:0010288,response to lead ion,24/18723,0.0000127317463185906,0.0022164309678103,0.0019892989442411,BECN1/SPARC/CDK4/PPP1CA/APP/STAR,6,6/426
BP,GO:0046165,alcohol biosynthetic process,140/18723,0.0000191290364256562,0.0031913609103469,0.0028643215068943,HMGCS2/CLCN2/FDPS/HMGCS1/DKK3/MSMO1/APOA1/ISYNA1/DHCR24/AKR1B1/DHCR7/SC5D/CYB5R3,13,13/426
BP,GO:0006066,alcohol metabolic process,353/18723,0.000021299519974101,0.003411331119052,0.0030617499449086,ACO2/HMGCS2/CLCN2/IDH3A/FDPS/HMGCS1/INPP5A/DKK3/MSMO1/APOA1/IDH1/ISYNA1/APP/STAR/DHCR24/GDE1/AKR1B1/DHCR7/SC5D/RDH11/TPI1/CYB5R3,22,22/426
BP,GO:0022412,cellular process involved in reproduction in multicellular organism,384/18723,0.0000260271776250683,0.0040081853542605,0.0035974406644527,UBB/SPINK2/PRM2/AMH/TSSK1B/TNP1/ROPN1L/ZPBP2/TCP11/TSSK2/ZPBP/ROPN1B/DHH/ADAD1/ROPN1/NME5/AKT1/MAEL/SLIRP/INSL3/DMRT1/SRC/PAQR7,23,23/426
BP,GO:0046890,regulation of lipid biosynthetic process,171/18723,0.0000381337873792559,0.0056550994320941,0.0050755847997185,CLCN2/DKK3/CDK4/NR0B1/APOA1/IDH1/DHH/ELOVL5/AKT1/STAR/MFSD2A/DHCR7/MID1IP1/EGR1,14,14/426
BP,GO:0120178,steroid hormone biosynthetic process,43/18723,0.000047712725393785,0.0068229197313112,0.0061237309960294,CLCN2/HSD17B12/DKK3/STAR/AKR1B1/DHCR7/EGR1,7,7/426
BP,GO:0007530,sex determination,19/18723,0.0000532132013144159,0.0073470916573421,0.006594187632937,AMH/NR0B1/DHH/DMRT1/SOX3,5,5/426
