Gene id,Average expression (normalized),Log2FC,Pct1,Z score,P_val,Adjusted p value,Pct2
FTH1,2.7875150400599784,2.274314641952514,0.7603305785123967,34.012794494628906,1.4413476019588902e-253,1.9480533514275382e-249,0.2604355716878403
RANGRF,1.5792259822996173,1.4767824411392212,0.5920661157024794,30.230226516723636,9.49337353278948e-201,4.2769229994138746e-197,0.0553539019963702
TMA7,2.792482160696167,1.5036981105804443,0.8419834710743802,30.11665153503418,2.9333415862232857e-199,1.1327308059600233e-195,0.6206896551724138
ARL2BP,1.2220017155161338,1.2092747688293457,0.5441322314049587,29.91204643249512,1.3719453060569485e-196,4.635631696003172e-193,0.0099818511796733
GAPDH,1.9913997200084492,1.5469491481781006,0.6885950413223141,29.44381523132324,1.5107877572550338e-190,4.0838103866360823e-187,0.2431941923774954
UBB,5.538308169893517,1.719590425491333,0.9851239669421488,29.01232147216797,4.6003548790776094e-185,1.1304744794213353e-181,0.9745916515426496
PCBP1,1.2934597144283184,1.270650029182434,0.5166942148760331,28.63705444335937,2.3236691508424864e-180,5.234258401368604e-177,0.0117967332123411
EMC6,1.191626526797281,1.1898036003112793,0.4905785123966942,28.075441360473636,1.954404674791481e-173,4.06380867417604e-170,0.0009074410163339
ENDOG,1.1546779979648658,1.1394962072372437,0.4998347107438016,28.05351829528809,3.618636159968726e-173,6.986811002865329e-170,0.0099818511796733
PAIP2,2.9670224145017485,0.8324558734893799,0.950413223140496,27.74785804748535,1.8493049904768235e-169,3.332570879838601e-166,0.8411978221415608
LINC01921,0.977685363753923,0.9776853919029236,0.4479338842975207,26.40882682800293,1.0849579751687181e-153,1.5435525803571376e-150,0
NDUFS7,1.3855065686636063,1.1267019510269165,0.5844628099173553,26.13058090209961,1.6385182469998712e-150,2.2145393367326762e-147,0.1515426497277677
LY6K,2.515934214954147,2.2323882579803467,0.5583471074380165,25.80893898010254,7.037958703839422e-147,9.059193415403973e-144,0.1352087114337568
PINK1,1.0608414533499633,1.0095704793930054,0.4641322314049587,25.596101760864254,1.6858932880598742e-144,2.07142643043393e-141,0.029038112522686
FLII,1.5069701305790677,1.0889179706573486,0.6350413223140496,25.53298759460449,8.484408020956347e-144,9.97139274845526e-141,0.2159709618874773
AC016747.1,1.838959155475604,1.039899468421936,0.7537190082644628,25.50259017944336,1.845083712254591e-143,2.0781024094147437e-140,0.3874773139745917
AIMP2,1.0834168857169888,0.967097818851471,0.4985123966942149,25.43160057067871,1.1281760275026428e-142,1.2198290479769575e-139,0.0607985480943738
TUBA1B,0.941830986762903,0.9007408618927002,0.4512396694214876,25.25254440307617,1.061969949347802e-140,1.0631892481785348e-137,0.0245009074410163
LRRC75A-AS1,1.1983217092834462,1.0477625131607056,0.5107438016528926,25.199127197265625,4.094903273097711e-140,3.9531903705394367e-137,0.0798548094373865
NHP2,1.1319702048115092,0.9334264993667604,0.5421487603305785,24.88504409790039,1.0802477674796075e-136,1.006902669060044e-133,0.1179673321234119
MT-TW,1.4344243204898737,1.4327595233917236,0.4095867768595041,24.81729507446289,5.833135423111106e-136,5.2558494540705435e-133,0.0009074410163339
C22orf23,1.9533690552898055,1.3769358396530151,0.655206611570248,24.72705841064453,5.473626359106852e-135,4.7728256165489463e-132,0.2867513611615245
CALM3,3.540174686273681,0.722077488899231,0.96099173553719,24.437747955322266,6.793034533961085e-132,5.5643186814394576e-129,0.9156079854809436
SPA17,2.533817317405614,1.2114310264587402,0.7897520661157025,24.0783748626709,4.2121703940643054e-128,3.348799350645654e-125,0.6125226860254084
AC244517.11,1.804143592935102,1.80414354801178,0.3854545454545454,23.88996696472168,3.8941786748123556e-126,2.9239873266348e-123,0
ANAPC15,0.9185787052831714,0.8501813411712646,0.4350413223140495,23.84086227416992,1.259629501227893e-125,9.202444607484102e-123,0.0353901996370235
INO80E,1.0619394812967515,0.8989624977111816,0.4925619834710744,23.69370460510254,4.186837107000999e-124,2.901907534342155e-121,0.0916515426497277
SRSF9,1.3212301707722496,1.0997825860977173,0.5057851239669422,23.371192932128903,8.392606835459628e-121,5.67151388423273e-118,0.1197822141560798
SDR39U1,0.7462105633347256,0.7365092039108276,0.3798347107438016,23.310279846191406,3.487288823468136e-120,2.299144004565053e-117,0.0054446460980036
C5orf58,4.923310570620469,0.6461065411567688,0.9927272727272728,23.190889358520508,5.626861238356661e-119,3.6214210984290217e-116,0.9882032667876588
PSMC3IP,1.184929800823227,0.8282739520072937,0.576198347107438,22.60491180419922,3.8774485471869107e-113,2.3291402595335422e-110,0.1887477313974591
DDT,0.6636529286851044,0.6611950993537903,0.3553719008264462,22.59150505065918,5.25273659814276e-113,3.086667890965151e-110,0.0009074410163339
AC090510.1,0.8595250726036143,0.8595250844955444,0.3418181818181818,22.10973358154297,2.5476786467004134e-108,1.4652404574246571e-105,0
MEA1,2.024473275121512,0.936737298965454,0.7560330578512396,22.06063270568848,7.5518909321864e-108,4.2528159122485534e-105,0.5462794918330308
POLR2I,2.7058679508427783,0.8398433923721313,0.8803305785123967,21.500394821166992,1.5436871722243569e-102,7.58680144589029e-100,0.7695099818511797
BUD31,2.0629010402375174,0.870242714881897,0.7742148760330578,21.48541831970215,2.131362508511548e-102,1.0288010708495651e-99,0.5526315789473685
DERL3,0.5896838341953534,0.5812252163887024,0.3338842975206612,21.45734024047852,3.89990604531501e-102,1.8175579363950008e-99,0.0045372050816696
ATXN2L,1.86700108258828,0.9737371206283568,0.6889256198347108,21.12828254699707,4.371607696190303e-99,1.969482127262001e-96,0.4364791288566243
ROMO1,3.099124437850929,0.6802072525024414,0.96099173553719,20.99428939819336,7.396049124338797e-98,3.224558127096807e-95,0.8983666061705989
